osmid,lanes,highway,junction,oneway,reversed,length,geometry,ref,name,width,maxspeed,bridge
10713013,1,secondary,roundabout,True,False,5.39,"LINESTRING (7.5485596 50.9446799, 7.5485255 50.9446686, 7.5484964 50.9446528)",,,,,
10713013,1,secondary,roundabout,True,False,6.635999999999999,"LINESTRING (7.5487745 50.9446192, 7.5487515 50.9446453, 7.5487179 50.9446663)",,,,,
10713026,1,primary,roundabout,True,False,7.056,"LINESTRING (7.5485703 50.9453371, 7.5485908 50.9453082, 7.5486222 50.9452833)",L 336,,,,
10713026,1,primary,roundabout,True,False,14.661,"LINESTRING (7.5489466 50.9453277, 7.5489591 50.9453598, 7.5489578 50.9453927, 7.548943 50.9454243, 7.5489157 50.9454524)",L 336,,,,
10713037,1,primary,,True,False,145.295,"LINESTRING (7.5489466 50.9453277, 7.5491764 50.9453876, 7.5494987 50.9454359, 7.5497203 50.9454544, 7.5499673 50.9454906, 7.5504238 50.9455622, 7.5506984 50.9456066, 7.550945 50.9456639)",L 336,Oberwiehler Straße,,,
"[901086914, 1074516276]",,residential,,False,True,56.473,"LINESTRING (7.548037 50.9494332, 7.5480478 50.9495712, 7.5480542 50.949652, 7.5480557 50.9496871, 7.5480601 50.9497876, 7.5480667 50.9499407)",,Im Weiher,4,,
"[901086915, 58974173]","['2', '3']",tertiary,,False,True,39.771,"LINESTRING (7.548037 50.9494332, 7.5478836 50.9494443, 7.5474716 50.9494236)",,Hauptstraße,,50,
"[901086916, 1075776551]",,tertiary,,False,False,36.1,"LINESTRING (7.548037 50.9494332, 7.5481398 50.9494542, 7.5482337 50.949459, 7.5483349 50.9494505, 7.5485421 50.9494256)",,Hauptstraße,,50,
233032594,,residential,,True,False,17.95,"LINESTRING (7.5485506 50.9470811, 7.5485998 50.946978, 7.5486421 50.9469313)",,Bahnhofstraße,,50,
1091907018,,tertiary,roundabout,True,False,11.804,"LINESTRING (7.5485506 50.9470811, 7.5485891 50.9470703, 7.5486309 50.9470669, 7.5486725 50.947071, 7.5487105 50.9470824)",,,,,
24534448,3,tertiary,,False,False,39.072,"LINESTRING (7.5468603 50.9494761, 7.5468878 50.9496407, 7.5469181 50.9497378, 7.5469681 50.9498188)",K 48,Wülfringhausener Straße,,50,
58974173,2,tertiary,,False,False,44.202,"LINESTRING (7.5468603 50.9494761, 7.5472104 50.9494046, 7.5474716 50.9494236)",,Hauptstraße,,50,
24534448,3,tertiary,,False,True,39.072,"LINESTRING (7.5469681 50.9498188, 7.5469181 50.9497378, 7.5468878 50.9496407, 7.5468603 50.9494761)",K 48,Wülfringhausener Straße,,50,
