osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,tunnel
43866460,True,2,B 112,Karl-Marx-Straße,primary,False,11.852,,"LINESTRING (14.6350356 52.1449912, 14.6350886 52.1450927)",
"[164428425, 315144294]",True,2,,Straße der Republik,secondary,False,76.128,50,"LINESTRING (14.6350356 52.1449912, 14.6352548 52.1449552, 14.6357627 52.1448717, 14.6361207 52.1448352)",
315151791,False,2,,Poststraße,residential,False,11.771,,"LINESTRING (14.6312591 52.1457285, 14.6313138 52.1458289)",
"[315151792, 147880405]",False,3,,Poststraße,residential,True,160.914,,"LINESTRING (14.6312591 52.1457285, 14.6312171 52.145655, 14.6310902 52.1454552, 14.6310426 52.1453781, 14.6309376 52.1452078, 14.6308326 52.1450375, 14.6307763 52.1449463, 14.6307304 52.1448718, 14.6306298 52.144706, 14.6305296 52.144541, 14.6305207 52.1445264, 14.6304815 52.1444618, 14.6304283 52.1443742)",
315151797,True,2,,Straße der Republik,tertiary,False,103.90799999999999,50,"LINESTRING (14.6312591 52.1457285, 14.6314961 52.1456723, 14.631626 52.1456415, 14.6321438 52.1455263, 14.6323149 52.1454916, 14.6324302 52.1454694, 14.6326951 52.1454184)",
315151784,False,2,,Lindenallee,residential,True,12.307,30,"LINESTRING (14.6294637 52.1461628, 14.6295437 52.146262)",
109528477,False,2,,Zentraler Platz,residential,False,70.227,,"LINESTRING (14.6294637 52.1461628, 14.6294325 52.1461127, 14.6294145 52.1460911, 14.6293304 52.1459759, 14.6290295 52.1455904)",
315151840,True,2,,Straße der Republik,tertiary,False,33.181,50,"LINESTRING (14.6294637 52.1461628, 14.6295505 52.1461412, 14.6296925 52.1461037, 14.629912 52.1460472)",
44955369,False,3,,Diehloer Straße,tertiary,True,12.143,50,"LINESTRING (14.6241207 52.1489616, 14.6242682 52.1490227)",
"[164428426, 315151831]",True,2,,Straße der Republik,tertiary,False,282.45,50,"LINESTRING (14.6241207 52.1489616, 14.6241776 52.1489109, 14.6245094 52.1486259, 14.6249825 52.1482196, 14.6254714 52.1478331, 14.6258114 52.147596, 14.6259626 52.1474967, 14.6261494 52.1473852, 14.6265802 52.1471581, 14.6268164 52.1470521)",
311325007,False,2,,Diehloer Straße,tertiary,False,146.751,50,"LINESTRING (14.6241207 52.1489616, 14.6237213 52.1488165, 14.6227868 52.1485007, 14.622244 52.1483171)",
311325007,False,2,,Diehloer Straße,tertiary,True,146.751,50,"LINESTRING (14.622244 52.1483171, 14.6227868 52.1485007, 14.6237213 52.1488165, 14.6241207 52.1489616)",
44572897,False,2,B 112,Karl-Marx-Straße,primary,True,114.77499999999999,50,"LINESTRING (14.6342378 52.1407002, 14.6341864 52.1408087, 14.6341708 52.1409394, 14.6341805 52.1414292, 14.6341864 52.1417275)",
"[47072796, 47072797]",False,2,,Friedrich-Engels-Straße,residential,True,107.14399999999999,30,"LINESTRING (14.6342378 52.1407002, 14.6341369 52.1406864, 14.6340111 52.1406692, 14.6337947 52.1406921, 14.6331803 52.1407572, 14.6326927 52.1408084)",
44572897,False,2,B 112,Karl-Marx-Straße,primary,False,18.448,50,"LINESTRING (14.6346444 52.1442297, 14.6345832 52.1440681)",
44572889,True,3,B 112,Karl-Marx-Straße,primary,False,88.93799999999999,50,"LINESTRING (14.6346444 52.1442297, 14.6348156 52.1444891, 14.6348628 52.144601, 14.6349396 52.1447829, 14.6349963 52.1449041, 14.6350356 52.1449912)",
31451878,False,,,Eichendorffstraße,residential,True,12.189,,"LINESTRING (14.636688 52.1470331, 14.6365297 52.1470839)",
31413353,False,,,Friedrich-Engels-Straße,residential,False,138.293,,"LINESTRING (14.6228907 52.1438747, 14.6230756 52.1437727, 14.6232558 52.1436859, 14.6233966 52.1436204, 14.6234975 52.1435735, 14.6235936 52.143528, 14.6237414 52.1434566, 14.6239848 52.1433487, 14.6240375 52.1433265, 14.6242758 52.1432261, 14.624444 52.1431553, 14.6245091 52.1431279)",
85640357,False,2,,Fritz-Heckert-Straße,residential,True,128.489,,"LINESTRING (14.6228907 52.1438747, 14.6230487 52.1440044, 14.6231861 52.1441172, 14.6232611 52.1441763, 14.62337 52.1442621, 14.6234077 52.1442918, 14.6235104 52.1443759, 14.6235725 52.1444268, 14.6235904 52.1444417, 14.6237289 52.1445565, 14.6237735 52.1445937, 14.6238447 52.144653, 14.6240191 52.1447997)",
"[31413353, 47072796]",False,,,Friedrich-Engels-Straße,residential,False,56.4,30,"LINESTRING (14.6286131 52.1416646, 14.6292086 52.1414958, 14.6293634 52.1414519)",
31413353,False,,,Friedrich-Engels-Straße,residential,True,91.30099999999999,,"LINESTRING (14.6286131 52.1416646, 14.6275111 52.1420177, 14.6274271 52.1420446)",
147880405,False,,,Poststraße,residential,False,130.157,,"LINESTRING (14.6286131 52.1416646, 14.628828 52.141956, 14.6289113 52.1420688, 14.6289396 52.1421072, 14.6289933 52.14218, 14.6290477 52.1422569, 14.6292486 52.1425413, 14.6293782 52.1427367)",
47072796,False,,,Friedrich-Engels-Straße,residential,False,13.104,30,"LINESTRING (14.6325044 52.1408315, 14.6326927 52.1408084)",
47072796,False,,,Friedrich-Engels-Straße,residential,True,52.387,30,"LINESTRING (14.6325044 52.1408315, 14.6317552 52.1409342)",
31413354,False,,,Saarlouiser Straße,residential,False,84.14200000000001,,"LINESTRING (14.6251007 52.1456617, 14.6251622 52.1456317, 14.6255142 52.1454601, 14.6255854 52.1454254, 14.6257331 52.1453534, 14.6257865 52.1453273, 14.6259621 52.1452417, 14.6260662 52.145191)",
31413354,False,,,Saarlouiser Straße,residential,True,153.48700000000002,,"LINESTRING (14.6251007 52.1456617, 14.6250466 52.1456938, 14.6247499 52.1458695, 14.6245752 52.1459811, 14.624435 52.1460707, 14.6243959 52.1460956, 14.624247 52.1461907, 14.6242202 52.1462078, 14.6240556 52.1463129, 14.6240433 52.1463208, 14.6239293 52.1463951, 14.6237905 52.1464949, 14.6236194 52.1466349, 14.6235738 52.1466727)",
