osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,junction,name,width,access
6972986,2,L 587,secondary,50,False,False,51.152,"LINESTRING (7.6065611 52.0916424, 7.606517 52.0917381, 7.606357 52.092085)",,,,
6972995,1,,secondary,50,True,False,50.897999999999996,"LINESTRING (7.6065611 52.0916424, 7.6064943 52.0916252, 7.606439 52.0915965, 7.6064004 52.0915589, 7.6063821 52.0915159, 7.6063857 52.0914715, 7.6064142 52.0914264, 7.6064652 52.0913895, 7.6065331 52.0913649, 7.6066103 52.0913553, 7.6066776 52.0913614)",roundabout,,,
26793397,,,living_street,,False,True,62.729,"LINESTRING (7.6121319 52.0936657, 7.6114777 52.0934439, 7.6113425 52.093398, 7.611328 52.0933931)",,Bergstraße,,
6972995,1,,secondary,50,True,False,26.082,"LINESTRING (7.6066776 52.0913614, 7.6067562 52.0913825, 7.6068099 52.0914153, 7.606844 52.0914568, 7.6068552 52.0915007, 7.6068442 52.0915446)",roundabout,,,
6972995,1,,secondary,50,True,False,24.349,"LINESTRING (7.6068442 52.0915446, 7.6068129 52.091584, 7.6067639 52.0916158, 7.6067018 52.0916372, 7.606632 52.0916464, 7.6065611 52.0916424)",roundabout,,,
25669604,2,,tertiary,50,False,False,57.806000000000004,"LINESTRING (7.6068442 52.0915446, 7.6069815 52.0915719, 7.6076544 52.0916944)",,Rathausstraße,,
25669379,2,,tertiary,50,False,False,44.246,"LINESTRING (7.6114544 52.095999, 7.6114256 52.0961117, 7.6114172 52.0961748, 7.6114012 52.0963951)",,Saerbecker Straße,,
26177449,2,,tertiary,50,False,False,216.985,"LINESTRING (7.6114544 52.095999, 7.6115196 52.0959034, 7.6115512 52.0958596, 7.6116262 52.0957841, 7.6125089 52.0948679, 7.6126805 52.0946728, 7.6127824 52.0945369, 7.6128776 52.0943836, 7.612926 52.0942764)",,An der Martinischule,,
562151328,,,residential,30,False,False,78.24000000000001,"LINESTRING (7.6114544 52.095999, 7.6112808 52.0959692, 7.6108787 52.0958675, 7.6104183 52.0957059)",,Kardinal-von-Galen-Straße,,
27521219,,,residential,30,False,True,73.342,"LINESTRING (7.6069909 52.0944841, 7.6079216 52.0948129)",,Kardinal-von-Galen-Straße,,
"[905518508, 25669603, 905518516]",,,residential,30,True,False,119.53200000000001,"LINESTRING (7.6069909 52.0944841, 7.6071534 52.0943255, 7.6074332 52.0940649, 7.6074512 52.0940484, 7.6076514 52.0938692, 7.6076688 52.0938538, 7.6079571 52.093588)",,Martinistraße,,
160673740,2,,residential,50,False,True,75.868,"LINESTRING (7.6069909 52.0944841, 7.6068285 52.0944115, 7.6066716 52.0943532, 7.6065822 52.094327, 7.606483 52.0943099, 7.6062482 52.0942964, 7.6059623 52.09432)",,Kardinal-von-Galen-Straße,,
"[350684808, 905585593]",,,residential,,False,True,91.28099999999999,"LINESTRING (7.6069909 52.0944841, 7.6069791 52.0945114, 7.6069745 52.0945287, 7.606924 52.0947852, 7.6068334 52.0951405, 7.6068278 52.0952976)",,Friedrich-Ebert-Straße,,
27138979,,,residential,30,False,True,161.73999999999998,"LINESTRING (7.6086383 52.091836, 7.6086795 52.0917064, 7.6087369 52.0915259, 7.6087539 52.0914724, 7.6087832 52.0913736, 7.6088255 52.0912397, 7.6088657 52.0911168, 7.6091136 52.0905275, 7.6091758 52.0904209)",,Lindenstraße,4,
"[562124786, 551188683, 26212162, 699870435]",3,,residential,50,False,True,104.982,"LINESTRING (7.6086383 52.091836, 7.608585 52.0919974, 7.6085392 52.0921326, 7.6084673 52.0923605, 7.6084063 52.0925544, 7.6083831 52.0926433, 7.6083703 52.0926865, 7.6083559 52.0927352, 7.6083453 52.0927627)",,Hinter der Lake,,
"[551188684, 32496990]",3,,tertiary,50,False,True,69.038,"LINESTRING (7.6086383 52.091836, 7.6084156 52.0918043, 7.6078498 52.0917239, 7.6076544 52.0916944)",,Rathausstraße,,
