osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,width
149673783,Hauptstraße,secondary,30,False,True,2.758,,"LINESTRING (9.0619098 48.800489, 9.061893 48.8005112)",,
149673781,Hauptstraße,secondary,30,True,False,21.016,L 2255,"LINESTRING (9.0619098 48.800489, 9.0619084 48.8003991, 9.0618996 48.8003442, 9.0618908 48.8003007)",,
196000054,Hauptstraße,secondary,30,True,False,102.963,L 2255,"LINESTRING (9.0617847 48.7999722, 9.0618458 48.7997758, 9.0619317 48.7995683, 9.0619785 48.7994443, 9.062001 48.7993966, 9.0620569 48.7992776, 9.0621477 48.7991311, 9.0621834 48.7990871)",1,
"[644311017, 149673765]",Eltinger Straße,"['residential', 'living_street']",,False,True,104.899,,"LINESTRING (9.0617847 48.7999722, 9.0616816 48.7999605, 9.0614343 48.7999147, 9.0612715 48.7998619, 9.0612192 48.7998449, 9.060905 48.7997151, 9.0605153 48.7995541)",,
5209131,Kirchstraße,secondary,30,True,False,32.687,,"LINESTRING (9.0629612 48.79834, 9.0629173 48.7985061, 9.0629054 48.7985614, 9.0629068 48.7986309)",,
5209134,Hauptstraße,secondary,30,False,False,18.143,L 1141,"LINESTRING (9.0629612 48.79834, 9.0630319 48.7982653, 9.0630886 48.7982001)",,
149673782,Hauptstraße,secondary,30,False,True,17.262,L 1141,"LINESTRING (9.0647344 48.796179, 9.064681 48.7963302)",,
149673782,Hauptstraße,secondary,30,False,False,49.549,L 1141,"LINESTRING (9.0647344 48.796179, 9.0647338 48.7959445, 9.0647307 48.7957334)",,
149673803,Ludwigstraße,residential,30,True,False,51.330999999999996,,"LINESTRING (9.0647344 48.796179, 9.0646399 48.7961805, 9.0641155 48.7959801)",,
24471856,Obertorstraße,residential,30,False,False,293.091,,"LINESTRING (9.0647307 48.7957334, 9.0648539 48.7957204, 9.0649767 48.7956711, 9.0651408 48.7955308, 9.0653084 48.795467, 9.0655562 48.7953994, 9.0660108 48.7953067, 9.06645 48.795293, 9.0670755 48.7953177, 9.0676366 48.7953987, 9.0683656 48.7954699, 9.0684971 48.7954245)",,
24471865,Hauptstraße,secondary,50,False,False,95.672,L 1141,"LINESTRING (9.0647307 48.7957334, 9.0647266 48.7954785, 9.0647242 48.7951534, 9.0646932 48.7950187, 9.06463 48.7948807)",2,
149673782,Hauptstraße,secondary,30,False,True,49.549,L 1141,"LINESTRING (9.0647307 48.7957334, 9.0647338 48.7959445, 9.0647344 48.796179)",,
24471865,Hauptstraße,secondary,50,False,True,95.672,L 1141,"LINESTRING (9.06463 48.7948807, 9.0646932 48.7950187, 9.0647242 48.7951534, 9.0647266 48.7954785, 9.0647307 48.7957334)",2,
24471871,Alte Steige,residential,,False,False,92.582,,"LINESTRING (9.06463 48.7948807, 9.0646897 48.7948236, 9.0647597 48.7947567, 9.0647256 48.7946719, 9.0646747 48.7945455, 9.0645811 48.7943796, 9.0644848 48.7942424, 9.0644027 48.7941183)",,
1041167039,Panoramastraße,secondary,50,False,False,46.732,L 1141,"LINESTRING (9.06463 48.7948807, 9.0645767 48.794841, 9.0645175 48.7948018, 9.0644922 48.794785, 9.0641188 48.7946346)",,
24471514,Weilimdorfer Straße,secondary,30,False,True,3.009,L 2255,"LINESTRING (9.0643861 48.7996104, 9.0644203 48.7996254)",2,
951722911,Schulstraße,secondary,30,True,False,17.48,,"LINESTRING (9.0643861 48.7996104, 9.0642664 48.7995994, 9.0642061 48.7995985, 9.0641494 48.7996047)",1,
"[100463860, 100463854]","['Hauptstraße', 'Schulstraße']",secondary,30,True,False,19.536,,"LINESTRING (9.0621263 48.8003553, 9.0620573 48.8003574, 9.0619887 48.8003533, 9.0619394 48.8003373, 9.0618908 48.8003007)",1,
196000060,Schulstraße,secondary,30,True,False,21.762999999999998,,"LINESTRING (9.0621263 48.8003553, 9.0620127 48.8004188, 9.0619098 48.800489)",,
24471450,Feuerbacher Straße,secondary,50,False,True,11.019,L 2255,"LINESTRING (9.0688704 48.8011451, 9.0690207 48.8011408)",2,
18458384,Weilimdorfer Straße,secondary,50,False,False,80.15100000000001,L 2255,"LINESTRING (9.0688704 48.8011451, 9.0683849 48.8011104, 9.0682625 48.8010992, 9.0680492 48.8010798, 9.067786 48.8010499)",2,
413447713,Weilimdorfer Straße,secondary,50,False,True,46.75,,"LINESTRING (9.0688704 48.8011451, 9.0688786 48.8012002, 9.0688899 48.8012309, 9.0689237 48.8012839, 9.0689755 48.8013497, 9.069187 48.8014958)",,
"[627561737, 101808091]",Mitschelenstraße,residential,30,False,False,99.285,,"LINESTRING (9.0558811 48.8014669, 9.055932 48.8015512, 9.0560007 48.801663, 9.0560607 48.8016855, 9.056151 48.8016915, 9.0563174 48.8016437, 9.0566532 48.8015508, 9.0569607 48.8014734)",,
413095571,Leonberger Straße,secondary,50,False,False,133.122,K 1657,"LINESTRING (9.0558811 48.8014669, 9.0563674 48.8013539, 9.0568389 48.8012297, 9.0573334 48.8010791, 9.0575597 48.8010102)",2,
413095572,Leonberger Straße,secondary,50,False,False,58.978,K 1657,"LINESTRING (9.0575597 48.8010102, 9.0582569 48.8007448)",2,
21402237,Gerteisenstraße,residential,30,False,True,32.234,,"LINESTRING (9.0575597 48.8010102, 9.0575979 48.801054, 9.0576388 48.8010991, 9.0577868 48.8012585)",,
413095570,Hermann-Dreher-Straße,residential,30,False,False,67.48100000000001,,"LINESTRING (9.0575597 48.8010102, 9.0575268 48.8009639, 9.0574152 48.8008249, 9.0572894 48.8006682, 9.0571605 48.8005076, 9.0571324 48.8004726)",,6
413095571,Leonberger Straße,secondary,50,False,True,133.122,K 1657,"LINESTRING (9.0575597 48.8010102, 9.0573334 48.8010791, 9.0568389 48.8012297, 9.0563674 48.8013539, 9.0558811 48.8014669)",2,
23141702,Bildstraße,living_street,,False,False,111.107,,"LINESTRING (9.059479 48.8002838, 9.0595546 48.8002316, 9.0605153 48.7995541)",,
23141703,Rosenstraße,residential,30,False,False,58.286,,"LINESTRING (9.059479 48.8002838, 9.0594661 48.8002382, 9.0594459 48.8002059, 9.0590691 48.7999246, 9.0590102 48.7998691)",2,6
413095572,Leonberger Straße,secondary,50,False,True,42.132000000000005,K 1657,"LINESTRING (9.059479 48.8002838, 9.0594314 48.8002849, 9.0593192 48.8003256, 9.0591848 48.8003786, 9.0589799 48.8004645)",2,
413095574,Leonberger Straße,secondary,50,False,False,162.273,K 1657,"LINESTRING (9.059479 48.8002838, 9.0595076 48.8002952, 9.0595438 48.8003217, 9.0596397 48.8003897, 9.0598328 48.8005478, 9.0600463 48.8006893, 9.0602274 48.8007857, 9.0603743 48.8008639, 9.0607835 48.8010216, 9.0610264 48.8010751, 9.061235 48.8011293)",2,
15015774,Mittlere Ringstraße,residential,30,False,False,119.391,,"LINESTRING (9.0556532 48.7969747, 9.0557365 48.7969162, 9.0559763 48.796703, 9.0561875 48.7965164, 9.0564906 48.7962363, 9.0565982 48.7961025)",,6
23141704,Vesouler Straße,residential,30,False,True,100.14,,"LINESTRING (9.0556532 48.7969747, 9.0557774 48.7970473, 9.0559725 48.7971141, 9.0561685 48.7971882, 9.0565326 48.7973252, 9.0568194 48.7974404)",,
"[413076942, 15015774]",Mittlere Ringstraße,residential,30,False,False,76.629,,"LINESTRING (9.0565982 48.7961025, 9.0566547 48.7960382, 9.0567466 48.7959334, 9.0569445 48.7956881, 9.0570541 48.7954845)",,6
15015774,Mittlere Ringstraße,residential,30,False,True,119.39099999999999,,"LINESTRING (9.0565982 48.7961025, 9.0564906 48.7962363, 9.0561875 48.7965164, 9.0559763 48.796703, 9.0557365 48.7969162, 9.0556532 48.7969747)",,6
23621678,Lontelstraße,residential,30,False,False,101.462,,"LINESTRING (9.0565982 48.7961025, 9.056713 48.7961727, 9.0569692 48.7962917, 9.0572416 48.796448, 9.0575543 48.7966447, 9.0576416 48.7967003)",,
149673759,Boelckestraße,residential,30,False,True,74.418,,"LINESTRING (9.0611198 48.7961992, 9.061661 48.7956328)",,
149673857,Richthofenstraße,residential,30,False,False,135.55599999999998,,"LINESTRING (9.0611198 48.7961992, 9.0613095 48.7962038, 9.0615762 48.7961738, 9.0617563 48.7961496, 9.0619998 48.7961394, 9.0623126 48.7961469, 9.0624998 48.7961618, 9.062839 48.7962199, 9.0629445 48.7962413)",,
149673857,Richthofenstraße,residential,30,False,True,168.099,,"LINESTRING (9.0611198 48.7961992, 9.0609529 48.796139, 9.0609138 48.7961174, 9.0600619 48.7956454, 9.0595888 48.7953741, 9.0593255 48.7952624)",,
24533166,Richthofenstraße,residential,30,False,False,74.206,,"LINESTRING (9.0629445 48.7962413, 9.062973 48.7962509, 9.062988 48.796256, 9.0638173 48.79658)",,
"[110989227, 14875541]","['Jahnstraße', 'Hasenbergstraße']",residential,30,False,False,248.064,,"LINESTRING (9.0629445 48.7962413, 9.0627612 48.7964749, 9.0627375 48.7964983, 9.0625942 48.7966402, 9.0620577 48.7972114, 9.0621841 48.7972451, 9.0630255 48.7974693, 9.0635001 48.7976179, 9.0635861 48.7976473)",,
110989227,Hasenbergstraße,residential,30,False,True,71.542,,"LINESTRING (9.0629445 48.7962413, 9.0630933 48.7960485, 9.0633875 48.7956679)",,
149673857,Richthofenstraße,residential,30,False,True,135.55599999999998,,"LINESTRING (9.0629445 48.7962413, 9.062839 48.7962199, 9.0624998 48.7961618, 9.0623126 48.7961469, 9.0619998 48.7961394, 9.0617563 48.7961496, 9.0615762 48.7961738, 9.0613095 48.7962038, 9.0611198 48.7961992)",,
413297212,Hofwiesenstraße,residential,30,False,False,120.80000000000001,,"LINESTRING (9.0672514 48.8009636, 9.0672223 48.8010005, 9.0671986 48.8010357, 9.0669945 48.801344, 9.0666428 48.8018557, 9.066564 48.8019507)",,7.5
413298490,Weilimdorfer Straße,secondary,50,False,True,40.347,L 2255,"LINESTRING (9.0672514 48.8009636, 9.0674873 48.8010093, 9.067786 48.8010499)",2,
"[415203074, 413298491, 413293685]",Weilimdorfer Straße,secondary,"['50', '30']",False,False,117.655,L 2255,"LINESTRING (9.0672514 48.8009636, 9.0669104 48.8008545, 9.0668624 48.8008392, 9.0667058 48.8007905, 9.0666106 48.800755, 9.066393 48.800674, 9.0663003 48.8006299, 9.0658869 48.8004145)",2,
14875999,,secondary,30,True,False,17.14,L 2255,"LINESTRING (9.0627091 48.7985729, 9.0627641 48.7985725, 9.0628233 48.7985786, 9.0628775 48.7985989, 9.0629068 48.7986309)",,
18458389,Hauptstraße,secondary,30,True,False,31.85,,"LINESTRING (9.0627091 48.7985729, 9.0628256 48.7984762, 9.0629246 48.7983817, 9.0629612 48.79834)",,
18458386,Kirchstraße,secondary,30,True,False,52.162,L 2255,"LINESTRING (9.0629068 48.7986309, 9.0629256 48.7987041, 9.0629605 48.7987727, 9.0630207 48.7988351, 9.063112 48.7989014, 9.0632 48.7989583, 9.0632878 48.7990104)",,
18458384,Weilimdorfer Straße,secondary,50,False,True,80.15100000000001,L 2255,"LINESTRING (9.067786 48.8010499, 9.0680492 48.8010798, 9.0682625 48.8010992, 9.0683849 48.8011104, 9.0688704 48.8011451)",2,
149673775,Goethestraße,residential,30,False,False,99.508,,"LINESTRING (9.067786 48.8010499, 9.067803 48.8010041, 9.0680671 48.8001744)",,
413298490,Weilimdorfer Straße,secondary,50,False,False,40.347,L 2255,"LINESTRING (9.067786 48.8010499, 9.0674873 48.8010093, 9.0672514 48.8009636)",2,
413298489,Goethestraße,residential,30,False,True,45.923,,"LINESTRING (9.068854 48.7974804, 9.0687502 48.7978877)",,
1124393389,Brennerstraße,residential,30,False,False,157.011,,"LINESTRING (9.068854 48.7974804, 9.0669362 48.7972082, 9.0667572 48.7971874)",,
"[38570504, 368769393, 1124394187]",Friedhofweg,"['living_street', 'residential']",30,False,True,211.329,,"LINESTRING (9.0667572 48.7971874, 9.066632 48.7976696, 9.0665909 48.797847, 9.0665884 48.7978577, 9.066507 48.7982023, 9.0664573 48.7984031, 9.0664592 48.798427, 9.0662485 48.7990568)",,
