osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,access,width,junction
"[10432256, 25840794, 25840795]",Blücherstraße,residential,False,True,83.726,"LINESTRING (7.1539622 50.8131695, 7.1538838 50.8130604, 7.153878 50.8130524, 7.1535712 50.8126144, 7.1535053 50.8125326, 7.1534618 50.8124866)",,,,,,
"[141800900, 79072106, 1073487627, 326621403, 326621405, 340151230]",Wilhelmstraße,residential,False,False,195.63800000000003,"LINESTRING (7.1539622 50.8131695, 7.1540227 50.8132582, 7.1540593 50.8133288, 7.1541548 50.8135393, 7.1542367 50.8137651, 7.1542553 50.8138437, 7.1542709 50.8139163, 7.1542763 50.8139599, 7.1542695 50.8141515, 7.1542558 50.814344, 7.154229 50.8147213, 7.1542278 50.8147804, 7.1542271 50.8149007)","['4', '2', '3']",30,,,,
"[326621398, 230275759]",Theodor-Heuss-Ring,primary,False,False,134.662,"LINESTRING (7.1539622 50.8131695, 7.15414 50.8131123, 7.1548921 50.8128682, 7.1556624 50.8126105)","['2', '3']",50,B 8,,,
230275749,Langemarckstraße,secondary,True,False,15.931,"LINESTRING (7.1597646 50.8112207, 7.1598677 50.8110931)",1,50,,,,
304873824,Theodor-Heuss-Ring,primary,False,False,7.214,"LINESTRING (7.1597646 50.8112207, 7.1598613 50.8111989)",2,50,B 8,,,
"[304873825, 60065367]",Theodor-Heuss-Ring,primary,False,True,128.523,"LINESTRING (7.1597646 50.8112207, 7.1597396 50.8112342, 7.1596601 50.811277, 7.159514 50.8113468, 7.1593141 50.8114203, 7.158935 50.8115481, 7.1587697 50.8115957, 7.158671 50.8116274, 7.1583962 50.8117129, 7.1581766 50.8117872)","['2', '3']",50,B 8,,,
9089491,Am Sanderhof,residential,True,False,154.0,"LINESTRING (7.1656871 50.8145124, 7.1656798 50.814384, 7.1656626 50.8142881, 7.1656433 50.814194, 7.165632 50.8141392, 7.1656144 50.8140537, 7.1656094 50.8140254, 7.1656001 50.8139731, 7.1655969 50.8139497, 7.1655955 50.8139276, 7.1655985 50.8139037, 7.1656093 50.8138355, 7.1656332 50.8137567, 7.1656656 50.8136731, 7.1657546 50.8134746, 7.1658343 50.8133036, 7.16586 50.8132592, 7.165899 50.8131955, 7.1659155 50.8131815, 7.1659452 50.8131734)",1,30,,destination,5.00,
61589819,Frankfurter Straße,primary,False,True,30.439999999999998,"LINESTRING (7.1656871 50.8145124, 7.1655329 50.8145274, 7.1654498 50.8145277, 7.1652558 50.8145327)",3,50,B 8,,,
85733894,Frankfurter Straße,primary,False,False,22.255000000000003,"LINESTRING (7.1656871 50.8145124, 7.1658143 50.814498, 7.1659989 50.8144771)",2,50,B 8,,,
142938497,Römerstraße,tertiary,False,False,25.86,"LINESTRING (7.1656871 50.8145124, 7.1656918 50.8145971, 7.1656956 50.8146455, 7.1656977 50.8146705, 7.1657043 50.8147447)",2,50,,,,
