osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry
"[172299902, 53165093, 53165094]",L 33,Bahnhofstraße,secondary,50,False,True,156.691,yes,2,"LINESTRING (13.3061451 53.4970907, 13.306239 53.4970217, 13.3064166 53.4968616, 13.3065182 53.4967755, 13.3066949 53.4966448, 13.306835 53.4965646, 13.3071096 53.4964298, 13.3072141 53.4963837, 13.3072871 53.4963518, 13.3074399 53.4962883, 13.307655 53.4962153, 13.3077328 53.4961882, 13.3078601 53.4961494)"
62148162,,Walkmüllerweg,residential,,False,True,168.53900000000002,,,"LINESTRING (13.3061451 53.4970907, 13.3063042 53.4971401, 13.3069639 53.4973664, 13.3080132 53.497738, 13.3080651 53.4977564, 13.3081104 53.4977733, 13.3082232 53.4978246, 13.3081513 53.497889)"
62331235,,Bahnhofstraße,residential,50,False,False,92.047,,,"LINESTRING (13.3061451 53.4970907, 13.3060451 53.4972318, 13.3059468 53.497347, 13.3055482 53.4977425, 13.3054757 53.497815)"
"[233965536, 626874916]",L 33,Bahnhofstraße,secondary,50,False,False,102.72899999999998,,2,"LINESTRING (13.3061451 53.4970907, 13.3060435 53.497125, 13.3059487 53.4971446, 13.3058123 53.4971614, 13.3056694 53.4971714, 13.3056049 53.497179, 13.3055129 53.4971971, 13.3054096 53.4972223, 13.3053144 53.4972517, 13.3052333 53.4972828, 13.3051776 53.4973101, 13.3050779 53.4973713, 13.3049897 53.4974369, 13.304866 53.4975437)"
626877778,K 85,Carl-Stolte-Straße,tertiary,,False,True,8.86,,,"LINESTRING (13.3109995 53.4963027, 13.3109458 53.4962297)"
"[626877778, 626877774]",K 85,Carl-Stolte-Straße,tertiary,,False,False,25.93,,,"LINESTRING (13.3109995 53.4963027, 13.3111099 53.4964319, 13.3111905 53.496506)"
626877779,,Grabenstraße,residential,,False,False,186.288,,,"LINESTRING (13.3109995 53.4963027, 13.3097831 53.4966115, 13.3095089 53.4966921, 13.3092667 53.4967121, 13.3087558 53.4967063, 13.3083404 53.4967777)"
"[626877778, 10700679]",K 85,Carl-Stolte-Straße,tertiary,,False,False,103.09899999999999,,2,"LINESTRING (13.3102891 53.4953889, 13.3103996 53.4955251, 13.3104889 53.4956467, 13.3105402 53.4957111, 13.3106658 53.4958692, 13.3108327 53.4960791, 13.3109458 53.4962297)"
375885677,L 33,Marktstraße,secondary,50,False,True,84.43,,,"LINESTRING (13.3102891 53.4953889, 13.310565 53.4952991, 13.3111618 53.4951363, 13.3112316 53.4951261, 13.3113087 53.4951245, 13.3113874 53.4951332, 13.3114592 53.4951485)"
"[626874912, 626874914, 28433586, 626874911]",L 33,Marktstraße,secondary,50,False,False,90.535,,"['2', '3']","LINESTRING (13.3102891 53.4953889, 13.3100206 53.4954763, 13.3097526 53.4955656, 13.3094816 53.4956537, 13.3092163 53.4957374, 13.3090867 53.4957778)"
26514641,,Grabenstraße,residential,,False,False,94.38,,,"LINESTRING (13.3119296 53.4956203, 13.3117398 53.4957875, 13.3109458 53.4962297)"
26514641,,Grabenstraße,residential,,False,True,122.88000000000001,,,"LINESTRING (13.3119296 53.4956203, 13.3124752 53.4952608, 13.3127971 53.4950975, 13.3129725 53.4949397, 13.3131101 53.4947795)"
52218794,,Am Berge,residential,,False,False,49.178000000000004,,,"LINESTRING (13.3119296 53.4956203, 13.3116914 53.4953122, 13.3116775 53.495288, 13.3116669 53.4952556, 13.311675 53.4952113)"
52218794,,Am Berge,residential,,False,True,49.178000000000004,,,"LINESTRING (13.311675 53.4952113, 13.3116669 53.4952556, 13.3116775 53.495288, 13.3116914 53.4953122, 13.3119296 53.4956203)"
"[222874228, 375885677]",L 33,"['Mühlenstraße', 'Marktstraße']",secondary,"['50', '30']",False,False,15.899000000000001,,,"LINESTRING (13.311675 53.4952113, 13.3115572 53.4951745, 13.3114592 53.4951485)"
