osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,width,access,junction
198056610,True,Neue Fischstraße,secondary_link,50,False,10.657,,,"LINESTRING (9.6480304 48.7033148, 9.6478858 48.7033237)",,,
243524004,True,Willi-Bleicher-Straße,secondary,50,False,124.117,2,L 1214,"LINESTRING (9.6480304 48.7033148, 9.6480271 48.7033425, 9.6479284 48.7043796, 9.6479325 48.7044288)",,,
106512318,False,Stuttgarter Straße,primary,50,True,11.381,2,B 297,"LINESTRING (9.6480188 48.7047421, 9.647869 48.7047686)",,,
"[1126962281, 4057351]",False,Hauptstraße,residential,20,False,29.799,,,"LINESTRING (9.6480188 48.7047421, 9.6480725 48.7047351, 9.6481092 48.7047303, 9.6481559 48.7047212, 9.6482296 48.7047083, 9.6484123 48.7046764)",,,
4057368,True,Lorcher Straße,primary,50,False,100.251,2,B 297,"LINESTRING (9.6480188 48.7047421, 9.6480537 48.7048088, 9.6481059 48.7048913, 9.6486624 48.7055356)",,,
238216296,False,Eberhardstraße,residential,50,True,8.463,2,,"LINESTRING (9.6495425 48.7067305, 9.649432 48.7067523)",,,
4057519,False,Burgstraße,residential,30,False,103.17699999999999,2,,"LINESTRING (9.6495425 48.7067305, 9.6495942 48.706721, 9.6496949 48.7067024, 9.6498081 48.7066815, 9.6498668 48.7066733, 9.6500322 48.7066506, 9.6503436 48.7066066, 9.6507785 48.7065398, 9.6509085 48.7065126)",,,
806170395,True,Lorcher Straße,primary,50,False,38.998,2,B 297,"LINESTRING (9.6495425 48.7067305, 9.6495899 48.7068282, 9.6496001 48.7068779, 9.649613 48.7069413, 9.6496107 48.7069569, 9.6495937 48.7070747)",,,
4057084,False,Marktstraße,residential,30,True,107.322,,,"LINESTRING (9.6554461 48.7051973, 9.6557503 48.7056538, 9.6558949 48.7058708, 9.6560349 48.7060808)",7,,
4057467,False,Friedrich-Ebert-Straße,residential,30,False,78.405,,,"LINESTRING (9.6554461 48.7051973, 9.6564466 48.7050337, 9.6564832 48.7050277)",,,
71588463,False,Marktstraße,residential,30,False,88.84800000000001,,,"LINESTRING (9.6554461 48.7051973, 9.6551422 48.7047457, 9.6551124 48.7047052, 9.6550286 48.7045769, 9.6550096 48.7045416, 9.6550095 48.7045222, 9.6550503 48.7044649)",9.5,,
488700253,False,Burgstraße,residential,30,True,109.822,2,,"LINESTRING (9.6554461 48.7051973, 9.6549726 48.7053251, 9.6548248 48.705365, 9.6540729 48.7055896)",,,
34428530,False,Friedrich-Ebert-Straße,residential,30,False,59.803,,,"LINESTRING (9.6594158 48.7046869, 9.6602261 48.7046295)",,,
4057467,False,Friedrich-Ebert-Straße,residential,30,True,97.155,,,"LINESTRING (9.6594158 48.7046869, 9.6592651 48.7047014, 9.6585431 48.7047853, 9.6581116 48.704837)",,,
10672432,False,Mörikestraße,residential,30,True,51.183,,,"LINESTRING (9.6594158 48.7046869, 9.6595747 48.7047147, 9.6596357 48.7047418, 9.659684 48.7047862, 9.659741 48.7048648, 9.6597783 48.7049559, 9.6597942 48.7050222)",,,
34428538,False,Mörikestraße,residential,30,False,108.195,,,"LINESTRING (9.6594158 48.7046869, 9.659395 48.7046052, 9.6592946 48.7042101, 9.6592797 48.7041517, 9.6592514 48.7040404, 9.6592365 48.7039817, 9.6592208 48.7039201, 9.6592177 48.7039062, 9.6591718 48.7037273)",8,,
34428530,False,Friedrich-Ebert-Straße,residential,30,True,59.803,,,"LINESTRING (9.6602261 48.7046295, 9.6594158 48.7046869)",,,
4057020,False,Theodor-Heuss-Straße,residential,50,False,32.439,2,,"LINESTRING (9.6602261 48.7046295, 9.660383 48.7045004, 9.6604823 48.7043925)",,,
4057318,False,Mörikestraße,residential,50,False,54.007999999999996,,,"LINESTRING (9.6602261 48.7046295, 9.6600478 48.704774, 9.6597942 48.7050222)",,,
532822263,False,Blumenstraße,residential,30,False,26.482999999999997,,,"LINESTRING (9.6602261 48.7046295, 9.660476 48.7046278, 9.6605861 48.704637)",9,,
25464799,True,Freihofstraße,residential,30,False,37.656,,,"LINESTRING (9.6540729 48.7055896, 9.6542767 48.7059004)",,,
15259154,False,Freihofstraße,living_street,,True,109.169,,,"LINESTRING (9.6540729 48.7055896, 9.6539208 48.7053511, 9.6537081 48.7050176, 9.6536376 48.7049071, 9.6534958 48.7046847)",,,
488700253,False,Burgstraße,residential,30,False,109.822,2,,"LINESTRING (9.6540729 48.7055896, 9.6548248 48.705365, 9.6549726 48.7053251, 9.6554461 48.7051973)",,,
488700253,False,Burgstraße,residential,30,True,98.10000000000001,2,,"LINESTRING (9.6540729 48.7055896, 9.6539653 48.7056223, 9.653794 48.7056733, 9.6532473 48.705836, 9.6529339 48.7059292, 9.6528978 48.7059396, 9.6528551 48.7059535)",,,
8108103,True,Geislinger Straße,residential,50,False,59.316,1,,"LINESTRING (9.6565545 48.7007785, 9.6568199 48.7007461, 9.6573581 48.7007377)",,,
8108106,False,Geislinger Straße,residential,50,False,113.01400000000001,2,,"LINESTRING (9.6565545 48.7007785, 9.6564883 48.7007818, 9.6562462 48.7007937, 9.6556719 48.700822, 9.655558 48.7008276, 9.655467 48.7008361, 9.6550226 48.7008774)",,,
8108109,True,Grabenstraße,residential,,False,83.17599999999999,,,"LINESTRING (9.6518672 48.7018998, 9.6515695 48.7019559, 9.6515408 48.7019637, 9.6513179 48.7020243, 9.6511545 48.7020872, 9.6508712 48.7022365)",,,
4057044,True,Vordere Karlstraße,residential,50,False,69.215,2,,"LINESTRING (9.6583124 48.7008298, 9.6577387 48.7008447, 9.6575485 48.7008448, 9.6573697 48.7008449)",,,
"[10591176, 243523993]",False,Mörikestraße,residential,50,"[False, True]",60.57599999999999,3,,"LINESTRING (9.6583124 48.7008298, 9.658377 48.7010644, 9.6584121 48.701192, 9.6584497 48.7013285, 9.6584599 48.7013658)",,,
22970827,True,Schulstraße,residential,20,False,105.68299999999999,,,"LINESTRING (9.6533294 48.7033544, 9.6535502 48.7037178, 9.6536038 48.7038007, 9.6538877 48.7042304)",4.5,,
53864224,True,Schulstraße,residential,20,False,97.65100000000001,,,"LINESTRING (9.6533294 48.7033544, 9.6530486 48.702924, 9.6530197 48.702877, 9.6530041 48.7028529, 9.652806 48.702547)",5.3,,
