osmid,highway,junction,oneway,reversed,length,geometry,name,ref,maxspeed,tunnel,lanes,bridge
11123541,primary,roundabout,True,False,18.135,"LINESTRING (7.6757662 52.5135354, 7.6757135 52.5135296, 7.6756666 52.5135138, 7.6756303 52.5134898, 7.6756085 52.5134599, 7.6756035 52.5134275)",,,,,,
23685715,residential,,False,False,144.511,"LINESTRING (7.6757662 52.5135354, 7.6757593 52.5135664, 7.6757382 52.5136251, 7.675648 52.5139201, 7.6753914 52.5145648, 7.6753304 52.5148068)",Burgstraße,,,,,
11123541,primary,roundabout,True,False,15.428,"LINESTRING (7.6757924 52.5133341, 7.6758467 52.5133448, 7.6758918 52.513366, 7.6759225 52.5133952, 7.6759352 52.513429)",,,,,,
23685725,residential,,False,True,179.361,"LINESTRING (7.668287 52.5176734, 7.6683554 52.517666, 7.6684565 52.5176653, 7.6686361 52.517653, 7.6688317 52.5176251, 7.6691709 52.5176089, 7.6692462 52.5176054, 7.6709265 52.5175498)",Bahnhofstraße,,,,,
584739851,primary,roundabout,True,False,22.945,"LINESTRING (7.668287 52.5176734, 7.6682664 52.5177054, 7.6682307 52.5177321, 7.6681833 52.5177509, 7.6681289 52.51776, 7.6680724 52.5177587, 7.6680193 52.5177469)",,B 214,,,,
"[586563835, 23685732]",tertiary,,False,False,78.96300000000001,"LINESTRING (7.6800669 52.5178027, 7.6801316 52.5177469, 7.6803424 52.5176827, 7.6804841 52.5176458, 7.680744 52.5175753, 7.6810859 52.5174739)",Osnabrücker Straße,K 117,30,,,
23685733,tertiary,,False,False,27.504,"LINESTRING (7.6800669 52.5178027, 7.6800415 52.5178595, 7.6800501 52.5179233, 7.6800973 52.5179795, 7.6801526 52.5180308)",Wegemühlenweg,K 117,30,,,
"[584186480, 23685719, 584186479]",residential,,False,True,123.537,"LINESTRING (7.6800669 52.5178027, 7.6799475 52.5177838, 7.6794848 52.5177358, 7.6789409 52.5176716, 7.678659 52.5176245, 7.6785383 52.5176026, 7.6784611 52.5175864, 7.6782905 52.5175534)",Buten Porten,,20,building_passage,1,
23685712,residential,,False,False,162.80700000000002,"LINESTRING (7.6801526 52.5180308, 7.6800981 52.5180589, 7.6800362 52.5181114, 7.6798237 52.5184021, 7.6790325 52.5193216)",Brunnenstraße,,,,,
23685733,tertiary,,False,False,171.63900000000004,"LINESTRING (7.6801526 52.5180308, 7.6802678 52.5181087, 7.6808037 52.5184097, 7.6814688 52.5187812, 7.6816645 52.5189382, 7.6817347 52.5190057, 7.681805 52.5190905, 7.6818262 52.5191631)",Wegemühlenweg,K 117,30,,,
23685733,tertiary,,False,True,27.503999999999998,"LINESTRING (7.6801526 52.5180308, 7.6800973 52.5179795, 7.6800501 52.5179233, 7.6800415 52.5178595, 7.6800669 52.5178027)",Wegemühlenweg,K 117,30,,,
23685733,tertiary,,False,True,171.63899999999998,"LINESTRING (7.6818262 52.5191631, 7.681805 52.5190905, 7.6817347 52.5190057, 7.6816645 52.5189382, 7.6814688 52.5187812, 7.6808037 52.5184097, 7.6802678 52.5181087, 7.6801526 52.5180308)",Wegemühlenweg,K 117,30,,,
23685734,tertiary,,False,False,88.239,"LINESTRING (7.6818262 52.5191631, 7.6818443 52.5192365, 7.6820062 52.5195588, 7.6821894 52.5199245)",Dalumer Straße,K 117,50,,,
