osmid,name,highway,maxspeed,access,width,oneway,reversed,length,geometry,lanes,bridge,junction
"[25161874, 34128708]",Poststraße,living_street,10,yes,6,False,True,175.563,"LINESTRING (8.347194 51.6747074, 8.3466776 51.6747422, 8.3455561 51.6748006, 8.3448635 51.6748286, 8.3447614 51.674831, 8.3446569 51.6748369)",,,
25215183,Lichtenbergstraße,residential,30,,,True,False,96.12,"LINESTRING (8.342289 51.6730958, 8.3421472 51.6734454, 8.3419489 51.6739341)",,,
25284767,Klosterstraße,residential,30,,,True,False,67.229,"LINESTRING (8.342289 51.6730958, 8.3425458 51.6731239, 8.3428469 51.6731533, 8.3431868 51.6731818, 8.3432528 51.6731861)",1,,
"[19651449, 44375082, 44375083]",Cappeltor,tertiary,"['50', '30']",,,True,False,25.003000000000004,"LINESTRING (8.3403952 51.6790397, 8.3404433 51.6789825, 8.3404618 51.6789608, 8.3405449 51.6788663, 8.3405642 51.6788408)",,yes,
25016022,Cappelstraße,tertiary,30,,,True,False,44.179,"LINESTRING (8.3424293 51.6759506, 8.3426236 51.675572)",,,
"[25284762, 25284758]","['David-Gans-Straße', 'Stiftstraße']",residential,30,,,True,False,156.216,"LINESTRING (8.3424293 51.6759506, 8.3410405 51.6756999, 8.3410195 51.675735, 8.3407949 51.6761844)",1,,
24940230,Soeststraße,residential,30,,,False,False,98.11399999999999,"LINESTRING (8.34293 51.674941, 8.3416209 51.6747058, 8.3415636 51.6746949)",,,
36995576,Cappelstraße,tertiary,30,,,True,False,84.09,"LINESTRING (8.34293 51.674941, 8.3430023 51.6744322, 8.3430336 51.6741875)",,,
24940240,Fleischhauerstraße,residential,30,,,True,False,118.69200000000002,"LINESTRING (8.3430336 51.6741875, 8.3434436 51.6742139, 8.3439809 51.6741766, 8.3442938 51.6741504, 8.3445427 51.6741289, 8.3446136 51.6741312, 8.3446749 51.6741479, 8.344728 51.6741694)",,,
25215181,Kolpingstraße,residential,30,,,True,False,80.077,"LINESTRING (8.3430336 51.6741875, 8.3427757 51.674147, 8.3419489 51.6739341)",,,
36995576,Cappelstraße,tertiary,30,,,True,False,112.39999999999999,"LINESTRING (8.3430336 51.6741875, 8.343193 51.6735399, 8.3431976 51.6735125, 8.3432391 51.6732633, 8.3432528 51.6731861)",,,
127051483,Jakob-Koenen-Straße,tertiary,50,,,True,False,49.712,"LINESTRING (8.3480512 51.670895, 8.3481411 51.6708954, 8.3482634 51.6709244, 8.348341 51.6709579, 8.3484574 51.6710429, 8.3485722 51.6711634)",1,,
25215180,Geiststraße,residential,30,,,False,False,81.594,"LINESTRING (8.3492817 51.675143, 8.3504272 51.674959)",,,
"[45854512, 313859296, 313859301]",Brüderstraße,tertiary,30,,,True,False,277.914,"LINESTRING (8.3492817 51.675143, 8.3493111 51.6756713, 8.349289 51.675761, 8.3492355 51.6758359, 8.3490885 51.6759417, 8.3489254 51.6760116, 8.3487997 51.6760522, 8.348632 51.6760952, 8.3481313 51.6762234, 8.3479233 51.6762617, 8.3477256 51.6762828, 8.346953 51.6762974, 8.3465362 51.676262)",1,,
"[34128704, 34128705, 23768058]",Marktstraße,residential,30,,,True,False,287.72299999999996,"LINESTRING (8.3465362 51.676262, 8.3464342 51.6762563, 8.3451848 51.6762813, 8.3451425 51.6762805, 8.3449445 51.6762766, 8.3447749 51.6762684, 8.3447245 51.6762652, 8.3445856 51.6762586, 8.3443636 51.6762491, 8.3441131 51.6762174, 8.3438843 51.6761878, 8.3429137 51.6760605, 8.3424293 51.6759506)",,,
23768059,Lange Straße,tertiary,50,,,True,False,99.984,"LINESTRING (8.3465362 51.676262, 8.3464169 51.6766579, 8.3463473 51.6768243, 8.3463046 51.6769571, 8.3462677 51.6771046, 8.3462646 51.6771444)",,,
"[25161874, 34128708]",Poststraße,living_street,10,yes,6,False,False,175.563,"LINESTRING (8.3446569 51.6748369, 8.3447614 51.674831, 8.3448635 51.6748286, 8.3455561 51.6748006, 8.3466776 51.6747422, 8.347194 51.6747074)",,,
25161879,Poststraße,residential,30,,,True,False,120.14,"LINESTRING (8.3446569 51.6748369, 8.3442668 51.6748699, 8.3439958 51.6748928, 8.3434994 51.6749349, 8.3432043 51.674957, 8.3430869 51.6749583, 8.3429837 51.6749481, 8.34293 51.674941)",,,
25215180,Geiststraße,residential,30,,,False,True,9.824,"LINESTRING (8.3505648 51.6749361, 8.3504272 51.674959)",,,
5107906,Am Martinswall,residential,,,,False,True,77.95600000000002,"LINESTRING (8.3505648 51.6749361, 8.3507049 51.6754103, 8.3507254 51.6754894, 8.350696 51.6755295, 8.3506393 51.6755596, 8.3505668 51.6755779)",,,
"[75663281, 44379900, 75663286]",Geiststraße,residential,30,,,False,False,175.27400000000003,"LINESTRING (8.3505648 51.6749361, 8.3513917 51.6748434, 8.3516649 51.6748128, 8.3524934 51.6747257, 8.3527616 51.6746975, 8.3529779 51.6747155, 8.3530647 51.6747368)",,yes,
"[141660869, 5107901, 45727087]",Ferdinandstraße,residential,50,,,False,False,28.26,"LINESTRING (8.3509267 51.6712408, 8.3509162 51.6713617, 8.3509185 51.6714449, 8.3509225 51.6714947)",,,
