osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width
31308536,2,Lindenstraße,tertiary,50,False,True,161.75099999999998,"LINESTRING (9.7257396 48.2816558, 9.7256938 48.2816437, 9.7254284 48.2815657, 9.7252156 48.2815024, 9.7251538 48.2814818, 9.7249811 48.2814242, 9.7249081 48.2813944, 9.7248786 48.2813824, 9.7247689 48.2813377, 9.7246023 48.2812551, 9.7244959 48.2812023, 9.7244232 48.2811663, 9.724348 48.281129, 9.7242518 48.2810813, 9.7242255 48.2810683, 9.7241457 48.2810287, 9.7239008 48.2808864)",,,
"[1107956874, 583464019, 866008940]",3,Lindenstraße,tertiary,50,False,False,112.245,"LINESTRING (9.7257396 48.2816558, 9.7259762 48.2817206, 9.726169 48.2817777, 9.7266645 48.2819244, 9.7269545 48.282016, 9.7271191 48.2820746)",,,
101828459,,Marktstraße,living_street,,False,False,89.59700000000001,"LINESTRING (9.7271191 48.2820746, 9.7270511 48.2821594, 9.7266445 48.2826055, 9.726631 48.2826203, 9.7266204 48.282632, 9.7264695 48.2827526)",,,
179897741,,Lindenstraße,tertiary,50,False,True,64.664,"LINESTRING (9.7271191 48.2820746, 9.7273578 48.2821583, 9.7274489 48.2821938, 9.7276895 48.2822939, 9.7277531 48.2823264, 9.7278602 48.2823806)",,,
"[1107956874, 583464019, 866008940]",3,Lindenstraße,tertiary,50,False,True,112.245,"LINESTRING (9.7271191 48.2820746, 9.7269545 48.282016, 9.7266645 48.2819244, 9.726169 48.2817777, 9.7259762 48.2817206, 9.7257396 48.2816558)",,,
151000685,,Müllerstraße,tertiary,50,False,False,100.643,"LINESTRING (9.7278602 48.2823806, 9.7278841 48.2823517, 9.7279265 48.2823002, 9.7280013 48.2821861, 9.7280405 48.2821207, 9.7282519 48.2817808, 9.7283959 48.2815492)",,,
179897741,,Lindenstraße,tertiary,50,False,False,64.664,"LINESTRING (9.7278602 48.2823806, 9.7277531 48.2823264, 9.7276895 48.2822939, 9.7274489 48.2821938, 9.7273578 48.2821583, 9.7271191 48.2820746)",,,
"[31308537, 865979932]",2,Lindenstraße,tertiary,50,False,True,132.19,"LINESTRING (9.7278602 48.2823806, 9.7280407 48.2824779, 9.7282287 48.2825791, 9.7285022 48.2827265, 9.7287151 48.2828412, 9.728916 48.2829495, 9.7291781 48.2830921, 9.7292487 48.2831286)",,,
"[266115513, 266115514, 178807765]",,Münsinger Straße,tertiary,50,False,True,156.178,"LINESTRING (9.7198215 48.2853434, 9.7198374 48.2853023, 9.7198668 48.2852071, 9.7198765 48.2851609, 9.7199549 48.2847476, 9.7199847 48.2845937, 9.7200784 48.284259, 9.7201801 48.2840862, 9.7202343 48.2840255, 9.7202919 48.2839936)",yes,,
476702050,,Adolffstraße,tertiary,50,False,False,77.832,"LINESTRING (9.7198215 48.2853434, 9.7198977 48.2853659, 9.7199862 48.2853954, 9.7200272 48.2854097, 9.720139 48.285454, 9.7202667 48.2855087, 9.720398 48.2855649, 9.7205113 48.2856134, 9.7206852 48.2856879, 9.7207219 48.2857036)",,,
293427982,,Fischersteige,tertiary,,False,True,17.836,"LINESTRING (9.7324482 48.2820945, 9.7325274 48.281943)",,,
293427982,,Fischersteige,tertiary,,False,False,65.327,"LINESTRING (9.7324482 48.2820945, 9.7323341 48.2822506, 9.7323064 48.2822906, 9.7321858 48.2824647, 9.7320737 48.2826265)",,,
179775528,,Scheibengasse,residential,,False,False,59.184,"LINESTRING (9.7225287 48.2813729, 9.7222552 48.2813558, 9.7220449 48.2813426, 9.7217324 48.2813231)",,,
179775528,,Scheibengasse,residential,,False,True,82.96000000000001,"LINESTRING (9.7225287 48.2813729, 9.7229434 48.281383, 9.7230581 48.2813858, 9.7236488 48.281367)",,,
179878385,,Stadtwirtsgäßle,residential,,False,False,81.32000000000001,"LINESTRING (9.7225287 48.2813729, 9.7225064 48.2815675, 9.7222506 48.281582, 9.7218679 48.2816514, 9.7217509 48.2817163)",,,
179775528,,Scheibengasse,residential,,False,False,82.96000000000001,"LINESTRING (9.7236488 48.281367, 9.7230581 48.2813858, 9.7229434 48.281383, 9.7225287 48.2813729)",,,
179878384,,Webergasse,living_street,,False,False,70.957,"LINESTRING (9.7236488 48.281367, 9.7236212 48.281495, 9.7235971 48.2815655, 9.7235637 48.2816076, 9.7235274 48.281636, 9.7234543 48.2816767, 9.7230691 48.2818084)",,,
503984865,,Webergasse,living_street,,False,True,56.75,"LINESTRING (9.7236488 48.281367, 9.723844 48.2809544, 9.7239008 48.2808864)",,,
"[868157387, 39606765]",,Hauptstraße,living_street,,True,False,63.589999999999996,"LINESTRING (9.7249953 48.2830161, 9.7251242 48.2830171, 9.7253023 48.2830323, 9.7254793 48.2830555, 9.7255922 48.2830847, 9.7256357 48.2831012, 9.7257864 48.283188)",,,
"[1107956378, 1107956379, 101828444]",,Sonnengasse,residential,,True,False,85.278,"LINESTRING (9.7249953 48.2830161, 9.7250005 48.2829584, 9.7250307 48.282759, 9.7250432 48.2827298, 9.7250512 48.2827111, 9.725101 48.2825948, 9.7251273 48.2825337, 9.7252404 48.2822698)",,,
39113977,,Schillerstraße,residential,,False,False,57.56099999999999,"LINESTRING (9.7257023 48.2799541, 9.7257707 48.2797002, 9.7257885 48.2796307, 9.7258528 48.2794464)",,,
39113977,,Schillerstraße,residential,,False,True,46.876,"LINESTRING (9.7257023 48.2799541, 9.7256324 48.280344, 9.7256273 48.2803727)",,,
266077342,,Winckelhoferstraße,tertiary,,False,False,147.014,"LINESTRING (9.7257023 48.2799541, 9.7254087 48.2799252, 9.7252954 48.2799179, 9.7252054 48.2799121, 9.7250635 48.279903, 9.7248109 48.2798867, 9.724554 48.2798702, 9.7244997 48.2798667, 9.7244488 48.2798634, 9.7240592 48.2798383, 9.723785 48.2798206, 9.7237264 48.2798213)",,,
