osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,width,junction
"[1000342917, 1000342918]",L 1126,Murrer Straße,secondary,50,False,True,211.154,"LINESTRING (9.2723768 48.9670526, 9.2736446 48.9672174, 9.2745772 48.9673363, 9.2747794 48.9673598, 9.2749385 48.9673764, 9.2752187 48.9674056)",,,,
285090535,K 1610,Höpfigheimer Straße,tertiary,50,False,False,84.924,"LINESTRING (9.2749905 48.9684533, 9.2749076 48.9685726, 9.2748416 48.9687078, 9.2748099 48.9687728, 9.274686 48.9690598, 9.2746391 48.96918)",,,,
1000342936,K 1610,Höpfigheimer Straße,tertiary,50,False,True,62.794000000000004,"LINESTRING (9.2749905 48.9684533, 9.2752435 48.9681164, 9.2753709 48.9679468)",,,,
1000342937,,Karl-Sigrist-Straße,residential,30,False,True,70.007,"LINESTRING (9.2749905 48.9684533, 9.2751779 48.9685288, 9.2758079 48.9687826)",,,,
24623427,,Kurze Straße,residential,,False,True,68.042,"LINESTRING (9.2745177 48.9677004, 9.2753709 48.9679468)",,,,
145228213,,Binsenweg,living_street,,False,True,38.002,"LINESTRING (9.2812824 48.9691792, 9.2815613 48.9691435, 9.2817756 48.9690779)",,,,
24900742,,Wahlwiesenstraße,residential,50,False,False,70.735,"LINESTRING (9.2722619 48.9665722, 9.272502 48.9659559)",,,,
24900741,,Bahnhofstraße,residential,50,False,True,245.793,"LINESTRING (9.2722619 48.9665722, 9.2723824 48.9665953, 9.2726233 48.9666414, 9.2728019 48.9666757, 9.2729962 48.9667129, 9.273515 48.9668468, 9.273806 48.9669127, 9.2743672 48.9669888, 9.2745505 48.9670157, 9.2749365 48.9670707, 9.2755079 48.9671397)",,,,
24900742,,Wahlwiesenstraße,residential,50,False,True,69.576,"LINESTRING (9.272757 48.965353, 9.272502 48.9659559)",,,,
"[24900744, 166004603]",,Brühlstraße,residential,30,False,True,59.179,"LINESTRING (9.272757 48.965353, 9.2728176 48.9652015, 9.272835 48.9651641, 9.2729694 48.9648394)",yes,,,
121465042,,Industriestraße,residential,50,False,False,337.033,"LINESTRING (9.272757 48.965353, 9.2764447 48.9659671, 9.276561 48.9660187, 9.2766227 48.966079, 9.2766837 48.9662031, 9.2768327 48.9664202)",,,,
25074355,,Breslauer Straße,unclassified,30,False,True,150.904,"LINESTRING (9.2763828 48.9640432, 9.2762778 48.964337, 9.2760861 48.9648063, 9.2758585 48.9653558)",,,,
166004603,,Brühlstraße,residential,30,False,False,69.485,"LINESTRING (9.2763828 48.9640432, 9.2759571 48.9640183, 9.2754335 48.9640375)",,,,
166004603,,Brühlstraße,residential,30,False,True,76.636,"LINESTRING (9.2763828 48.9640432, 9.2766007 48.9640627, 9.2768208 48.9640824, 9.2772581 48.9641704, 9.2773886 48.9642194)",,,,
"[39857072, 24900745, 440037489, 963219275]",,Badtorstraße,unclassified,30,False,False,71.453,"LINESTRING (9.2786272 48.9635428, 9.2786211 48.9635932, 9.2785655 48.9638887, 9.27852 48.9641302, 9.2785097 48.9641807)",yes,,,
24900747,,Marbacher Weg,residential,30,False,True,218.90800000000002,"LINESTRING (9.2786272 48.9635428, 9.2785433 48.9635385, 9.2775304 48.9634722, 9.2771311 48.9634143, 9.2767127 48.9633287, 9.2761944 48.9631989, 9.2759849 48.9631424, 9.2757475 48.9630606)",,,,
"[440037488, 25918384]",,An der Steige,residential,,False,False,234.26999999999998,"LINESTRING (9.2786272 48.9635428, 9.2787694 48.9635311, 9.2789168 48.9634612, 9.2794275 48.9632691, 9.2799616 48.9630975, 9.2802531 48.96296, 9.2804886 48.9627721, 9.2808913 48.9624584, 9.281092 48.9622732)",,,,
24900743,,Brühlstraße,residential,30,False,False,39.177,"LINESTRING (9.2785097 48.9641807, 9.2782274 48.9642379, 9.2780886 48.9642558, 9.2779907 48.9642684)",,,,
24900746,,Badtorstraße,residential,,False,False,47.294,"LINESTRING (9.2785097 48.9641807, 9.2784922 48.9643388, 9.2785886 48.964598)",,,,
"[39857072, 440037489, 24900745, 963219275]",,Badtorstraße,unclassified,30,False,True,71.45299999999999,"LINESTRING (9.2785097 48.9641807, 9.27852 48.9641302, 9.2785655 48.9638887, 9.2786211 48.9635932, 9.2786272 48.9635428)",yes,,,
199090028,L 1126,Marktstraße,secondary,40,False,True,24.311,"LINESTRING (9.279117 48.9652876, 9.2793835 48.9651565)",,,,
24900746,,Badtorstraße,residential,,False,True,23.636,"LINESTRING (9.279117 48.9652876, 9.279103 48.9652727, 9.278946 48.9651071)",,,,
"[1071121337, 199088805]",L 1126,Marktstraße,secondary,40,False,"[False, True]",60.548,"LINESTRING (9.279117 48.9652876, 9.2785732 48.9655605, 9.2784889 48.9656379)",,2,,
24900747,,Marbacher Weg,residential,30,False,False,92.87199999999999,"LINESTRING (9.2747065 48.9625821, 9.274902 48.9626863, 9.2752462 48.9628518, 9.2754999 48.9629598, 9.2757475 48.9630606)",,,,
24900759,,Schillerstraße,residential,30,False,True,85.524,"LINESTRING (9.2746391 48.96918, 9.2747685 48.9692461, 9.2755637 48.9696524)",,,,
285090535,K 1610,Höpfigheimer Straße,tertiary,50,False,True,84.924,"LINESTRING (9.2746391 48.96918, 9.274686 48.9690598, 9.2748099 48.9687728, 9.2748416 48.9687078, 9.2749076 48.9685726, 9.2749905 48.9684533)",,,,
24936055,,Holzweg,unclassified,,False,True,33.191,"LINESTRING (9.2826787 48.9678838, 9.2831288 48.9679261)",,,,
24936054,,Klosterstraße,unclassified,30,False,False,50.668,"LINESTRING (9.2826787 48.9678838, 9.2825313 48.9678016, 9.2823582 48.9677162, 9.2821348 48.9676009)",,,,
24936054,,Klosterstraße,unclassified,30,False,False,140.21099999999998,"LINESTRING (9.2813194 48.9673046, 9.2811619 48.9672489, 9.2809901 48.9671446, 9.2808572 48.9670409, 9.2807618 48.9669019, 9.2805624 48.9666873, 9.2802554 48.9664765, 9.2800714 48.9663733)",,,,
24936054,,Klosterstraße,unclassified,30,False,True,68.25,"LINESTRING (9.2813194 48.9673046, 9.2816068 48.9673902, 9.2817573 48.9674358, 9.2820454 48.9675616, 9.2821348 48.9676009)",,,,
