osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,bridge,junction
4977233,Am Werredamm,unclassified,30,False,True,49.866,"LINESTRING (8.7194329 52.2010701, 8.7201595 52.2010172)",,,,,
"[4977233, 4977282]","['An der Kronprinzenbrücke', 'Am Werredamm']",unclassified,30,False,"[False, True]",270.976,"LINESTRING (8.7194329 52.2010701, 8.7183637 52.2011514, 8.7180592 52.2012663, 8.7179315 52.2012663, 8.7177683 52.2012113, 8.7174332 52.2009575, 8.7174206 52.2008951, 8.7182201 52.2000514)",,,,,
"[4977237, 79585791]",Am Werredamm,unclassified,30,False,False,85.492,"LINESTRING (8.7194329 52.2010701, 8.7195719 52.2018072, 8.7195765 52.2018339)",,,,,
"[4977233, 4977282]","['An der Kronprinzenbrücke', 'Am Werredamm']",unclassified,30,False,"[False, True]",270.976,"LINESTRING (8.7182201 52.2000514, 8.7174206 52.2008951, 8.7174332 52.2009575, 8.7177683 52.2012113, 8.7179315 52.2012663, 8.7180592 52.2012663, 8.7183637 52.2011514, 8.7194329 52.2010701)",,,,,
130408467,Im Dall,residential,30,True,False,185.844,"LINESTRING (8.7182201 52.2000514, 8.718328 52.2001175, 8.7184782 52.2001802, 8.7186398 52.20021, 8.7187611 52.2002224, 8.7189408 52.2002145, 8.7192205 52.2002009, 8.7193514 52.2001861, 8.71995 52.2000209, 8.7200701 52.1999878, 8.7202035 52.1999332, 8.7202868 52.1998825, 8.7203178 52.1998475, 8.72035 52.1997883, 8.7203147 52.1996216)",,,,,
"[997575025, 4977414]",Im Dall,"['residential', 'living_street']",30,False,True,93.63499999999999,"LINESTRING (8.7182201 52.2000514, 8.71807 52.1999664, 8.7177454 52.1998494, 8.7170511 52.1996146)",,,,,
4977744,Von-Humboldt-Straße,residential,30,False,False,43.055,"LINESTRING (8.7208542 52.1948286, 8.7214622 52.1947236)",,,,,
4977744,Von-Humboldt-Straße,residential,30,False,True,28.72,"LINESTRING (8.7208542 52.1948286, 8.7207051 52.1948747, 8.7205013 52.194968)",,,,,
"[4977338, 4977563, 366175810]","['Oeynhausener Straße', 'Bünder Straße']",secondary,50,False,"[False, True]",153.926,"LINESTRING (8.7166284 52.1977007, 8.7168738 52.1977313, 8.7172989 52.1977656, 8.7176493 52.1978078, 8.7177654 52.1978266, 8.7178508 52.1978513, 8.717998 52.1979121, 8.7181637 52.1979839, 8.718276 52.1980198, 8.7184139 52.1980463, 8.7187662 52.1980779)","['2', '3']",L 782,,,
4978006,Alte Bünder Straße,living_street,,False,True,29.454,"LINESTRING (8.7166284 52.1977007, 8.716607 52.1977576, 8.7165794 52.1979634)",,,,,
"[366175792, 366175794]",Bünder Straße,secondary,50,False,False,96.225,"LINESTRING (8.7166284 52.1977007, 8.7161155 52.1976306, 8.7156871 52.1975734, 8.7152516 52.1975093)","['2', '3']",L 782,,,
86078649,,secondary,50,True,False,40.225,"LINESTRING (8.7104604 52.1968528, 8.7100527 52.1968232, 8.7099792 52.1968179, 8.7099443 52.1968199, 8.7098739 52.1968229)",1,L 782,,,
"[366175793, 154134691, 154134667, 366175791]",Bünder Straße,secondary,50,False,True,341.58000000000004,"LINESTRING (8.7104604 52.1968528, 8.7108285 52.1969623, 8.7112087 52.197063, 8.7113968 52.1971036, 8.7118423 52.1971993, 8.7121852 52.1972578, 8.7124366 52.1972928, 8.7130943 52.1974215, 8.7132452 52.1974519, 8.713439 52.1974851, 8.7135967 52.1975026, 8.7137051 52.1975032, 8.7138435 52.1974854, 8.7140229 52.1974519, 8.7141615 52.1974256, 8.7143092 52.1974142, 8.7144023 52.1974082, 8.7145465 52.1974108, 8.7147809 52.1974404, 8.7152516 52.1975093)","['2', '3']",L 782,,,
86078639,,secondary,50,True,False,44.791,"LINESTRING (8.7090089 52.1965584, 8.7093878 52.1966042, 8.7094635 52.1966213, 8.7095699 52.1966402, 8.7096486 52.1966472)",1,L 782,,,
4977744,Von-Humboldt-Straße,residential,30,False,True,125.774,"LINESTRING (8.7205013 52.194968, 8.7189717 52.1956007)",,,,,
4977744,Von-Humboldt-Straße,residential,30,False,False,28.72,"LINESTRING (8.7205013 52.194968, 8.7207051 52.1948747, 8.7208542 52.1948286)",,,,,
4977383,Friedrichstraße,residential,30,False,False,109.10499999999999,"LINESTRING (8.7187156 52.1996574, 8.7187923 52.1996612, 8.7189126 52.199661, 8.7192134 52.1996489, 8.7203147 52.1996216)",,,,,
4977538,Markt,residential,30,False,True,176.121,"LINESTRING (8.7187156 52.1996574, 8.7187096 52.1994967, 8.7187009 52.1993009, 8.7186926 52.1991163, 8.7186851 52.1989476, 8.7186844 52.1989336, 8.7186839 52.1989223, 8.7186692 52.1987498, 8.7186604 52.1986566, 8.7186898 52.1984471, 8.7186982 52.1984094, 8.7187566 52.1981308, 8.7187587 52.1981193, 8.7187662 52.1980779)",,,,,
4977369,Fröbelstraße,residential,,False,True,103.392,"LINESTRING (8.7159777 52.1952124, 8.7146492 52.1947636)",,,,,
4977369,Fröbelstraße,residential,,False,False,103.392,"LINESTRING (8.7146492 52.1947636, 8.7159777 52.1952124)",,,,,
4977371,Fröbelstraße,residential,,False,True,52.048,"LINESTRING (8.7146492 52.1947636, 8.71424 52.1951588)",,,,,
4977383,Friedrichstraße,residential,30,False,True,109.10499999999999,"LINESTRING (8.7203147 52.1996216, 8.7192134 52.1996489, 8.7189126 52.199661, 8.7187923 52.1996612, 8.7187156 52.1996574)",,,,,
"[997575026, 4977679]",Schrakampstraße,residential,30,False,True,159.185,"LINESTRING (8.7203147 52.1996216, 8.7201269 52.1982938, 8.7201203 52.1982492, 8.7201071 52.1981958)",,,,,
4977371,Fröbelstraße,residential,,False,False,52.048,"LINESTRING (8.71424 52.1951588, 8.7146492 52.1947636)",,,,,
4977462,Jahnstraße,residential,30,False,False,72.556,"LINESTRING (8.71424 52.1951588, 8.7133123 52.1948388)",,,4,,
32877542,Jahnstraße,residential,,False,True,128.501,"LINESTRING (8.71424 52.1951588, 8.7142101 52.1951876, 8.713781 52.1956105, 8.7128866 52.1953136)",,,,,
