osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry,ref,junction,access
"[203816760, 413063539, 68868884]",2,Windmühlenstraße,residential,30,5,False,True,192.42999999999998,"LINESTRING (7.4621059 51.2630826, 7.4622943 51.2631478, 7.4625553 51.2632629, 7.4626362 51.2632953, 7.4626606 51.2633051, 7.4632491 51.2635396, 7.4632854 51.2635541, 7.463356 51.2635729, 7.4638052 51.2636865, 7.46394 51.263718, 7.4641572 51.2637687, 7.4642846 51.2637985, 7.4643574 51.2638176, 7.4644207 51.2638342, 7.4645365 51.2638885)",,,
180469666,2,Am Eispalast,residential,50,,False,True,66.237,"LINESTRING (7.4621059 51.2630826, 7.4619649 51.2630162, 7.4618486 51.2629615, 7.4616238 51.262829, 7.4613713 51.2627048)",,,
"[772246017, 180469667, 273498668]","['2', '3']",Frankfurter Straße,secondary,50,,False,False,240.20399999999998,"LINESTRING (7.4621059 51.2630826, 7.4622909 51.2629508, 7.4624185 51.2628621, 7.4626763 51.2626998, 7.4628096 51.2626159, 7.4628478 51.2625956, 7.4630529 51.2624865, 7.463611 51.2622235, 7.4639726 51.2620651, 7.4646464 51.2617628, 7.4647588 51.2617128)",L 528,,
"[184168656, 1217774955, 273497371]","['2', '3']",Frankfurter Straße,secondary,50,,False,True,255.382,"LINESTRING (7.4621059 51.2630826, 7.4619928 51.2631816, 7.4618461 51.2633077, 7.4616842 51.2634456, 7.461597 51.2635206, 7.4615265 51.2635812, 7.4614249 51.2636687, 7.4611555 51.2638963, 7.461111 51.26393, 7.4608646 51.2641396, 7.4605597 51.2644038, 7.4602867 51.2646404, 7.4599445 51.2649387)",L 528,,
"[273656169, 27782482]",,Ostring,residential,30,,False,False,37.956999999999994,"LINESTRING (7.4680651 51.2589903, 7.4680912 51.2590189, 7.4681823 51.2591265, 7.4683554 51.2592785)",,,
"[830868061, 30808685]",,Westring,residential,30,,False,False,164.284,"LINESTRING (7.4680651 51.2589903, 7.4680316 51.2589482, 7.4679134 51.2589163, 7.4678289 51.2588991, 7.4677373 51.2588903, 7.4675905 51.2588928, 7.4674305 51.258916, 7.4668659 51.2590982, 7.4666919 51.2591644, 7.4661969 51.2593545, 7.4659989 51.2594445)",,,
42843789,2,Frankfurter Straße,secondary,30,,False,False,97.42200000000001,"LINESTRING (7.4680651 51.2589903, 7.4682086 51.258841, 7.4682821 51.2587458, 7.468405 51.2585865, 7.468485 51.2584618, 7.4685744 51.2583376, 7.4686648 51.2582001)",L 528,,
"[52027433, 273656170]",2,Frankfurter Straße,secondary,30,,False,True,30.622,"LINESTRING (7.4680651 51.2589903, 7.468015 51.2590307, 7.4679025 51.2591258, 7.4678414 51.2591702, 7.4677919 51.259206)",L 528,,
42843789,2,Frankfurter Straße,secondary,30,,False,True,97.42200000000001,"LINESTRING (7.4686648 51.2582001, 7.4685744 51.2583376, 7.468485 51.2584618, 7.468405 51.2585865, 7.4682821 51.2587458, 7.4682086 51.258841, 7.4680651 51.2589903)",L 528,,
"[642281620, 171262711]","['2', '3']",Frankfurter Straße,secondary,30,,False,False,121.21499999999997,"LINESTRING (7.4686648 51.2582001, 7.468749 51.2580624, 7.468824 51.2579231, 7.4688718 51.2578255, 7.468914 51.2577211, 7.4689433 51.257648, 7.4689778 51.2575373, 7.4689829 51.2575211, 7.4690236 51.2573688, 7.4690467 51.2572446, 7.4690644 51.2571434)",L 528,,
171262748,,Klevinghauser Straße,residential,30,,False,False,38.288000000000004,"LINESTRING (7.4686648 51.2582001, 7.468916 51.2582083, 7.4690985 51.2582246, 7.469212 51.258216)",,,
325356271,,Am Heider Kopf,residential,30,,False,False,139.60100000000003,"LINESTRING (7.4711485 51.2560884, 7.4709083 51.2561301, 7.4706235 51.2561985, 7.470472 51.2562493, 7.4703237 51.2563061, 7.4701387 51.2564002, 7.4699311 51.2565414, 7.4697183 51.2566891, 7.4696368 51.2567529, 7.469534 51.2567818)",,,
273511482,1,Am Heider Kopf,residential,30,,True,False,20.381,"LINESTRING (7.469534 51.2567818, 7.4694729 51.2568277, 7.4694436 51.2568386, 7.4694083 51.2568517, 7.4693417 51.2568674, 7.4692969 51.2568828)",,,
325356271,,Am Heider Kopf,residential,30,,False,True,139.601,"LINESTRING (7.469534 51.2567818, 7.4696368 51.2567529, 7.4697183 51.2566891, 7.4699311 51.2565414, 7.4701387 51.2564002, 7.4703237 51.2563061, 7.470472 51.2562493, 7.4706235 51.2561985, 7.4709083 51.2561301, 7.4711485 51.2560884)",,,
