osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,access
30802046,3,Umgehungsstraße,secondary,50,False,True,33.075,"LINESTRING (13.5358849 51.0557224, 13.5357324 51.0557662, 13.5354613 51.0558548)",,,,
"[416219461, 119287717]","['2', '3']",Umgehungsstraße,secondary,50,False,False,135.92200000000003,"LINESTRING (13.5358849 51.0557224, 13.536119 51.0556582, 13.5365464 51.0555467, 13.5367312 51.0555, 13.5369491 51.0554533, 13.5372782 51.0553921, 13.5376304 51.0553372, 13.5377189 51.0553237)",,,,
27700894,,Umgehungsstraße,residential,,False,False,152.25399999999996,"LINESTRING (13.5377189 51.0553237, 13.5377833 51.0554224, 13.5378387 51.0554953, 13.537778 51.0556263, 13.5376145 51.055807, 13.5374878 51.0558684, 13.5372372 51.0559264, 13.5367993 51.0560176, 13.5363825 51.0561138)",,,,
"[170265860, 119287717, 531339462, 170265862]","['2', '3']",Umgehungsstraße,secondary,50,False,False,398.975,"LINESTRING (13.5377189 51.0553237, 13.5378265 51.055306, 13.538741 51.0551537, 13.5393704 51.0550625, 13.5399409 51.0549795, 13.5403471 51.0548963, 13.5407723 51.0547898, 13.5411351 51.0546912, 13.5415898 51.054528, 13.5419827 51.0543639, 13.542288 51.0542198, 13.542861 51.0539039)",S 36,,,
"[416219461, 119287717]","['2', '3']",Umgehungsstraße,secondary,50,False,True,135.922,"LINESTRING (13.5377189 51.0553237, 13.5376304 51.0553372, 13.5372782 51.0553921, 13.5369491 51.0554533, 13.5367312 51.0555, 13.5365464 51.0555467, 13.536119 51.0556582, 13.5358849 51.0557224)",,,,
45865741,,Nossener Straße,secondary,30,False,False,48.309000000000005,"LINESTRING (13.5354313 51.0513509, 13.5358501 51.051393, 13.5359851 51.0514087, 13.5361147 51.0514119)",S 192,,,
"[416219448, 360130887]",2,Nossener Straße,secondary,30,False,True,193.892,"LINESTRING (13.5354313 51.0513509, 13.5352189 51.0513293, 13.5350089 51.0513072, 13.5345638 51.0512611, 13.5340413 51.051207, 13.5339481 51.0511973, 13.5339258 51.051195, 13.5336995 51.0511839, 13.5334261 51.0511706, 13.5330481 51.0511779, 13.5326796 51.051185)",S 36,,,
416219463,2,Wielandstraße,secondary,50,False,True,204.923,"LINESTRING (13.5354313 51.0513509, 13.5353916 51.0515096, 13.5351691 51.0524003, 13.5351217 51.0525454, 13.5349353 51.0530166, 13.5348807 51.0531595)",S 36,,,
4812778,,Meißner Straße,secondary,50,False,False,143.47199999999998,"LINESTRING (13.5355168 51.0547466, 13.535363 51.0547327, 13.535284 51.054743, 13.535193 51.054777, 13.5348846 51.0548997, 13.5344565 51.0550701, 13.5343667 51.0550928, 13.534253 51.0550924, 13.5341078 51.0550583, 13.5336914 51.0549165)",S 36,,,
"[25038436, 1123934199]",,Meißner Straße,secondary,50,False,False,130.873,"LINESTRING (13.5355168 51.0547466, 13.5355151 51.0546892, 13.5355806 51.0544158, 13.5356164 51.0543367, 13.5356661 51.0542461, 13.5357784 51.0540966, 13.5360448 51.0538453, 13.5362225 51.0536822)",S 192,,,
