osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,ref,tunnel
43403361,Johann-Sebastian-Bach-Straße,residential,30,False,False,56.082,"LINESTRING (11.4742313 47.8606957, 11.4743739 47.8602005)",,,,
710370906,Johann-Sebastian-Bach-Straße,residential,,False,True,87.512,"LINESTRING (11.4742313 47.8606957, 11.4741564 47.8609634, 11.4741298 47.8611281, 11.4741398 47.8612573, 11.4741637 47.8613296, 11.4742132 47.8614713)",,,,
188960819,Adalbert-Stifter-Straße,tertiary,50,False,False,46.741,"LINESTRING (11.4767609 47.8656737, 11.4771362 47.8653371)",,,,
4056303,Ahornweg,residential,30,False,False,72.63600000000001,"LINESTRING (11.4767609 47.8656737, 11.4767181 47.8656464, 11.4760551 47.8652237)",,,,
188960819,Adalbert-Stifter-Straße,tertiary,50,False,True,133.034,"LINESTRING (11.4767609 47.8656737, 11.4759923 47.8663458, 11.4756753 47.8666229)",,,,
4056303,Ahornweg,residential,30,False,True,12.599,"LINESTRING (11.4759319 47.8651462, 11.4760551 47.8652237)",,,,
4056303,Ahornweg,residential,30,False,False,239.894,"LINESTRING (11.4759319 47.8651462, 11.4752613 47.8647431, 11.4747732 47.8649915, 11.4747678 47.8650634, 11.4755778 47.8654629, 11.4759319 47.8651462)",,,,
4056303,Ahornweg,residential,30,False,True,239.894,"LINESTRING (11.4759319 47.8651462, 11.4755778 47.8654629, 11.4747678 47.8650634, 11.4747732 47.8649915, 11.4752613 47.8647431, 11.4759319 47.8651462)",,,,
8069624,St.-Hubertus-Straße,residential,,False,True,70.614,"LINESTRING (11.4825137 47.8663498, 11.4818008 47.865932)",,,,
"[188240379, 645297391]",Jahnstraße,residential,30,False,False,445.04900000000004,"LINESTRING (11.4825137 47.8663498, 11.4824634 47.8664952, 11.4824377 47.8665697, 11.4822804 47.866753, 11.4815677 47.8674077, 11.4811788 47.8677556, 11.4808679 47.8679118, 11.4805813 47.8680167, 11.4797364 47.8682611, 11.479073 47.8684014, 11.4788043 47.8684878, 11.4786313 47.868562, 11.4784947 47.8686206, 11.4781359 47.8688156)",,,,
645297391,Jahnstraße,residential,30,False,True,249.884,"LINESTRING (11.4825137 47.8663498, 11.4825388 47.8661579, 11.4823566 47.8656447, 11.4823227 47.8655491, 11.4819122 47.8648823, 11.4818353 47.8647861, 11.4813364 47.8642903)",,,,
9819965,Jägerweg,residential,,False,True,186.239,"LINESTRING (11.4813364 47.8642903, 11.4811122 47.8643857, 11.4803744 47.863998, 11.4796413 47.8637034, 11.4792339 47.8635932)",,,,
645297391,Jahnstraße,residential,30,False,False,249.88400000000001,"LINESTRING (11.4813364 47.8642903, 11.4818353 47.8647861, 11.4819122 47.8648823, 11.4823227 47.8655491, 11.4823566 47.8656447, 11.4825388 47.8661579, 11.4825137 47.8663498)",,,,
645297391,Jahnstraße,residential,30,False,True,202.66800000000003,"LINESTRING (11.4813364 47.8642903, 11.4811568 47.8640924, 11.4807988 47.8637204, 11.4806164 47.8633562, 11.4806022 47.8630249, 11.4805429 47.8628079, 11.4803642 47.8626332)",,,,
9819965,Jägerweg,residential,,False,False,186.239,"LINESTRING (11.4792339 47.8635932, 11.4796413 47.8637034, 11.4803744 47.863998, 11.4811122 47.8643857, 11.4813364 47.8642903)",,,,
188960819,Adalbert-Stifter-Straße,tertiary,50,False,False,136.091,"LINESTRING (11.4792339 47.8635932, 11.4800357 47.8629366, 11.4800729 47.8629062, 11.4803642 47.8626332)",,,,
188960819,Adalbert-Stifter-Straße,tertiary,50,False,True,79.737,"LINESTRING (11.4792339 47.8635932, 11.4787621 47.8639842, 11.4786328 47.8640919, 11.478562 47.8641509)",,,,
11119577,Buchenweg,residential,,False,False,93.62,"LINESTRING (11.4771362 47.8653371, 11.4781396 47.8658428)",,,,
188960819,Adalbert-Stifter-Straße,tertiary,50,False,True,46.741,"LINESTRING (11.4771362 47.8653371, 11.4767609 47.8656737)",,,,
188960819,Adalbert-Stifter-Straße,tertiary,50,False,False,169.442,"LINESTRING (11.4771362 47.8653371, 11.4777733 47.8648064, 11.4784861 47.8642126, 11.478562 47.8641509)",,,,
11119577,Buchenweg,residential,,False,True,93.62,"LINESTRING (11.4781396 47.8658428, 11.4771362 47.8653371)",,,,
11119577,Buchenweg,residential,,False,False,79.51,"LINESTRING (11.4781396 47.8658428, 11.4789164 47.8660184, 11.4791551 47.8660587)",,,,
188588015,Kiefernweg,residential,,False,True,163.959,"LINESTRING (11.4781396 47.8658428, 11.4778815 47.8660434, 11.4778137 47.8660695, 11.4777227 47.8660606, 11.4776137 47.8660282, 11.4775093 47.8660307, 11.4774302 47.8660707, 11.4771011 47.8663701, 11.4766589 47.8667811)",,,,
8069624,St.-Hubertus-Straße,residential,,False,False,154.511,"LINESTRING (11.4802105 47.8650419, 11.4808993 47.8654159, 11.4814731 47.8657444, 11.4818008 47.865932)",,,,
8069624,St.-Hubertus-Straße,residential,,False,True,157.925,"LINESTRING (11.4802105 47.8650419, 11.4800744 47.86497, 11.4795586 47.8646861, 11.4789669 47.8643683, 11.478562 47.8641509)",,,,
11119578,Fichtenweg,living_street,,False,False,138.514,"LINESTRING (11.4802105 47.8650419, 11.4797491 47.8655989, 11.479626 47.8656942, 11.4791551 47.8660587)",,,,
11119577,Buchenweg,residential,,False,False,17.92,"LINESTRING (11.4791551 47.8660587, 11.4793412 47.8661606)",,,,
11119577,Buchenweg,residential,,False,True,79.51,"LINESTRING (11.4791551 47.8660587, 11.4789164 47.8660184, 11.4781396 47.8658428)",,,,
11119578,Fichtenweg,living_street,,False,True,138.514,"LINESTRING (11.4791551 47.8660587, 11.479626 47.8656942, 11.4797491 47.8655989, 11.4802105 47.8650419)",,,,
43403361,Johann-Sebastian-Bach-Straße,residential,30,False,True,56.082,"LINESTRING (11.4743739 47.8602005, 11.4742313 47.8606957)",,,,
25891057,Tannenweg,living_street,7,False,True,101.266,"LINESTRING (11.4775145 47.8635717, 11.4777021 47.8636731, 11.4778487 47.8637539, 11.478525 47.8641303, 11.478562 47.8641509)",5,,,
8069624,St.-Hubertus-Straße,residential,,False,False,70.614,"LINESTRING (11.4818008 47.865932, 11.4825137 47.8663498)",,,,
8069624,St.-Hubertus-Straße,residential,,False,True,154.51100000000002,"LINESTRING (11.4818008 47.865932, 11.4814731 47.8657444, 11.4808993 47.8654159, 11.4802105 47.8650419)",,,,
28165889,Waldstraße,residential,,False,False,189.925,"LINESTRING (11.4818008 47.865932, 11.4813698 47.8663142, 11.4810356 47.866659, 11.4808496 47.8668578, 11.4807201 47.8669962, 11.4805437 47.8671682, 11.4803135 47.8673114)",,,,
28165889,Waldstraße,residential,,False,False,91.807,"LINESTRING (11.4779089 47.8680155, 11.4779011 47.8682708, 11.4779591 47.8685029, 11.4780326 47.8686588, 11.4781359 47.8688156)",,,,
28165889,Waldstraße,residential,,False,True,200.652,"LINESTRING (11.4779089 47.8680155, 11.4780752 47.8678809, 11.4782906 47.8678073, 11.4785084 47.8677526, 11.4788517 47.8676911, 11.479199 47.8676436, 11.4793383 47.8676245, 11.4796641 47.8675822, 11.4799305 47.8675083, 11.4801242 47.8674168, 11.4803135 47.8673114)",,,,
67337128,Rehsteig,residential,,False,False,113.594,"LINESTRING (11.4779089 47.8680155, 11.477785 47.8679749, 11.4776799 47.8679342, 11.4775076 47.8678323, 11.4772191 47.8676617, 11.4771006 47.8675916, 11.4769512 47.8675556, 11.4767698 47.8675474, 11.4766304 47.8675859)",,,,
28165889,Waldstraße,residential,,False,True,91.80699999999999,"LINESTRING (11.4781359 47.8688156, 11.4780326 47.8686588, 11.4779591 47.8685029, 11.4779011 47.8682708, 11.4779089 47.8680155)",,,,
188240379,Jahnstraße,residential,30,False,False,58.547000000000004,"LINESTRING (11.4781359 47.8688156, 11.477545 47.869122, 11.4775149 47.8691376)",,,,
"[188240379, 645297391]",Jahnstraße,residential,30,False,True,445.0489999999999,"LINESTRING (11.4781359 47.8688156, 11.4784947 47.8686206, 11.4786313 47.868562, 11.4788043 47.8684878, 11.479073 47.8684014, 11.4797364 47.8682611, 11.4805813 47.8680167, 11.4808679 47.8679118, 11.4811788 47.8677556, 11.4815677 47.8674077, 11.4822804 47.866753, 11.4824377 47.8665697, 11.4824634 47.8664952, 11.4825137 47.8663498)",,,,
"[191896736, 29375177, 536931009]",Tattenkofener Straße,secondary,50,False,True,576.269,"LINESTRING (11.4818568 47.860735, 11.4817644 47.860744, 11.4789421 47.8610673, 11.4783052 47.8611342, 11.4772541 47.8612141, 11.4752936 47.8613736, 11.4746463 47.8614232, 11.4743267 47.8614596, 11.4742132 47.8614713)",,"['2', '3']",St 2369,
"[721648634, 188960819, 645297390]",Adalbert-Stifter-Straße,tertiary,50,False,True,240.49499999999998,"LINESTRING (11.4818568 47.860735, 11.481763 47.8609743, 11.4815953 47.8612853, 11.4815149 47.8614051, 11.4814425 47.8615033, 11.4813643 47.8615999, 11.4812504 47.8617359, 11.4811259 47.8618916, 11.4808449 47.8621896, 11.4806624 47.8623537, 11.4803642 47.8626332)",,"['4', '2']",,
"[188588013, 29501469, 188588014]",Hirschenweg,"['living_street', 'residential']",,False,False,42.019,"LINESTRING (11.4756753 47.8666229, 11.4757862 47.8666716, 11.4759064 47.8667316, 11.4760283 47.8667917, 11.4761352 47.8668409)",,,,yes
188960819,Adalbert-Stifter-Straße,tertiary,50,False,False,133.034,"LINESTRING (11.4756753 47.8666229, 11.4759923 47.8663458, 11.4767609 47.8656737)",,,,
29501470,Erlenweg,residential,,False,False,46.576,"LINESTRING (11.4761352 47.8668409, 11.4762457 47.8667626, 11.4763948 47.8667118, 11.476499 47.8667096, 11.4766589 47.8667811)",,,,
188588014,Hirschenweg,residential,,False,False,93.10499999999999,"LINESTRING (11.4761352 47.8668409, 11.4763304 47.8670009, 11.4763825 47.8671171, 11.4764045 47.8672779, 11.4764757 47.8674379, 11.4765237 47.8674838, 11.4766304 47.8675859)",,,,
"[29501469, 188588013, 188588014]",Hirschenweg,"['residential', 'living_street']",,False,True,42.019,"LINESTRING (11.4761352 47.8668409, 11.4760283 47.8667917, 11.4759064 47.8667316, 11.4757862 47.8666716, 11.4756753 47.8666229)",,,,yes
188240379,Jahnstraße,residential,30,False,True,58.547000000000004,"LINESTRING (11.4775149 47.8691376, 11.477545 47.869122, 11.4781359 47.8688156)",,,,
188588014,Hirschenweg,residential,,False,True,189.77100000000002,"LINESTRING (11.4775149 47.8691376, 11.4771877 47.868913, 11.4769782 47.8686761, 11.4769286 47.8685709, 11.4769121 47.8684371, 11.4768566 47.8682219, 11.4767579 47.867986, 11.4766304 47.8675859)",,,,
29501470,Erlenweg,residential,,False,False,257.152,"LINESTRING (11.4766589 47.8667811, 11.4768726 47.8669396, 11.4770669 47.8670464, 11.4772483 47.8671152, 11.4774002 47.8671247, 11.4775903 47.8671169, 11.4777216 47.8670749, 11.4779661 47.8669205, 11.4782971 47.8667785, 11.4784817 47.8667276, 11.4786734 47.8666998, 11.4788574 47.8666128, 11.4789716 47.8664861, 11.479228 47.8662478, 11.4793412 47.8661606)",,,,
29501470,Erlenweg,residential,,False,True,46.576,"LINESTRING (11.4766589 47.8667811, 11.476499 47.8667096, 11.4763948 47.8667118, 11.4762457 47.8667626, 11.4761352 47.8668409)",,,,
188588015,Kiefernweg,residential,,False,False,163.959,"LINESTRING (11.4766589 47.8667811, 11.4771011 47.8663701, 11.4774302 47.8660707, 11.4775093 47.8660307, 11.4776137 47.8660282, 11.4777227 47.8660606, 11.4778137 47.8660695, 11.4778815 47.8660434, 11.4781396 47.8658428)",,,,
11119577,Buchenweg,residential,,False,True,17.92,"LINESTRING (11.4793412 47.8661606, 11.4791551 47.8660587)",,,,
11119577,Buchenweg,residential,,False,False,148.153,"LINESTRING (11.4793412 47.8661606, 11.4794931 47.8662739, 11.4795842 47.8663585, 11.4798235 47.8665805, 11.4798359 47.8666003, 11.479982 47.866834, 11.4800418 47.8669296, 11.4802215 47.8671819, 11.4803135 47.8673114)",,,,
29501470,Erlenweg,residential,,False,True,257.152,"LINESTRING (11.4793412 47.8661606, 11.479228 47.8662478, 11.4789716 47.8664861, 11.4788574 47.8666128, 11.4786734 47.8666998, 11.4784817 47.8667276, 11.4782971 47.8667785, 11.4779661 47.8669205, 11.4777216 47.8670749, 11.4775903 47.8671169, 11.4774002 47.8671247, 11.4772483 47.8671152, 11.4770669 47.8670464, 11.4768726 47.8669396, 11.4766589 47.8667811)",,,,
33135668,Eichenring,residential,30,False,True,31.681,"LINESTRING (11.4763289 47.8650059, 11.4760551 47.8652237)",,,,
33135668,Eichenring,residential,30,False,False,203.72299999999998,"LINESTRING (11.4763289 47.8650059, 11.4759212 47.8647755, 11.4760928 47.8646154, 11.4761626 47.8646082, 11.4763128 47.8644588, 11.4763959 47.8644444, 11.4768036 47.8646838, 11.4768117 47.8647287, 11.4766936 47.8648313, 11.4766722 47.8648583, 11.4766836 47.8649285, 11.4766695 47.8649681, 11.47653 47.865085, 11.4764656 47.8650814, 11.4763289 47.8650059)",,,,
33135668,Eichenring,residential,30,False,True,203.72299999999998,"LINESTRING (11.4763289 47.8650059, 11.4764656 47.8650814, 11.47653 47.865085, 11.4766695 47.8649681, 11.4766836 47.8649285, 11.4766722 47.8648583, 11.4766936 47.8648313, 11.4768117 47.8647287, 11.4768036 47.8646838, 11.4763959 47.8644444, 11.4763128 47.8644588, 11.4761626 47.8646082, 11.4760928 47.8646154, 11.4759212 47.8647755, 11.4763289 47.8650059)",,,,
4056303,Ahornweg,residential,30,False,False,12.599,"LINESTRING (11.4760551 47.8652237, 11.4759319 47.8651462)",,,,
33135668,Eichenring,residential,30,False,False,31.681,"LINESTRING (11.4760551 47.8652237, 11.4763289 47.8650059)",,,,
4056303,Ahornweg,residential,30,False,True,72.63600000000001,"LINESTRING (11.4760551 47.8652237, 11.4767181 47.8656464, 11.4767609 47.8656737)",,,,
67337128,Rehsteig,residential,,False,True,113.594,"LINESTRING (11.4766304 47.8675859, 11.4767698 47.8675474, 11.4769512 47.8675556, 11.4771006 47.8675916, 11.4772191 47.8676617, 11.4775076 47.8678323, 11.4776799 47.8679342, 11.477785 47.8679749, 11.4779089 47.8680155)",,,,
188588014,Hirschenweg,residential,,False,False,189.77100000000002,"LINESTRING (11.4766304 47.8675859, 11.4767579 47.867986, 11.4768566 47.8682219, 11.4769121 47.8684371, 11.4769286 47.8685709, 11.4769782 47.8686761, 11.4771877 47.868913, 11.4775149 47.8691376)",,,,
188588014,Hirschenweg,residential,,False,True,93.10499999999999,"LINESTRING (11.4766304 47.8675859, 11.4765237 47.8674838, 11.4764757 47.8674379, 11.4764045 47.8672779, 11.4763825 47.8671171, 11.4763304 47.8670009, 11.4761352 47.8668409)",,,,
11119577,Buchenweg,residential,,False,True,148.153,"LINESTRING (11.4803135 47.8673114, 11.4802215 47.8671819, 11.4800418 47.8669296, 11.479982 47.866834, 11.4798359 47.8666003, 11.4798235 47.8665805, 11.4795842 47.8663585, 11.4794931 47.8662739, 11.4793412 47.8661606)",,,,
28165889,Waldstraße,residential,,False,False,200.652,"LINESTRING (11.4803135 47.8673114, 11.4801242 47.8674168, 11.4799305 47.8675083, 11.4796641 47.8675822, 11.4793383 47.8676245, 11.479199 47.8676436, 11.4788517 47.8676911, 11.4785084 47.8677526, 11.4782906 47.8678073, 11.4780752 47.8678809, 11.4779089 47.8680155)",,,,
28165889,Waldstraße,residential,,False,True,189.92499999999998,"LINESTRING (11.4803135 47.8673114, 11.4805437 47.8671682, 11.4807201 47.8669962, 11.4808496 47.8668578, 11.4810356 47.866659, 11.4813698 47.8663142, 11.4818008 47.865932)",,,,
