osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes
13219026,Bergstraße,residential,False,False,11.457,"LINESTRING (13.9093053 51.2673904, 13.909157 51.2674352)",,,,
172050585,Weißbacher Straße,tertiary,False,False,133.768,"LINESTRING (13.9093053 51.2673904, 13.9091563 51.2671759, 13.9088759 51.2667377, 13.9087439 51.2665434, 13.908675 51.2664259, 13.9086547 51.2663709, 13.9086442 51.2663487, 13.9086075 51.2662708)",,,,
"[174320354, 478681820, 10368607]",Weißbacher Straße,secondary,False,False,129.993,"LINESTRING (13.9064718 51.2648682, 13.9061097 51.2648057, 13.9057136 51.2647406, 13.9056624 51.2647331, 13.9052537 51.2646681, 13.9050696 51.2646402, 13.9047672 51.2645861, 13.9046647 51.264572)",S 100,,,
174320353,Weißbacher Straße,tertiary,False,True,37.554,"LINESTRING (13.9064718 51.2648682, 13.9065864 51.264925, 13.9066776 51.2649857, 13.9067868 51.2650739, 13.9068371 51.2651145)",,,,
10368608,Curt-Tausch-Straße,secondary,True,False,50.04,"LINESTRING (13.9046647 51.264572, 13.9044852 51.2645438, 13.904343 51.2645188, 13.9040767 51.2644604, 13.9039796 51.2644367)",S 100,30,,
13219031,Hoyerswerdaer Straße,tertiary,False,False,100.87499999999999,"LINESTRING (13.9046647 51.264572, 13.9044592 51.2649685, 13.9043411 51.2652615, 13.9043368 51.2653174, 13.9043415 51.2653695, 13.9043776 51.2654463)",K 9274,50,,
"[174320354, 478681820, 10368607]",Weißbacher Straße,secondary,False,True,129.993,"LINESTRING (13.9046647 51.264572, 13.9047672 51.2645861, 13.9050696 51.2646402, 13.9052537 51.2646681, 13.9056624 51.2647331, 13.9057136 51.2647406, 13.9061097 51.2648057, 13.9064718 51.2648682)",S 100,,,
10368608,Curt-Tausch-Straße,secondary,True,False,83.697,"LINESTRING (13.9039796 51.2644367, 13.9038782 51.2644132, 13.9037227 51.2643661, 13.9031438 51.2641761, 13.9029066 51.2640976)",S 100,30,,
"[10368617, 478684778]",Mittelstraße,residential,True,False,70.42,"LINESTRING (13.9039796 51.2644367, 13.9042938 51.2638973, 13.9043262 51.2638417)",,,,
10368611,Dresdner Straße,secondary,True,False,41.188,"LINESTRING (13.900931 51.2634534, 13.9009907 51.2633453, 13.9011833 51.2631194)",S 100,,,
