osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access,lanes,bridge
4912961,Lichtentaler Straße,residential,30,False,False,104.651,"LINESTRING (8.2421051 48.7573865, 8.2419486 48.7575616, 8.241855 48.7576669, 8.2418065 48.7577192, 8.2417035 48.7578308, 8.2414271 48.7581073, 8.2413497 48.7581848)",,,
4912959,Stephanienstraße,residential,30,False,False,27.728,"LINESTRING (8.2427116 48.7593086, 8.2428874 48.7595294)",,,
4912960,Eichstraße,residential,30,True,False,93.153,"LINESTRING (8.2427116 48.7593086, 8.2425574 48.7592265, 8.2424595 48.7591875, 8.2422689 48.7591363, 8.2419812 48.7590713, 8.2415606 48.7589691)",,,
4912959,Stephanienstraße,residential,30,False,False,113.62299999999999,"LINESTRING (8.2430774 48.7609509, 8.2426044 48.7612415, 8.2425508 48.7612745, 8.2423052 48.7614533, 8.2421844 48.7616007, 8.2421259 48.7616769, 8.2420895 48.7617243)",,,
4912959,Stephanienstraße,residential,30,False,True,42.109,"LINESTRING (8.2430774 48.7609509, 8.2431038 48.7608986, 8.2430788 48.7606234, 8.2430753 48.7606071, 8.2430712 48.7605758)",,,
5183211,Scheibenstraße,residential,30,False,True,191.92600000000002,"LINESTRING (8.2430774 48.7609509, 8.2432696 48.7610142, 8.2441565 48.7612657, 8.2444555 48.7613505, 8.2454632 48.7616613)",,,
4912959,Stephanienstraße,residential,30,False,True,113.62300000000002,"LINESTRING (8.2420895 48.7617243, 8.2421259 48.7616769, 8.2421844 48.7616007, 8.2423052 48.7614533, 8.2425508 48.7612745, 8.2426044 48.7612415, 8.2430774 48.7609509)",,,
44818318,Sophienstraße,residential,30,True,False,161.141,"LINESTRING (8.2420895 48.7617243, 8.2422316 48.7617744, 8.2429419 48.7620274, 8.2437828 48.7623368, 8.2439368 48.7624191, 8.2439334 48.7624643)",,,
"[383362128, 383362127, 44818319]",Stephanienstraße,residential,30,False,False,12.334,"LINESTRING (8.2420895 48.7617243, 8.2420653 48.7617542, 8.2420522 48.761773, 8.2420092 48.7618217)",,,
5539565,Sophienstraße,residential,30,True,False,138.404,"LINESTRING (8.2420092 48.7618217, 8.241326 48.7616031, 8.2403214 48.7612638)",,,
"[20312105, 8050714, 8050708]","['Sonnenplatz', 'Gernsbacher Straße', 'Bäderstraße']",living_street,,False,"[False, True]",144.897,"LINESTRING (8.2420092 48.7618217, 8.2417374 48.7620934, 8.2419781 48.7622242, 8.2421957 48.7623264, 8.2423969 48.7624236, 8.2425283 48.762476, 8.2423103 48.7627733)",,,
"[383362128, 44818319, 383362127]",Stephanienstraße,residential,30,False,True,12.334,"LINESTRING (8.2420092 48.7618217, 8.2420522 48.761773, 8.2420653 48.7617542, 8.2420895 48.7617243)",,,
"[684240560, 5539564]",Sophienstraße,residential,30,True,False,12.695,"LINESTRING (8.2403214 48.7612638, 8.2403627 48.7612157, 8.2404035 48.7611633)",,,
15419630,Sophienstraße,living_street,,True,False,36.965,"LINESTRING (8.2403214 48.7612638, 8.2402681 48.7612436, 8.2402195 48.7612272, 8.2398755 48.7611086)",no,,
4968239,Sophienstraße,residential,30,True,False,138.434,"LINESTRING (8.2404035 48.7611633, 8.2405706 48.7612197, 8.2414133 48.7614996, 8.2420895 48.7617243)",,,
15412264,Ludwig-Wilhelm-Platz,residential,30,False,True,33.446,"LINESTRING (8.2415095 48.7571691, 8.2410689 48.757091)",,,
