osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,width,ref,junction,bridge
5624788,,Seilerbahnweg,living_street,False,True,247.461,,"LINESTRING (8.4653065 50.1804305, 8.4654728 50.1807234, 8.4656297 50.1808316, 8.4660826 50.1809752, 8.4668119 50.1811755, 8.4670828 50.181294, 8.4672218 50.1813554, 8.4673245 50.1813948, 8.4676131 50.181478, 8.4680909 50.1816188)",4,,,
206997157,,Wiesbadener Straße,primary,False,True,13.447,30,"LINESTRING (8.4712675 50.1775242, 8.4712036 50.1774104)",,B 455,,
6078800,,Bischof-Kaller-Straße,primary,True,False,55.316,50,"LINESTRING (8.4712675 50.1775242, 8.4714468 50.177573, 8.4716415 50.1776504, 8.4718341 50.1777412, 8.4719013 50.1777999)",,B 455,,
22933381,,Wiesbadener Straße,residential,False,True,92.613,30,"LINESTRING (8.4712675 50.1775242, 8.4712026 50.1776609, 8.4711565 50.1777228, 8.4708045 50.1781945, 8.4707322 50.1782816)",,,,
"[206997152, 327131348]",2,Bischof-Kaller-Straße,primary,True,False,56.403,50,"LINESTRING (8.4719013 50.1777999, 8.4714331 50.1776588, 8.4713057 50.1775862, 8.4712675 50.1775242)",,B 455,,
206997153,,Bischof-Kaller-Straße,primary,False,False,20.308,30,"LINESTRING (8.4719013 50.1777999, 8.4719555 50.1778388, 8.4719604 50.1778423, 8.4720913 50.1779361)",,B 455,,
22933379,,Thewaltstraße,living_street,False,False,183.474,,"LINESTRING (8.472012 50.1809628, 8.4699595 50.1799653)",,,,
"[1206541464, 1206541443]",2,Frankfurter Straße,tertiary,False,False,208.32699999999997,40,"LINESTRING (8.472012 50.1809628, 8.4719577 50.1809878, 8.471853 50.181036, 8.471639 50.1811347, 8.4714188 50.1812362, 8.470938 50.1814577, 8.4705867 50.1816196, 8.4703138 50.1817462, 8.4700417 50.1818724, 8.4700075 50.1818828, 8.4698217 50.1819391, 8.469745 50.1819624, 8.4697201 50.1819673, 8.4695839 50.181994)",,,,
22811206,,Herzog-Adolph-Straße,residential,False,False,104.169,30,"LINESTRING (8.4648855 50.1856927, 8.4652814 50.1853846, 8.465509 50.1852075, 8.4655279 50.1851431, 8.4655588 50.185038, 8.4655756 50.1849758, 8.4655951 50.184904)",,,,
"[22811208, 871905592]",,Ölmühlweg,secondary,False,False,223.79900000000004,30,"LINESTRING (8.4648855 50.1856927, 8.4647691 50.1856735, 8.4647338 50.1856731, 8.4646702 50.1856723, 8.4645051 50.1856762, 8.4643979 50.1856882, 8.46396 50.185737, 8.4631147 50.1858337, 8.4629081 50.1859084, 8.4627684 50.1859833, 8.4623803 50.1862003, 8.462061 50.1863673)",,L 3369,,
22933393,,Theresenstraße,secondary,False,True,77.022,30,"LINESTRING (8.4648855 50.1856927, 8.4649152 50.1857032, 8.4650483 50.1857767, 8.4650918 50.1857992, 8.4651886 50.1858551, 8.4652664 50.1858929, 8.465452 50.1859831, 8.4656445 50.1860767, 8.4657349 50.1861206)",,L 3369,,
22811200,2,Georg-Pingler-Straße,residential,False,False,181.44700000000003,30,"LINESTRING (8.4676164 50.1835964, 8.4676649 50.1836571, 8.4676829 50.1836797, 8.4682846 50.1843452, 8.4688361 50.1850011, 8.4688563 50.1850217)",4,,,
"[568673307, 69485149]",1,Klosterstraße,residential,True,False,121.96000000000001,30,"LINESTRING (8.4676164 50.1835964, 8.4675134 50.1836376, 8.4674791 50.1836513, 8.4670275 50.1838316, 8.4662436 50.1841628, 8.466193 50.1842022)",5,,,
"[22811203, 181678583]",2,Klosterstraße,residential,False,True,118.653,30,"LINESTRING (8.4676164 50.1835964, 8.467745 50.1835494, 8.4682414 50.183368, 8.4685019 50.1832646, 8.4690548 50.1830578)",,,,
"[22811211, 568673325, 59533240, 1197729723, 1197729724, 1197729725, 1197729726, 568673311]",1,"['Hauptstraße', 'Georg-Pingler-Straße']",residential,True,False,218.41100000000003,30,"LINESTRING (8.4676164 50.1835964, 8.4674681 50.1834152, 8.4672895 50.1831968, 8.4672189 50.1831088, 8.4672004 50.1830871, 8.467028 50.1828844, 8.4668941 50.1827328, 8.4667822 50.182608, 8.4667433 50.1825647, 8.4666536 50.1824647, 8.4665774 50.1823798, 8.4667777 50.1823408, 8.4669836 50.1822999, 8.4674389 50.1822095)","['6', '3']",,,
22811200,2,Georg-Pingler-Straße,residential,False,True,181.44699999999997,30,"LINESTRING (8.4688563 50.1850217, 8.4688361 50.1850011, 8.4682846 50.1843452, 8.4676829 50.1836797, 8.4676649 50.1836571, 8.4676164 50.1835964)",4,,,
