osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,lanes,ref
540373262,Bäckerstraße,residential,30,False,False,12.688,"LINESTRING (12.8705253 52.0959457, 12.8706035 52.0958422)",,,,
540373263,Bäckerstraße,residential,30,True,False,87.212,"LINESTRING (12.8705253 52.0959457, 12.8699383 52.0966422)",,,,
540373262,Bäckerstraße,residential,30,False,False,68.109,"LINESTRING (12.8706035 52.0958422, 12.8712037 52.0953531)",,,,
540373262,Bäckerstraße,residential,30,False,True,12.688,"LINESTRING (12.8706035 52.0958422, 12.8705253 52.0959457)",,,,
540373262,Bäckerstraße,residential,30,False,True,68.109,"LINESTRING (12.8712037 52.0953531, 12.8706035 52.0958422)",,,,
540373262,Bäckerstraße,residential,30,False,False,29.352,"LINESTRING (12.8712037 52.0953531, 12.8712892 52.0952813, 12.8714575 52.0951401)",,,,
33301876,Breite Straße,residential,,False,False,112.077,"LINESTRING (12.8714575 52.0951401, 12.8728226 52.0956992)",,,,
33264063,Kietzstraße,residential,,False,True,110.56700000000001,"LINESTRING (12.8714575 52.0951401, 12.8710964 52.0949672, 12.8705653 52.0948215, 12.8700069 52.0947273)",,,,
540373262,Bäckerstraße,residential,30,False,True,29.352,"LINESTRING (12.8714575 52.0951401, 12.8712892 52.0952813, 12.8712037 52.0953531)",,,,
"[33357760, 540373265]",Bäckerstraße,residential,30,True,False,107.255,"LINESTRING (12.8714575 52.0951401, 12.8717753 52.0947857, 12.8719828 52.094473, 12.8719987 52.0944462, 12.8720907 52.0942609)",yes,,,
33183773,Jüterboger Straße,residential,30,False,False,118.21,"LINESTRING (12.8720907 52.0942609, 12.8721021 52.0942362, 12.8722356 52.093917, 12.8723103 52.093719, 12.8723314 52.0936486, 12.8724595 52.0932228)",,,,
53639762,Jüterboger Straße,residential,30,False,True,78.31,"LINESTRING (12.8726341 52.0925268, 12.872558 52.0928548, 12.8724595 52.0932228)",,,,
222184044,Nordwalder Ring,residential,30,False,False,18.52,"LINESTRING (12.8726341 52.0925268, 12.8725629 52.092524, 12.8723651 52.0925069)",,5,,
33183773,Jüterboger Straße,residential,30,False,True,118.21000000000001,"LINESTRING (12.8724595 52.0932228, 12.8723314 52.0936486, 12.8723103 52.093719, 12.8722356 52.093917, 12.8721021 52.0942362, 12.8720907 52.0942609)",,,,
"[34340377, 353173114]",Sernowstraße,residential,"['50', '30']",False,False,270.732,"LINESTRING (12.8724595 52.0932228, 12.8729479 52.0932988, 12.8730979 52.0933281, 12.8733963 52.0933947, 12.8735301 52.0934358, 12.8738208 52.0935252, 12.874115 52.0936208, 12.8744077 52.0937209, 12.8748834 52.0938623, 12.8751044 52.0939096, 12.8752612 52.0939326, 12.8753928 52.0939423, 12.8755524 52.093943, 12.8757084 52.0939263, 12.8761636 52.0938605)",,,,
53639762,Jüterboger Straße,residential,30,False,False,78.31,"LINESTRING (12.8724595 52.0932228, 12.872558 52.0928548, 12.8726341 52.0925268)",,,,
24812001,Burgwallstraße,residential,30,True,False,74.97800000000001,"LINESTRING (12.8791611 52.097985, 12.8791054 52.0981108, 12.8789737 52.0983299, 12.8788904 52.0984636, 12.8787986 52.098621)",,,,
"[557971204, 557971205]",Burgwallstraße,residential,30,False,False,169.878,"LINESTRING (12.8787986 52.098621, 12.8786666 52.0988202, 12.878548 52.0989932, 12.8784145 52.0991766, 12.8782585 52.0993644, 12.8777308 52.0999997)",,,,
66674120,Berliner Chaussee,primary,50,False,True,74.37100000000001,"LINESTRING (12.8777308 52.0999997, 12.8776223 52.0999701, 12.8774088 52.0999279, 12.8767081 52.099771)",,,2,B 2
353173112,Berliner Chaussee,primary,50,False,False,215.26100000000005,"LINESTRING (12.8777308 52.0999997, 12.8780843 52.1000946, 12.8786161 52.1002343, 12.8791457 52.1004024, 12.879474 52.1005339, 12.8796543 52.1006262, 12.879974 52.1008066, 12.8801875 52.1009624, 12.880296 52.1010648)",,,2,B 2
"[557971204, 557971205]",Burgwallstraße,residential,30,False,True,169.878,"LINESTRING (12.8777308 52.0999997, 12.8782585 52.0993644, 12.8784145 52.0991766, 12.878548 52.0989932, 12.8786666 52.0988202, 12.8787986 52.098621)",,,,
25410792,Pfarrgasse,residential,,False,False,113.23599999999999,"LINESTRING (12.8752619 52.0993617, 12.8751404 52.0994951, 12.8747719 52.0998449, 12.8743301 52.1002024)",,,,
"[122516320, 66674133]",Großstraße,primary,50,False,False,195.44800000000004,"LINESTRING (12.8752619 52.0993617, 12.8747679 52.0991532, 12.8746301 52.0990928, 12.8739526 52.0987867, 12.8736395 52.0986426, 12.8732272 52.0984554, 12.8729487 52.0983275)",,,2,B 2
66674133,Großstraße,primary,50,False,True,74.511,"LINESTRING (12.8752619 52.0993617, 12.8755515 52.0994643, 12.8762455 52.0996493)",,,2,B 2
277001036,Großstraße,primary,50,False,True,18.417,"LINESTRING (12.8727291 52.0982314, 12.8729487 52.0983275)",,,2,B 2
25909172,Badergasse,residential,,False,True,118.98100000000001,"LINESTRING (12.8727291 52.0982314, 12.8725941 52.0983359, 12.8717039 52.0990963)",,,,
"[1255958088, 277001036, 76559760]",Großstraße,primary,50,False,False,195.727,"LINESTRING (12.8727291 52.0982314, 12.8719716 52.0978873, 12.8718185 52.0978178, 12.8715729 52.0976995, 12.8705137 52.0971178)",,,2,B 2
222184044,Nordwalder Ring,residential,30,False,False,171.22699999999998,"LINESTRING (12.871019 52.0924661, 12.8708607 52.0924827, 12.8700718 52.0924507, 12.8685226 52.0925342)",,5,,
222184044,Nordwalder Ring,residential,30,False,True,92.221,"LINESTRING (12.871019 52.0924661, 12.8711476 52.0924562, 12.8722551 52.0925018, 12.8723651 52.0925069)",,5,,
222184044,Nordwalder Ring,residential,30,False,True,171.227,"LINESTRING (12.8685226 52.0925342, 12.8700718 52.0924507, 12.8708607 52.0924827, 12.871019 52.0924661)",,5,,
30589851,Grünstraße,residential,,True,False,113.25,"LINESTRING (12.8719953 52.0964166, 12.8705253 52.0959457)",,,,
48535105,Nagelgasse,residential,,True,False,83.147,"LINESTRING (12.8719953 52.0964166, 12.8727162 52.0958141)",,,,
33301876,Breite Straße,residential,,False,True,112.077,"LINESTRING (12.8728226 52.0956992, 12.8714575 52.0951401)",,,,
363092032,Nagelgasse,residential,50,False,True,14.699,"LINESTRING (12.8728226 52.0956992, 12.8727162 52.0958141)",,,,
33301876,Breite Straße,residential,,False,False,172.636,"LINESTRING (12.8728226 52.0956992, 12.8733003 52.0959255, 12.8747654 52.0966916)",,,,
33264061,Neue Marktstraße,residential,30,True,False,100.075,"LINESTRING (12.8700069 52.0947273, 12.8698808 52.0950719, 12.8698585 52.0951725, 12.8697607 52.0956137)",,,,
33264063,Kietzstraße,residential,,False,False,110.56700000000001,"LINESTRING (12.8700069 52.0947273, 12.8705653 52.0948215, 12.8710964 52.0949672, 12.8714575 52.0951401)",,,,
"[33264092, 33423477, 33264078]",Kietzstraße,residential,,False,False,274.05400000000003,"LINESTRING (12.8700069 52.0947273, 12.8696426 52.0946816, 12.8691726 52.0946566, 12.8683736 52.094685, 12.8682897 52.0947502, 12.8681522 52.0954929, 12.8680502 52.0956985, 12.8679914 52.0959024, 12.867916 52.095984, 12.8678243 52.0960764)",,,,
66674123,Großstraße,primary,50,False,True,48.556,"LINESTRING (12.8692256 52.0965296, 12.8698163 52.0967725)",,,2,B 2
66674123,Großstraße,primary,50,False,False,108.221,"LINESTRING (12.8692256 52.0965296, 12.8689949 52.0964434, 12.8678243 52.0960764)",,,2,B 2
540373264,Neue Marktstraße,residential,30,True,False,108.72200000000001,"LINESTRING (12.8692256 52.0965296, 12.8695375 52.096136, 12.8697607 52.0956137)",,,,
33264073,Neue Marktstraße,residential,,True,False,62.931,"LINESTRING (12.8697607 52.0956137, 12.8706035 52.0958422)",,,,
48535105,Nagelgasse,residential,,True,False,95.279,"LINESTRING (12.8712281 52.0971322, 12.8719953 52.0964166)",,,,
33301955,Breite Straße,residential,,True,False,38.869,"LINESTRING (12.8761637 52.0983212, 12.8764114 52.0986359)",,,,
33301959,Breite Straße,residential,,True,False,16.309,"LINESTRING (12.8761637 52.0983212, 12.8760519 52.0984508)",,,,
"[25974061, 33476397]","['Berliner Chaussee', 'Großstraße']",primary,50,False,"[False, True]",34.394,"LINESTRING (12.8762455 52.0996493, 12.8763845 52.099684, 12.8765602 52.0997357, 12.8767081 52.099771)",,,2,B 2
66674125,Lindenallee,residential,,True,False,110.596,"LINESTRING (12.8762455 52.0996493, 12.8761137 52.0997892, 12.8757418 52.1000748, 12.8756305 52.1001607, 12.8752786 52.1004454)",,,,
66674133,Großstraße,primary,50,False,False,74.511,"LINESTRING (12.8762455 52.0996493, 12.8755515 52.0994643, 12.8752619 52.0993617)",,,2,B 2
30589851,Grünstraße,residential,,True,False,179.522,"LINESTRING (12.8760519 52.0984508, 12.8746659 52.0977656, 12.8740138 52.0974316)",,,,
33301991,Töpferstraße,residential,,True,False,102.412,"LINESTRING (12.8740138 52.0974316, 12.8731377 52.098179)",,,,
30589851,Grünstraße,residential,,True,False,178.226,"LINESTRING (12.8740138 52.0974316, 12.8727144 52.0967572, 12.8719953 52.0964166)",,,,
33301991,Töpferstraße,residential,,True,False,96.988,"LINESTRING (12.8747654 52.0966916, 12.8740138 52.0974316)",,,,
33301876,Breite Straße,residential,,False,True,172.636,"LINESTRING (12.8747654 52.0966916, 12.8733003 52.0959255, 12.8728226 52.0956992)",,,,
33301980,Breite Straße,residential,30,True,False,172.935,"LINESTRING (12.8747654 52.0966916, 12.8746192 52.0966947, 12.8732325 52.096014, 12.8727162 52.0958141)",,,,
