osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,tunnel,width
37813867,Gewerbestraße,residential,False,False,13.379999999999999,"LINESTRING (8.6925747 48.6587947, 8.6924851 48.658779, 8.6923976 48.6587667)",,,,,
"[58526107, 1019965854]",Julius-Heuß-Straße,secondary,False,False,175.709,"LINESTRING (8.6925747 48.6587947, 8.692608 48.6589732, 8.692601 48.6591685, 8.6925361 48.6594847, 8.692421 48.6600233, 8.6923486 48.6603619)",3,L 348,40,,
"[977371513, 977371509]",Oberhaugstetter Straße,tertiary,True,False,36.867000000000004,"LINESTRING (8.6925747 48.6587947, 8.6927068 48.6587574, 8.6928507 48.6587598, 8.6929415 48.6587875, 8.6930344 48.6588315)",1,K 4304,50,,
330765254,Julius-Heuß-Straße,secondary,False,False,17.829,"LINESTRING (8.6915165 48.6629405, 8.6913934 48.6630787)",3,L 348,40,,
313489030,Calwer Straße,residential,False,True,26.295,"LINESTRING (8.6915165 48.6629405, 8.6916963 48.6629659, 8.6918162 48.6629542, 8.6918629 48.6629377)",,,,,
1002086585,Julius-Heuß-Straße,secondary,False,True,164.61399999999998,"LINESTRING (8.6915165 48.6629405, 8.6916025 48.6628055, 8.6916723 48.662696, 8.6918243 48.6624394, 8.6919786 48.6620895, 8.6920395 48.6619081, 8.6920993 48.6616975, 8.692139 48.6615244)",,L 348,40,,
59294497,Mühlsteige,residential,False,True,91.773,"LINESTRING (8.6970626 48.6606496, 8.6971179 48.6605243, 8.697245 48.6604264, 8.6979316 48.660088)",,,30,,
59294511,Altbulacher Straße,tertiary,False,False,47.779,"LINESTRING (8.6970626 48.6606496, 8.6969774 48.6606425, 8.6968078 48.6606284, 8.6966438 48.6605986, 8.6964414 48.6605358)",,K 4304,30,,
"[1091513124, 331215037]",Altbulacher Straße,tertiary,False,True,25.546,"LINESTRING (8.6970626 48.6606496, 8.6971405 48.6606522, 8.6972541 48.6606519, 8.6974096 48.6606421)",,K 4304,"['50', '30']",,
331215038,Oberhaugstetter Straße,tertiary,False,True,23.592,"LINESTRING (8.6930344 48.6588315, 8.6933123 48.6589379)",2,K 4304,50,,
977371511,Oberhaugstetter Straße,tertiary,True,False,34.725,"LINESTRING (8.6930344 48.6588315, 8.6929214 48.6588309, 8.6928383 48.6588354, 8.692731 48.6588362, 8.6926585 48.6588221, 8.6925747 48.6587947)",1,K 4304,50,,
"[58884113, 58510804]",Untere Torstraße,"['residential', 'living_street']",False,True,48.230999999999995,"LINESTRING (8.6964414 48.6605358, 8.6963635 48.6606363, 8.6963131 48.6607014, 8.6962293 48.6608354, 8.6961686 48.66093)",,,,,
59294511,Altbulacher Straße,tertiary,False,True,47.779,"LINESTRING (8.6964414 48.6605358, 8.6966438 48.6605986, 8.6968078 48.6606284, 8.6969774 48.6606425, 8.6970626 48.6606496)",,K 4304,30,,
948740146,Wildberger Steige,residential,True,False,89.588,"LINESTRING (8.6964414 48.6605358, 8.6965313 48.6604703, 8.6965857 48.6603876, 8.6966683 48.6599339, 8.6966737 48.6597638)",,,30,,
1002086581,Oberhaugstetter Straße,tertiary,False,False,61.20400000000001,"LINESTRING (8.6964414 48.6605358, 8.6962526 48.6604317, 8.6960514 48.6602971, 8.6958717 48.6601376)",2,K 4304,30,,
59294497,Mühlsteige,residential,False,True,17.568,"LINESTRING (8.7018302 48.6581092, 8.7020502 48.6580472)",,,30,,
33147723,Schauinslandstraße,residential,False,False,84.99900000000001,"LINESTRING (8.7018302 48.6581092, 8.7016693 48.6581127, 8.701334 48.6580578, 8.700775 48.6580447, 8.7006836 48.6580426)",,,30,,
59294497,Mühlsteige,residential,False,False,96.96300000000001,"LINESTRING (8.7018302 48.6581092, 8.7017363 48.6582438, 8.7010224 48.6587929)",,,30,,
33147672,Belchenstraße,residential,False,False,54.969,"LINESTRING (8.6987417 48.6581454, 8.6989079 48.6576634)",,,30,,
33147723,Schauinslandstraße,residential,False,False,20.845,"LINESTRING (8.6987417 48.6581454, 8.6984734 48.6582065)",,,30,,
33147723,Schauinslandstraße,residential,False,True,143.6,"LINESTRING (8.6987417 48.6581454, 8.6990337 48.658113, 8.6994498 48.6580603, 8.6999433 48.6580355, 8.7006836 48.6580426)",,,30,,
33147721,Wildberger Steige,residential,True,False,119.47500000000002,"LINESTRING (8.697312 48.6581135, 8.6972691 48.6583314, 8.6971243 48.6585759, 8.697027 48.6587303, 8.696803 48.6591017, 8.696789 48.6591251)",,,30,,
33147723,Schauinslandstraße,residential,False,True,87.226,"LINESTRING (8.697312 48.6581135, 8.697701 48.6581914, 8.6979048 48.6582251, 8.6981167 48.6582322, 8.6984734 48.6582065)",,,30,,
33147730,Ahnengartenweg,residential,False,True,100.066,"LINESTRING (8.6966737 48.6597638, 8.6969419 48.6598364, 8.6973389 48.6599923, 8.6976992 48.6600418, 8.6979316 48.660088)",,,30,,
948740147,Ahnengartenweg,residential,False,False,77.887,"LINESTRING (8.6966737 48.6597638, 8.6964641 48.6597741, 8.6963288 48.6597917, 8.6962218 48.659821, 8.6961169 48.6598874, 8.696039 48.6599702, 8.6958717 48.6601376)",,,30,,
