osmid,name,highway,oneway,reversed,length,ref,geometry,maxspeed,lanes,width
44104028,Schützenstraße,residential,False,True,22.043,,"LINESTRING (11.6328947 50.2842038, 11.6327604 50.2840251)",,,
"[157473475, 842525895]",Walter-Münch-Straße,secondary,False,True,367.2869999999999,St 2194,"LINESTRING (11.6328947 50.2842038, 11.6325394 50.2843046, 11.6323759 50.284351, 11.6321161 50.2844552, 11.6317918 50.2846103, 11.6314088 50.2848254, 11.6313368 50.2848658, 11.6310303 50.2850145, 11.6306036 50.2851708, 11.6303105 50.2852332, 11.6297956 50.2852944, 11.6294599 50.2853817, 11.6292134 50.2854841, 11.6289031 50.2856466, 11.6285031 50.2858561)",,,
157473232,Gartenstraße,residential,False,True,112.489,,"LINESTRING (11.6250999 50.2838766, 11.6260653 50.2846784)",,,
812971625,Hochstraße,residential,False,False,71.064,,"LINESTRING (11.6250999 50.2838766, 11.6243176 50.2842748)",,,
812971626,Gartenstraße,residential,False,False,98.043,,"LINESTRING (11.6250999 50.2838766, 11.6241858 50.2832161)",,,
147522968,Hochstraße,residential,False,True,75.156,,"LINESTRING (11.6250999 50.2838766, 11.6252862 50.2836752, 11.6257206 50.2833313)",,,
147522984,Hauptstraße,secondary,False,True,42.139,St 2211,"LINESTRING (11.6247265 50.285479, 11.6243619 50.2851801)",,,
157473234,Georg-Hüttner-Platz,residential,False,False,45.616,,"LINESTRING (11.6247265 50.285479, 11.6241732 50.2856871)",,,
44104030,Hauptstraße,secondary,False,False,88.396,St 2211,"LINESTRING (11.6247265 50.285479, 11.6250114 50.2856093, 11.6257798 50.285901)",50,,
157473371,Schillerstraße,residential,False,True,83.91,,"LINESTRING (11.6279637 50.2815029, 11.6275936 50.2822195)",,,
157473371,Schillerstraße,residential,False,False,43.629000000000005,,"LINESTRING (11.6279637 50.2815029, 11.6281384 50.2811561, 11.6281518 50.2811294)",,,
492959799,Itenstraße,residential,False,False,95.197,,"LINESTRING (11.6279637 50.2815029, 11.6283848 50.2816199, 11.6291235 50.2818341, 11.6291831 50.2818568)",,,
