osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,lanes,width,junction
366028457,Tangermünder Straße,residential,False,True,74.392,,"LINESTRING (12.0053213 52.6751054, 12.0050865 52.6744517)",,,,
522551304,Tangermünder Straße,residential,False,False,15.538,30,"LINESTRING (12.0053213 52.6751054, 12.0053078 52.6752449)",,,,
32996044,Breite Straße,residential,True,False,157.86499999999998,30,"LINESTRING (12.0053213 52.6751054, 12.005604 52.6751135, 12.0060367 52.675129, 12.0062747 52.675147, 12.0066387 52.6751872, 12.0074118 52.6753189, 12.0075937 52.6753851)",,,,
635227351,Tangermünder Straße,residential,False,True,20.261,50,"LINESTRING (12.0043794 52.6733409, 12.004369 52.6731588)",,,,
52879944,Elbstraße,residential,False,False,180.15,50,"LINESTRING (12.0043794 52.6733409, 12.004323 52.6733803, 12.0037971 52.6736364, 12.003633 52.673701, 12.0030493 52.6738751, 12.0024931 52.6740628, 12.0022705 52.6741536, 12.0021817 52.6742346)",,,,
277286287,Tangermünder Straße,residential,False,False,132.44400000000002,30,"LINESTRING (12.0043794 52.6733409, 12.0046387 52.6737099, 12.0049607 52.6742294, 12.0050865 52.6744517)",,,,
635227348,Elbstraße,residential,False,True,24.142,50,"LINESTRING (12.0043794 52.6733409, 12.004437 52.6733087, 12.0046417 52.6731931)",,,,
"[1176386747, 32900494]",Bahnhofstraße,tertiary,False,False,75.565,50,"LINESTRING (12.0028343 52.6781826, 12.0029373 52.6780561, 12.0030395 52.677891, 12.0031104 52.6777477, 12.0032017 52.6775425)",K 1070,,,
1176386748,,tertiary,False,True,32.992000000000004,50,"LINESTRING (12.0028343 52.6781826, 12.0030772 52.6782753, 12.0032484 52.6783407)",K 1070,2,,
635227345,Breite Straße,residential,False,False,8.614,50,"LINESTRING (12.0020615 52.6752187, 12.0021581 52.675168)",,,,
336070099,Beelitzer Weg,residential,False,True,202.56900000000002,,"LINESTRING (12.0020615 52.6752187, 12.0017934 52.6753194, 11.9994274 52.6760944)",,,,
"[1176386746, 32900494]",Bahnhofstraße,tertiary,False,True,274.607,50,"LINESTRING (12.0020615 52.6752187, 12.002137 52.6753555, 12.0022336 52.6755332, 12.0023668 52.6757126, 12.002944 52.6763624, 12.0030823 52.6765925, 12.0031644 52.6768325, 12.003185 52.67691, 12.0032156 52.6770366, 12.0032297 52.6771816, 12.0032304 52.6773574, 12.0032017 52.6775425)",K 1070,,,
"[1176386746, 32900494]",Bahnhofstraße,tertiary,False,False,274.60699999999997,50,"LINESTRING (12.0032017 52.6775425, 12.0032304 52.6773574, 12.0032297 52.6771816, 12.0032156 52.6770366, 12.003185 52.67691, 12.0031644 52.6768325, 12.0030823 52.6765925, 12.002944 52.6763624, 12.0023668 52.6757126, 12.0022336 52.6755332, 12.002137 52.6753555, 12.0020615 52.6752187)",K 1070,,,
"[1176386747, 32900494]",Bahnhofstraße,tertiary,False,True,75.565,50,"LINESTRING (12.0032017 52.6775425, 12.0031104 52.6777477, 12.0030395 52.677891, 12.0029373 52.6780561, 12.0028343 52.6781826)",K 1070,,,
32923469,Lindenstraße,residential,False,False,214.98700000000002,,"LINESTRING (12.0032017 52.6775425, 12.0047855 52.6773578, 12.0063332 52.6771774)",,,,
635227342,Sandauer Straße,residential,False,False,49.253,,"LINESTRING (12.0063332 52.6771774, 12.006164 52.6767465)",,,,
32923469,Lindenstraße,residential,False,True,214.98700000000002,,"LINESTRING (12.0063332 52.6771774, 12.0047855 52.6773578, 12.0032017 52.6775425)",,,,
