osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,width
23237321,2,Allmendstraße,tertiary,50,False,False,58.287,"LINESTRING (8.2067272 48.05327, 8.2068243 48.0532225, 8.2069804 48.0530482, 8.2071282 48.0528919, 8.2071727 48.0528448)",,,
"[28230363, 28230364, 25360934]",2,"['Engelbert Grießhaber Brücke', 'Grieshaberstraße']",tertiary,30,False,True,103.82399999999998,"LINESTRING (8.2067272 48.05327, 8.2066377 48.0532725, 8.2065333 48.053253, 8.2064381 48.0532312, 8.2064103 48.0532249, 8.2063176 48.0532037, 8.2061488 48.0531651, 8.2060069 48.0531399, 8.2059042 48.0531312, 8.2055921 48.0531433, 8.2053715 48.0531009)",yes,,
"[1264096723, 1264096724, 28383812]",,Kreuzerstraße,residential,,False,False,65.15,"LINESTRING (8.2067272 48.05327, 8.2067496 48.0533112, 8.2067401 48.053382, 8.2066075 48.0535235, 8.2064473 48.0536797, 8.2063504 48.0537743)",,,
23237322,2,Grieshaberstraße,primary,50,True,False,59.865,"LINESTRING (8.2041342 48.0528233, 8.2041965 48.0528556, 8.2043074 48.0528887, 8.2045415 48.0529146, 8.2048904 48.0529925)",,B 500,
23237325,2,Bismarckstraße,primary,30,False,True,178.43599999999998,"LINESTRING (8.2041342 48.0528233, 8.2049399 48.0521062, 8.2051943 48.0518743, 8.2054419 48.0516428, 8.2055428 48.051525)",,B 500,
23237323,1,Friedrichstraße,living_street,,False,True,100.753,"LINESTRING (8.2058119 48.052244, 8.2055105 48.0528426, 8.2053974 48.0530528, 8.2053715 48.0531009)",,,5
1165952045,1,Friedrichstraße,living_street,,True,False,37.572,"LINESTRING (8.2058119 48.052244, 8.206099 48.0520601, 8.2061926 48.0520243)",,,
23237323,1,Friedrichstraße,living_street,,False,False,100.753,"LINESTRING (8.2053715 48.0531009, 8.2053974 48.0530528, 8.2055105 48.0528426, 8.2058119 48.052244)",,,5
"[28230363, 28230364, 25360934]",2,"['Engelbert Grießhaber Brücke', 'Grieshaberstraße']",tertiary,30,False,False,103.82400000000001,"LINESTRING (8.2053715 48.0531009, 8.2055921 48.0531433, 8.2059042 48.0531312, 8.2060069 48.0531399, 8.2061488 48.0531651, 8.2063176 48.0532037, 8.2064103 48.0532249, 8.2064381 48.0532312, 8.2065333 48.053253, 8.2066377 48.0532725, 8.2067272 48.05327)",yes,,
1127761520,3,Grieshaberstraße,primary,50,False,True,37.736,"LINESTRING (8.2053715 48.0531009, 8.205325 48.0530904, 8.205278 48.0530798, 8.2049511 48.0530062, 8.2048904 48.0529925)",,B 500,
"[28340560, 1150558100, 1150558101]",1,Friedrichstraße,primary,30,True,False,206.274,"LINESTRING (8.2053715 48.0531009, 8.2052989 48.0532687, 8.2051856 48.0534972, 8.2051308 48.0536071, 8.2051221 48.0536244, 8.2050554 48.0537573, 8.2049723 48.0539227, 8.2049374 48.0539914, 8.2049076 48.0540549, 8.2048145 48.0542431, 8.2046364 48.0545998, 8.2045166 48.0548304, 8.2045002 48.054862)",,B 500,
23237325,2,Bismarckstraße,primary,30,False,False,178.43599999999998,"LINESTRING (8.2055428 48.051525, 8.2054419 48.0516428, 8.2051943 48.0518743, 8.2049399 48.0521062, 8.2041342 48.0528233)",,B 500,
23462717,2,Marktplatz,primary,30,False,False,87.487,"LINESTRING (8.2055428 48.051525, 8.2055801 48.0514476, 8.205615 48.0513609, 8.2056472 48.0512623, 8.2057095 48.0510704, 8.2057584 48.0509064, 8.2057699 48.0508396, 8.2057559 48.0507562)",,B 500,
28328581,,Marktplatz,living_street,,False,True,51.191,"LINESTRING (8.2055428 48.051525, 8.2057356 48.0516531, 8.2060015 48.0518677)",,,5
29192045,,Lindenstraße,living_street,,False,True,28.708,"LINESTRING (8.2057559 48.0507562, 8.206137 48.0507981)",,,
23462717,2,Marktplatz,primary,30,False,True,87.487,"LINESTRING (8.2057559 48.0507562, 8.2057699 48.0508396, 8.2057584 48.0509064, 8.2057095 48.0510704, 8.2056472 48.0512623, 8.205615 48.0513609, 8.2055801 48.0514476, 8.2055428 48.051525)",,B 500,
29192044,2,Wilhelmstraße,primary,30,False,False,37.748999999999995,"LINESTRING (8.2057559 48.0507562, 8.2057257 48.0506965, 8.2056559 48.0506176, 8.2054584 48.0504883)",,B 500,
"[833973774, 23237327]","['2', '3']",Bregstraße,primary,50,False,False,122.10699999999999,"LINESTRING (8.2033029 48.0494357, 8.2031739 48.0493573, 8.2027008 48.0490786, 8.2026557 48.049052, 8.2023888 48.0489197, 8.2021391 48.0488239, 8.2021035 48.0488127, 8.2019967 48.048779)",,B 500,
24995193,2,Baumannstraße,residential,30,False,False,121.952,"LINESTRING (8.2033029 48.0494357, 8.2034087 48.0494054, 8.2045498 48.0491587, 8.2047259 48.0491262, 8.2048678 48.0491406)",,,
122790383,1,Rabenstraße,residential,30,True,False,70.232,"LINESTRING (8.2033029 48.0494357, 8.2030833 48.0494383, 8.2023864 48.0493042)",,,6
"[29192044, 319544724]","['2', '3']",Wilhelmstraße,primary,30,False,True,198.742,"LINESTRING (8.2033029 48.0494357, 8.2034806 48.0495249, 8.2039405 48.0497318, 8.2045256 48.049991, 8.2049462 48.0501871, 8.2052337 48.0503479, 8.2054584 48.0504883)",,B 500,
24995192,,Weibert-Mahler-Straße,residential,50,False,False,77.289,"LINESTRING (8.201638 48.0486984, 8.2016634 48.0486207, 8.2017862 48.0482967, 8.201812 48.0482171, 8.2018628 48.0480775, 8.2019011 48.0480275)",,,6.5
319544704,3,Bregstraße,primary,50,False,True,28.149,"LINESTRING (8.201638 48.0486984, 8.2018076 48.0487333, 8.2019041 48.0487539, 8.2019967 48.048779)",,B 500,
833973782,1,Rabenstraße,residential,,True,False,22.39,"LINESTRING (8.201638 48.0486984, 8.2016896 48.0487539, 8.2016976 48.0488068, 8.2016762 48.0488884)",,,
"[319544698, 31149236]",2,Bismarckstraße,primary,50,True,False,212.87099999999998,"LINESTRING (8.2030297 48.0545651, 8.2030667 48.0543317, 8.2031232 48.0541573, 8.2031986 48.0540029, 8.2034156 48.0536648, 8.203657 48.0533499, 8.2038897 48.0530546, 8.2040827 48.0528667, 8.2041342 48.0528233)",,B 500,
146078011,,Kirnerstraße,residential,30,False,False,114.48700000000001,"LINESTRING (8.2030297 48.0545651, 8.2034183 48.0546088, 8.2039216 48.0547266, 8.2044388 48.0548476, 8.2045002 48.054862)",,,
146078011,,Kirnerstraße,residential,30,False,True,114.487,"LINESTRING (8.2045002 48.054862, 8.2044388 48.0548476, 8.2039216 48.0547266, 8.2034183 48.0546088, 8.2030297 48.0545651)",,,
"[28329305, 28329306, 960109774]",,Kirnerstraße,residential,30,False,False,117.83099999999999,"LINESTRING (8.2045002 48.054862, 8.2045543 48.0548734, 8.2052225 48.0550138, 8.2053152 48.0550271, 8.2053798 48.055008, 8.2054041 48.0549151, 8.2054225 48.0547434, 8.2055403 48.0545854)",yes,,
23237321,2,Allmendstraße,tertiary,50,False,True,58.28699999999999,"LINESTRING (8.2071727 48.0528448, 8.2071282 48.0528919, 8.2069804 48.0530482, 8.2068243 48.0532225, 8.2067272 48.05327)",,,
