osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,bridge,tunnel,junction
"[499730272, 504030122, 144602003, 499730267, 499730268, 52457279]",True,"['2', '1']",L 702,Wittener Straße,secondary,50,False,97.38000000000002,"LINESTRING (7.3374752 51.3228537, 7.3375871 51.3229162, 7.3379087 51.3231146, 7.3380056 51.3231743, 7.3380798 51.3232166, 7.338129 51.323243, 7.3381552 51.3232835, 7.3381653 51.3233192, 7.3381586 51.3233863, 7.3381387 51.3234142, 7.3380207 51.3234905, 7.3379914 51.3235109)",,,,
145024285,True,1,L 702,Wittener Straße,secondary,50,False,29.741,"LINESTRING (7.3378431 51.3220813, 7.3379182 51.3219754, 7.3379624 51.3219083, 7.3380129 51.3218358)",,,,
145024289,False,2,L 702,Wittener Straße,secondary,50,True,76.994,"LINESTRING (7.3378431 51.3220813, 7.3375495 51.3222989, 7.3374506 51.3223835, 7.3374049 51.3224371, 7.3373592 51.3225171, 7.337352 51.3225355, 7.3373393 51.3225821, 7.3373371 51.3226116, 7.3373427 51.322649, 7.337345 51.322673)",,,,
144601604,True,1,,Gartenstraße,secondary,20,False,21.094,"LINESTRING (7.3381204 51.322005, 7.3380478 51.3219589, 7.3380347 51.321917, 7.3380129 51.3218358)",,,,
"[1152504810, 199527459]",True,1,,Gartenstraße,secondary,20,False,21.134999999999998,"LINESTRING (7.3381204 51.322005, 7.3380391 51.3220212, 7.3379822 51.3220369, 7.3379235 51.3220517, 7.3378431 51.3220813)",,,,
144601629,False,,,Großer Markt,residential,,False,80.035,"LINESTRING (7.340401 51.3214918, 7.3396512 51.3212692, 7.3393556 51.32119)",,,,
"[199527464, 199527465]",True,"['2', '3']",,Wasserstraße,secondary,50,False,62.226,"LINESTRING (7.340401 51.3214918, 7.3400112 51.3217983, 7.3398403 51.3219281)",,,,
144601626,False,,,Großer Markt,residential,,False,73.35600000000001,"LINESTRING (7.3393556 51.32119, 7.3393124 51.3215056, 7.3392976 51.3216133, 7.3392806 51.3217375, 7.3392656 51.3218473)",,,,
144601629,False,,,Großer Markt,residential,,True,80.035,"LINESTRING (7.3393556 51.32119, 7.3396512 51.3212692, 7.340401 51.3214918)",,,,
144601631,False,,,Großer Markt,living_street,,False,119.66500000000002,"LINESTRING (7.3393556 51.32119, 7.3393633 51.321033, 7.3394069 51.3208857, 7.3394974 51.3207915, 7.3397225 51.3207526, 7.3400236 51.3204339, 7.3400699 51.3202935)",,,,
144601874,False,,,Rathausplatz,residential,,True,21.34,"LINESTRING (7.3400699 51.3202935, 7.3397636 51.3203072)",,,,
