osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,bridge
"[737069420, 737069421, 315946559]","['4', '2', '3']",B 236,Im Mühlengrund,primary,50,False,False,211.44,"LINESTRING (8.5279137 51.1909605, 8.5284121 51.1910081, 8.5290038 51.1910454, 8.5293105 51.1910768, 8.5295427 51.1911086, 8.5297417 51.1911415, 8.530082 51.1912125, 8.5303916 51.1913162, 8.5304868 51.1913554, 8.5306905 51.1914749, 8.5307446 51.1915104)",,
737069423,3,B 236,Im Mühlengrund,primary,50,False,False,27.463,"LINESTRING (8.5307446 51.1915104, 8.5309825 51.1917073)",,
"[737069420, 737069421, 315946559]","['4', '2', '3']",B 236,Im Mühlengrund,primary,50,False,True,211.44,"LINESTRING (8.5307446 51.1915104, 8.5306905 51.1914749, 8.5304868 51.1913554, 8.5303916 51.1913162, 8.530082 51.1912125, 8.5297417 51.1911415, 8.5295427 51.1911086, 8.5293105 51.1910768, 8.5290038 51.1910454, 8.5284121 51.1910081, 8.5279137 51.1909605)",,
737069428,1,,Poststraße,tertiary_link,,True,False,36.766999999999996,"LINESTRING (8.5307446 51.1915104, 8.53092 51.1915507, 8.5310568 51.1915734, 8.5312553 51.1915843)",,
298465071,2,B 236,Haarfelder Straße,primary,50,False,False,33.417,"LINESTRING (8.5293798 51.1955612, 8.5294593 51.1957467, 8.5295078 51.1958508)",,
"[26407171, 26407172, 737069422, 298465072, 141914482, 737069426, 737069429]","['4', '2', '3']",B 236,"['Waltenbergtunnel', 'Im Mühlengrund', 'Haarfelder Straße']",primary,50,False,True,483.63400000000007,"LINESTRING (8.5293798 51.1955612, 8.5293478 51.1954684, 8.5293388 51.1953929, 8.5293253 51.1952844, 8.529338 51.1951037, 8.529361 51.1950016, 8.5294127 51.1948723, 8.5294837 51.194734, 8.5295485 51.1946324, 8.5296245 51.1945398, 8.5296864 51.1944747, 8.5297131 51.1944465, 8.529819 51.1943658, 8.5305946 51.1938584, 8.5310341 51.1935721, 8.5311306 51.193501, 8.5311896 51.1934405, 8.5312512 51.1933506, 8.5313062 51.1932354, 8.531366 51.1930936, 8.5314041 51.1929782, 8.5314267 51.1928851, 8.5314488 51.1927673, 8.5314531 51.1926874, 8.5314551 51.1926151, 8.5314491 51.1925223, 8.5314353 51.1924388, 8.5314228 51.1923768, 8.5314055 51.1923206, 8.5313892 51.1922697, 8.5313505 51.1921827, 8.5313061 51.1921004, 8.531274 51.192047, 8.5312365 51.1919903, 8.5312063 51.1919491, 8.5311717 51.1919112, 8.5309825 51.1917073)",yes,
298465073,1,,Im Hohlen Seifen,tertiary,50,True,False,33.58,"LINESTRING (8.5293798 51.1955612, 8.5293697 51.1956101, 8.5293426 51.1956417, 8.5293085 51.1956641, 8.5292504 51.1956853, 8.5292054 51.1956929, 8.5291263 51.1957034, 8.5290246 51.1957072)",,
"[24626448, 117856162]",,,"['Bahnhofstraße', 'Marktstraße']",residential,"['50', '30']",False,True,302.161,"LINESTRING (8.5381391 51.1946327, 8.5380822 51.194652, 8.5380336 51.1946606, 8.5379755 51.1946705, 8.5379004 51.1946743, 8.5378406 51.1946759, 8.5375264 51.1946876, 8.5362841 51.1947502, 8.5359558 51.1947714, 8.5357996 51.1947806, 8.5356781 51.1947871, 8.5343047 51.1948602, 8.5341733 51.1948648, 8.5340662 51.194881, 8.5339576 51.1949076, 8.5338524 51.1949424)",,
834803044,,,Marktstraße,residential,50,False,False,24.31,"LINESTRING (8.5381391 51.1946327, 8.5381693 51.1946192, 8.5382062 51.1945982, 8.5382466 51.1945697, 8.538282 51.1945403, 8.5383189 51.1944995, 8.5383465 51.1944609)",,
834803045,,,Hellenstraße,residential,30,False,True,61.31,"LINESTRING (8.5381391 51.1946327, 8.5381649 51.1946987, 8.5381834 51.1947651, 8.5381945 51.1948079, 8.5382169 51.195139, 8.5382112 51.1951801)",,
