osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,tunnel,access,junction
"[15241598, 948081543]","['4', '2']",K 29,Bicherouxstraße,tertiary,50,False,False,105.939,"LINESTRING (6.0966961 50.8691005, 6.0965511 50.8691644, 6.0965075 50.8691847, 6.096463 50.869208, 6.096345 50.8693015, 6.0962731 50.8693945, 6.0962325 50.8694643, 6.0962095 50.869543, 6.0961417 50.8699337)",,,,,
"[948081545, 948081538]","['4', '3']",L 232,Geilenkirchener Straße,primary,50,False,True,94.04,"LINESTRING (6.0966961 50.8691005, 6.0968616 50.8693079, 6.096995 50.8694665, 6.097054 50.8695124, 6.0971289 50.8695509, 6.0974369 50.8696845, 6.0975371 50.8697302)",,,,,
948081546,3,L 232,Dammstraße,primary,50,False,True,23.621,"LINESTRING (6.0966961 50.8691005, 6.0966241 50.8690013, 6.0966012 50.868899)",,,,,
948081537,,,Alsdorfer Straße,residential,30,True,False,23.289,"LINESTRING (6.0966012 50.868899, 6.0969159 50.8689655)",6,,,,
"[948081547, 948081548, 954751602, 935560308, 14453815]","['2', '3']",L 232,Dammstraße,primary,50,False,True,168.74900000000002,"LINESTRING (6.0966012 50.868899, 6.0966019 50.8688808, 6.0966122 50.8688369, 6.096704 50.8686202, 6.0967957 50.8683636, 6.0968019 50.8682974, 6.0968093 50.8682011, 6.0968066 50.8679935, 6.0968044 50.8677946, 6.0968051 50.8676084, 6.09681 50.8675614, 6.0968325 50.8673969)",,,,,
948081546,3,L 232,Dammstraße,primary,50,False,False,23.621,"LINESTRING (6.0966012 50.868899, 6.0966241 50.8690013, 6.0966961 50.8691005)",,,,,
14366293,,,Apolloniastraße,residential,10,False,False,108.185,"LINESTRING (6.0968325 50.8673969, 6.0967491 50.8673709, 6.0966274 50.8673584, 6.0965864 50.8673574, 6.0962072 50.8673543, 6.0957071 50.867351, 6.0955844 50.8673487, 6.0953023 50.8673462)",,,,,
"[35588525, 14565814]",,,Erkensmühle,unclassified,30,False,True,168.03199999999998,"LINESTRING (6.0968325 50.8673969, 6.0969333 50.8674435, 6.0970019 50.8674653, 6.0970461 50.8674702, 6.0972109 50.867482, 6.0972881 50.8674889, 6.0974037 50.8675108, 6.0975363 50.8675475, 6.09771 50.8676015, 6.0979022 50.8676403, 6.0981426 50.8676537, 6.0982517 50.8676533, 6.0983414 50.8676285, 6.0983805 50.8676048, 6.0983854 50.8675762, 6.0984338 50.8671387)",7,,,,
204835882,4,L 232,Erkensstraße,primary,50,False,True,27.729000000000003,"LINESTRING (6.0968325 50.8673969, 6.0968535 50.8673007, 6.0968869 50.8671827, 6.0969007 50.8671515)",,,,,
"[948081547, 948081548, 954751602, 935560308, 14453815]","['2', '3']",L 232,Dammstraße,primary,50,False,False,168.749,"LINESTRING (6.0968325 50.8673969, 6.09681 50.8675614, 6.0968051 50.8676084, 6.0968044 50.8677946, 6.0968066 50.8679935, 6.0968093 50.8682011, 6.0968019 50.8682974, 6.0967957 50.8683636, 6.096704 50.8686202, 6.0966122 50.8688369, 6.0966019 50.8688808, 6.0966012 50.868899)",,,,,
14453669,3,L 223,Bardenberger Straße,secondary,50,False,False,29.323,"LINESTRING (6.0982734 50.8658225, 6.0981316 50.8658453, 6.098046 50.8658657, 6.0979871 50.8658839, 6.0978954 50.8659271)",,,,,
"[948081552, 948081551]",3,L 223,Bardenberger Straße,secondary,50,False,False,63.147,"LINESTRING (6.0982734 50.8658225, 6.0985932 50.8657902, 6.0988115 50.8657726, 6.0990129 50.8657435, 6.099151 50.8657078)",,,,,
13256853,,,Eygelshovener Straße,tertiary,30,False,False,125.504,"LINESTRING (6.0917585 50.8677062, 6.0915301 50.8680536, 6.0914434 50.86817, 6.091138 50.8685065, 6.0910302 50.868635, 6.0909742 50.8687186)",4,,,,
