osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,width,access
101777247,Am Hahnenweiher,residential,30,False,False,108.081,"LINESTRING (12.5467542 49.5084843, 12.546482 49.5084349, 12.546377 49.5084166, 12.5462194 49.5083892, 12.5459667 49.5083602, 12.545587 49.5083318, 12.5453592 49.5083403, 12.545284 49.5083438)",,,,,
101777247,Am Hahnenweiher,residential,30,False,True,75.474,"LINESTRING (12.5467542 49.5084843, 12.547451 49.5086477, 12.5477309 49.5087255)",,,,,
485427306,Sandgrubenweg,residential,30,False,False,110.569,"LINESTRING (12.5467542 49.5084843, 12.5467654 49.5081598, 12.5467598 49.5080208, 12.5467967 49.5077347, 12.5468881 49.5074984)",,,,,
116814292,Bahnhofstraße,tertiary,,False,True,10.359,"LINESTRING (12.5429782 49.5099638, 12.5428379 49.5099833)",SAD 44,,,,
61330211,Bachgasse,residential,30,False,False,127.74000000000001,"LINESTRING (12.5429782 49.5099638, 12.5431046 49.5099264, 12.5433705 49.5099053, 12.5440909 49.5098452, 12.5443585 49.5097871, 12.5444063 49.5097759, 12.5446934 49.5097127)",,,,,
"[154227014, 151443082, 116814286]",Gaisthaler Straße,secondary,50,False,True,48.522000000000006,"LINESTRING (12.5429782 49.5099638, 12.542925 49.5098565, 12.5428976 49.5097802, 12.5428308 49.5096179, 12.5427996 49.5095433)",St 2159,yes,2,,
151443144,Hauptstraße,secondary,50,False,False,78.009,"LINESTRING (12.5429782 49.5099638, 12.5429949 49.5099949, 12.5430557 49.5100786, 12.5431662 49.5101778, 12.543296 49.5102527, 12.5434416 49.5103083, 12.5435772 49.5103373, 12.5437744 49.5103521, 12.5437892 49.5103519)",St 2159,,,,
32342318,Hanenweiher,residential,30,False,False,43.753,"LINESTRING (12.5477309 49.5087255, 12.5477878 49.5088371, 12.5479292 49.5090973)",,,,,
101777247,Am Hahnenweiher,residential,30,False,False,75.474,"LINESTRING (12.5477309 49.5087255, 12.547451 49.5086477, 12.5467542 49.5084843)",,,,,
101777247,Am Hahnenweiher,residential,30,False,True,59.583,"LINESTRING (12.5477309 49.5087255, 12.5477606 49.5086617, 12.547977 49.5086869, 12.5482289 49.5087562, 12.5482804 49.5087704, 12.5484259 49.5088314)",,,,,
151443144,Hauptstraße,secondary,50,False,True,8.43,"LINESTRING (12.5472107 49.5098775, 12.547095 49.5098673)",St 2159,,,,
152437691,Hauptstraße,secondary,50,False,False,83.46000000000001,"LINESTRING (12.5472107 49.5098775, 12.5481229 49.5099899, 12.5482374 49.5100044, 12.5483441 49.5100238)",St 2154,,,,
