osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,junction,width,tunnel
23510331,Münstertor,living_street,False,False,68.103,,,"LINESTRING (7.7784324 51.9840303, 7.7791068 51.9835802)",,,,
23510329,Münstertor,residential,False,False,35.191,2,50,"LINESTRING (7.7784324 51.9840303, 7.7785391 51.9841037, 7.7787879 51.9842587)",,,,
23510331,Münstertor,living_street,False,True,68.103,,,"LINESTRING (7.7791068 51.9835802, 7.7784324 51.9840303)",,,,
"[665443314, 23640333]",Warendorfer Straße,tertiary,False,False,84.763,"['2', '3']",50,"LINESTRING (7.7858906 51.9808904, 7.7860272 51.9808728, 7.7865532 51.9808014, 7.786857 51.9807623, 7.7871046 51.9807455)",K 50,,,
"[665443313, 42488356, 38284409]",Steintor,secondary,False,True,85.577,3,50,"LINESTRING (7.7858906 51.9808904, 7.7859151 51.9809791, 7.7859523 51.9810912, 7.7860142 51.9812726, 7.7860596 51.9813542, 7.7861998 51.9815276, 7.7862893 51.9816109)",L 585,,,
"[38284410, 399079419]","['Wolbecker Straße', 'Steintor']",secondary,False,False,132.664,2,50,"LINESTRING (7.7858906 51.9808904, 7.7858422 51.9807412, 7.7858071 51.9806358, 7.7857469 51.9804561, 7.7856215 51.9800532, 7.7855891 51.9798064, 7.7855886 51.9797144)",L 585,,,
"[38284410, 399079419]","['Wolbecker Straße', 'Steintor']",secondary,False,True,132.66400000000002,2,50,"LINESTRING (7.7855886 51.9797144, 7.7855891 51.9798064, 7.7856215 51.9800532, 7.7857469 51.9804561, 7.7858071 51.9806358, 7.7858422 51.9807412, 7.7858906 51.9808904)",L 585,,,
399007928,Wolbecker Straße,secondary,True,False,33.012,1,,"LINESTRING (7.7855886 51.9797144, 7.7855092 51.9797018, 7.7854541 51.9796748, 7.785414 51.9796438, 7.7853755 51.9796, 7.7853509 51.9795519, 7.7853375 51.9794893)",L 585,roundabout,,
399007928,Wolbecker Straße,secondary,True,False,19.301,1,,"LINESTRING (7.7853679 51.9794181, 7.7853862 51.9794036, 7.7854498 51.9793776, 7.7855382 51.9793677, 7.7856218 51.9793796)",L 585,roundabout,,
461549614,Wolbecker Straße,secondary,False,False,20.432000000000002,2,50,"LINESTRING (7.7853679 51.9794181, 7.7852785 51.9793739, 7.7851535 51.979291)",L 585,,,
399007928,Wolbecker Straße,secondary,True,False,20.46,1,,"LINESTRING (7.7857848 51.9795997, 7.7857577 51.9796543, 7.7857079 51.9796908, 7.7856518 51.9797113, 7.7855886 51.9797144)",L 585,roundabout,,
"[25479219, 1008972325]",Mozartstraße,residential,False,True,261.02000000000004,,30,"LINESTRING (7.7857848 51.9795997, 7.7859051 51.9796186, 7.7860918 51.9796464, 7.7862158 51.9796566, 7.7864228 51.9796625, 7.7870045 51.9796089, 7.7874854 51.9795437, 7.7877163 51.9794987, 7.7885584 51.9793051, 7.7891353 51.9791768, 7.7894456 51.9791122)",,,,
461549614,Wolbecker Straße,secondary,False,True,20.432000000000002,2,50,"LINESTRING (7.7851535 51.979291, 7.7852785 51.9793739, 7.7853679 51.9794181)",L 585,,,
"[25278184, 974389772]",Emsstraße,living_street,False,False,43.358,,,"LINESTRING (7.7882239 51.9834575, 7.788126 51.9834917, 7.7876688 51.983645)",,,,
"[38284408, 1070588903]",Baßfeld,secondary,False,False,66.94500000000001,2,50,"LINESTRING (7.7882239 51.9834575, 7.788117 51.9833401, 7.7880282 51.9831866, 7.7879881 51.9831003, 7.7879371 51.9830264, 7.7879079 51.9829965, 7.7878815 51.9829695, 7.7878246 51.9829112)",L 585,,,
403451209,Mönkediek,residential,False,True,53.177,,30,"LINESTRING (7.7785924 51.9823956, 7.7778378 51.9825083)",,,,
403451210,Mönkediek,living_street,False,True,47.474,,,"LINESTRING (7.7785924 51.9823956, 7.7787389 51.9828129)",,,,
"[24739920, 480112935]",Mönkediek,residential,False,False,163.953,,30,"LINESTRING (7.7785924 51.9823956, 7.7789923 51.9823362, 7.779639 51.9822374, 7.7801248 51.9821657, 7.7801781 51.982135, 7.7801834 51.9820575, 7.7801728 51.9819892, 7.7801003 51.9817984, 7.7800609 51.981685)",,,,
24739922,Bahnhofstraße,living_street,False,False,101.89999999999999,,7,"LINESTRING (7.7800609 51.981685, 7.7805589 51.9815272, 7.7806219 51.9815212, 7.7810834 51.9814774, 7.7811306 51.9814743, 7.7811833 51.981485, 7.7814206 51.9815921)",,,,
"[24739920, 480112935]",Mönkediek,residential,False,True,163.953,,30,"LINESTRING (7.7800609 51.981685, 7.7801003 51.9817984, 7.7801728 51.9819892, 7.7801834 51.9820575, 7.7801781 51.982135, 7.7801248 51.9821657, 7.779639 51.9822374, 7.7789923 51.9823362, 7.7785924 51.9823956)",,,,
25367166,Grabenstraße,living_street,False,True,34.578,,,"LINESTRING (7.7813902 51.9833652, 7.7818951 51.9833643)",,,,
23510329,Münstertor,residential,False,True,54.712,2,50,"LINESTRING (7.7798072 51.9848762, 7.7792297 51.9845362)",,,,
23510329,Münstertor,residential,False,False,79.37200000000001,2,50,"LINESTRING (7.7798072 51.9848762, 7.7802226 51.9851122, 7.7804739 51.9852255, 7.7807108 51.9853202)",,,,
25417711,Schwalbenweg,residential,False,False,187.92399999999998,,30,"LINESTRING (7.7798072 51.9848762, 7.7797417 51.9849206, 7.779349 51.9851845, 7.7789517 51.9853667, 7.778836 51.9854198, 7.7775746 51.9858293)",,,,
23510329,Münstertor,residential,False,True,61.66,2,50,"LINESTRING (7.781537 51.9855352, 7.7814337 51.9855094, 7.7811283 51.9854507, 7.7808669 51.9853782, 7.7807108 51.9853202)",,,,
134622579,Münstertor,living_street,False,False,27.338,,,"LINESTRING (7.781537 51.9855352, 7.7817103 51.9855147, 7.781933 51.9855125)",,,,
403485305,August-Winkhaus-Straße,unclassified,False,False,23.070999999999998,,30,"LINESTRING (7.781537 51.9855352, 7.7816439 51.9856026, 7.7816707 51.9856194, 7.7817343 51.9857001)",,,,
25217510,Münsterstraße,living_street,False,True,24.925,,,"LINESTRING (7.781933 51.9855125, 7.7818294 51.9856022, 7.7817343 51.9857001)",,,,
"[134622578, 308209122]",Münsterstraße,living_street,False,False,72.22,,7,"LINESTRING (7.781933 51.9855125, 7.7820963 51.9855003, 7.7822314 51.9854785, 7.782428 51.9854241, 7.7825376 51.9853704, 7.7828068 51.9851925)",,,,
134622579,Münstertor,living_street,False,True,27.338,,,"LINESTRING (7.781933 51.9855125, 7.7817103 51.9855147, 7.781537 51.9855352)",,,,
584880608,Münsterstraße,living_street,False,False,34.995,,7,"LINESTRING (7.7828068 51.9851925, 7.7831045 51.9849367)",,,,
25367150,Mühlenstraße,living_street,False,True,103.44999999999999,,7,"LINESTRING (7.7828068 51.9851925, 7.7829157 51.9852395, 7.7832826 51.9854433, 7.7835264 51.9855887, 7.7836265 51.9856483, 7.7839842 51.9857652)",,,,
26659245,Ritterstraße,living_street,False,False,65.272,,7,"LINESTRING (7.7828068 51.9851925, 7.7826882 51.9851468, 7.7820693 51.9848219)",,,,
