osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,ref,tunnel,junction
"[1101644226, 25461923, 1101644037]",True,1,Bebelstraße,residential,30,False,78.792,"LINESTRING (7.218677 51.5368377, 7.2186103 51.5368517, 7.2185566 51.5368797, 7.2185256 51.5369063, 7.2185139 51.5369342, 7.2185117 51.5369558, 7.2184881 51.5371835, 7.2184754 51.5373061, 7.2184268 51.5374905)",,,,
107517277,True,1,Bergelmanns Hof,residential,30,False,21.861,"LINESTRING (7.218677 51.5368377, 7.2186061 51.5368233, 7.2185513 51.5368226, 7.2184523 51.5368387, 7.2183725 51.5368557)",3.6,,,
3729512,False,,Haldenstraße,residential,30,False,62.704,"LINESTRING (7.2155529 51.5385019, 7.2155777 51.5390656)",,,,
"[1102315011, 1102314895]",False,,Behrensstraße,residential,30,False,66.08,"LINESTRING (7.2155529 51.5385019, 7.2147674 51.5384976, 7.2145975 51.5384969)",,,,
"[25490027, 1102315036, 1102315445]",False,,Behrensstraße,residential,30,True,111.39800000000001,"LINESTRING (7.2155529 51.5385019, 7.2157319 51.5385029, 7.2161383 51.5385053, 7.2166596 51.5385076, 7.2170641 51.5385094, 7.2171635 51.5385106)",,,,
"[782119668, 782119669]",False,,Neustraße,"['living_street', 'residential']","['30', 'walk']",False,90.253,"LINESTRING (7.2156285 51.5402184, 7.2157847 51.540222, 7.2169326 51.5402486)",,,,
"[3729619, 782119669]",False,,Neustraße,living_street,walk,True,67.584,"LINESTRING (7.2156285 51.5402184, 7.2154628 51.5402145, 7.2151844 51.5402047, 7.2146527 51.540186)",,,,
"[782119672, 782119671]",False,,Haldenstraße,"['living_street', 'residential']","['30', 'walk']",False,197.28900000000002,"LINESTRING (7.2156285 51.5402184, 7.2156333 51.5403222, 7.2156554 51.5407955, 7.2156628 51.5409528, 7.2157119 51.5419919)",,,,
"[782119672, 3729512]",False,,Haldenstraße,"['living_street', 'residential']","['30', 'walk']",True,128.234,"LINESTRING (7.2156285 51.5402184, 7.2156234 51.5401038, 7.2155777 51.5390656)",,,,
25687103,False,2,Von-der-Heydt-Straße,residential,30,False,90.127,"LINESTRING (7.2157119 51.5419919, 7.214422 51.5421075)",,,,
"[937815377, 654013826, 25687103]",False,2,Von-der-Heydt-Straße,residential,30,True,85.324,"LINESTRING (7.2157119 51.5419919, 7.2162783 51.5419463, 7.2164825 51.5419294, 7.2166162 51.5419184, 7.2167365 51.5419084, 7.2169344 51.5418887)",,,,
"[782119672, 782119671]",False,,Haldenstraße,"['residential', 'living_street']","['30', 'walk']",True,197.28900000000002,"LINESTRING (7.2157119 51.5419919, 7.2156628 51.5409528, 7.2156554 51.5407955, 7.2156333 51.5403222, 7.2156285 51.5402184)",,,,
3729571,False,,Mittelstraße,residential,30,True,187.86,"LINESTRING (7.2146527 51.540186, 7.2146288 51.5395175, 7.2146041 51.5388266, 7.2145975 51.5384969)",,,,
"[3729619, 782119669]",False,,Neustraße,living_street,walk,False,67.584,"LINESTRING (7.2146527 51.540186, 7.2151844 51.5402047, 7.2154628 51.5402145, 7.2156285 51.5402184)",,,,
3729619,False,,Neustraße,living_street,walk,True,66.445,"LINESTRING (7.2146527 51.540186, 7.2141901 51.5401846, 7.2136923 51.5401732)",,,,
3729619,False,,Neustraße,living_street,walk,False,66.445,"LINESTRING (7.2136923 51.5401732, 7.2141901 51.5401846, 7.2146527 51.540186)",,,,
"[25783808, 1213269759]",False,,Brunnenstraße,living_street,walk,False,215.425,"LINESTRING (7.2136923 51.5401732, 7.2136583 51.5400658, 7.2135507 51.539842, 7.2135406 51.5397772, 7.2134816 51.5396587, 7.2134377 51.5396089, 7.2133297 51.5393889, 7.2132701 51.5393368, 7.2132104 51.5392021, 7.2132047 51.539123, 7.2131346 51.5389702, 7.2131091 51.5389051, 7.213091 51.5388588, 7.2130374 51.5387345, 7.2130293 51.5386924, 7.2130333 51.5386626, 7.2130535 51.538609, 7.2130917 51.5385164, 7.2132399 51.5383274)",,,,
25783808,False,,Brunnenstraße,living_street,walk,True,93.83099999999999,"LINESTRING (7.2136923 51.5401732, 7.2138555 51.5405391, 7.2138719 51.5405758, 7.2139284 51.5407489, 7.2140083 51.5409933)",,,,
"[1102314380, 1102314895, 1102314831, 1102314455, 1102314365]",False,,Behrensstraße,residential,30,True,96.42500000000001,"LINESTRING (7.2132399 51.5383274, 7.2133807 51.538365, 7.2135021 51.5383915, 7.2135829 51.5384063, 7.2136298 51.5384146, 7.2137673 51.5384361, 7.2138675 51.5384497, 7.2140989 51.5384743, 7.2142933 51.5384876, 7.2144368 51.5384941, 7.2145975 51.5384969)",,,,
"[25783808, 1213269759]",False,,Brunnenstraße,living_street,walk,True,215.425,"LINESTRING (7.2132399 51.5383274, 7.2130917 51.5385164, 7.2130535 51.538609, 7.2130333 51.5386626, 7.2130293 51.5386924, 7.2130374 51.5387345, 7.213091 51.5388588, 7.2131091 51.5389051, 7.2131346 51.5389702, 7.2132047 51.539123, 7.2132104 51.5392021, 7.2132701 51.5393368, 7.2133297 51.5393889, 7.2134377 51.5396089, 7.2134816 51.5396587, 7.2135406 51.5397772, 7.2135507 51.539842, 7.2136583 51.5400658, 7.2136923 51.5401732)",,,,
1104338692,False,,Otto-Hue-Straße,residential,30,False,31.012,"LINESTRING (7.2219152 51.5336017, 7.2220569 51.5338663)",,,,
"[3751313, 937880395, 1104338590]",True,,Overkamps Hof,residential,30,False,155.948,"LINESTRING (7.2219152 51.5336017, 7.2215589 51.5336718, 7.2201784 51.533689, 7.2198184 51.5336935, 7.2197842 51.5336939, 7.2196784 51.5336952)",,,,
"[345739635, 689860214, 689860215]",False,"['2', '3']",Friedrich-Ebert-Platz,residential,30,True,45.699999999999996,"LINESTRING (7.222247 51.5377461, 7.2223454 51.5376233, 7.2223895 51.5375713, 7.2224396 51.5375141, 7.2224924 51.5374554, 7.2225539 51.5373822)",,,,
"[1068597603, 4479901]",False,2,Berliner Platz,residential,30,False,62.28099999999999,"LINESTRING (7.222247 51.5377461, 7.2221586 51.5377156, 7.2221323 51.5377066, 7.2219275 51.5376361, 7.2218393 51.5376057, 7.2214591 51.5374749)",,,,
"[1068597608, 345739937]",False,2,Friedrich-Ebert-Platz,residential,30,False,113.339,"LINESTRING (7.222247 51.5377461, 7.2221415 51.5378914, 7.2221106 51.5379349, 7.2218703 51.5382328, 7.2217776 51.5383509, 7.2216827 51.5384702, 7.2216246 51.5385433, 7.2215936 51.5385797, 7.2215667 51.538609, 7.2215087 51.5386544)",,,,
689085721,True,1,Freiligrathstraße,residential,30,False,19.983,"LINESTRING (7.2199468 51.5392049, 7.2199964 51.5391772, 7.2200524 51.5391514, 7.2201328 51.5391251, 7.2201945 51.5391238)",,,,
689085726,True,1,Bebelstraße,residential,30,False,12.471,"LINESTRING (7.2199468 51.5392049, 7.2200001 51.5392256, 7.220046 51.5392483, 7.2200885 51.5392736)",,,,
1107942353,False,2,Bebelstraße,residential,30,False,14.469,"LINESTRING (7.2199468 51.5392049, 7.2199067 51.5391605, 7.2198442 51.5390915)",,,,
1068597598,False,2,Bebelstraße,residential,30,True,6.661,"LINESTRING (7.2192692 51.5385042, 7.2193655 51.5385052)",,,,
"[1068597593, 4479996, 937839065]",True,3,Behrensstraße,residential,30,False,90.83699999999999,"LINESTRING (7.2192692 51.5385042, 7.2191515 51.5385473, 7.2190727 51.5385491, 7.2188977 51.5385492, 7.2185298 51.5385495, 7.218243 51.5385514, 7.2181718 51.5385519, 7.2179748 51.5385538)",,,,
5067655,False,3,Berliner Platz,residential,50,False,12.303,"LINESTRING (7.2241972 51.5353095, 7.2241253 51.5354107)",,,,
48218962,True,2,Holsterhauser Straße,secondary,50,False,37.718,"LINESTRING (7.2241972 51.5353095, 7.2244006 51.5353678, 7.2246917 51.5354525)",,L 657,,
"[1115533656, 1115533657, 3700190, 1115533655]",False,,In der Helle,residential,30,False,124.11699999999999,"LINESTRING (7.216605 51.5374469, 7.2165524 51.5373971, 7.2165383 51.5373742, 7.2165273 51.5373431, 7.2165293 51.5372872, 7.2165457 51.5371919, 7.2165806 51.5370766, 7.2165898 51.5370493, 7.2166091 51.537001, 7.2167208 51.5367856, 7.2167498 51.5367434, 7.2167791 51.5367029, 7.2168384 51.5366249, 7.2168585 51.536602, 7.2168964 51.5365696, 7.216938 51.5365455, 7.2169913 51.536525, 7.2170641 51.5365012, 7.2171438 51.5364693)",,,,
"[1101548001, 1101548194]",False,,In der Helle,residential,30,False,180.16899999999998,"LINESTRING (7.2171438 51.5364693, 7.2172016 51.5364125, 7.2177462 51.5357173, 7.2177849 51.5356679, 7.2180505 51.5353287, 7.218249 51.5350752, 7.218292 51.5350154)",,,,
"[4479936, 937852402, 937839387, 1101646125]",False,,In der Helle,residential,30,False,85.574,"LINESTRING (7.2171438 51.5364693, 7.2172639 51.5365184, 7.2172766 51.5365236, 7.2174731 51.5365947, 7.2176607 51.5366556, 7.2177331 51.5366781, 7.2180508 51.5367763, 7.2181219 51.5367953, 7.2182404 51.5368225)",,,,
"[1115533656, 1115533657, 3700190, 1115533655]",False,,In der Helle,residential,30,True,124.11700000000002,"LINESTRING (7.2171438 51.5364693, 7.2170641 51.5365012, 7.2169913 51.536525, 7.216938 51.5365455, 7.2168964 51.5365696, 7.2168585 51.536602, 7.2168384 51.5366249, 7.2167791 51.5367029, 7.2167498 51.5367434, 7.2167208 51.5367856, 7.2166091 51.537001, 7.2165898 51.5370493, 7.2165806 51.5370766, 7.2165457 51.5371919, 7.2165293 51.5372872, 7.2165273 51.5373431, 7.2165383 51.5373742, 7.2165524 51.5373971, 7.216605 51.5374469)",,,,
37869006,True,2,Bochumer Straße,residential,30,False,76.63499999999999,"LINESTRING (7.2263314 51.5350839, 7.2263486 51.5352007, 7.2263571 51.5352585, 7.2263612 51.5353169, 7.2263598 51.5353632, 7.2263564 51.5354742, 7.2263379 51.5356554, 7.2263335 51.5356937, 7.2263191 51.5357713)",,,,
"[279195211, 937863052]",True,"['2', '3']",Westring,secondary,50,False,76.844,"LINESTRING (7.2196784 51.5336952, 7.2196965 51.5338698, 7.2197064 51.5340097, 7.219702 51.5342252, 7.2196985 51.5342615, 7.2196825 51.5343853)",,L 551,,
654013805,False,3,Neustraße,residential,30,False,12.466,"LINESTRING (7.2177508 51.5402681, 7.2179306 51.540276)",,,,
"[937839056, 845393492, 654013804, 937839063]",True,"['2', '3']",Westring,secondary,50,False,190.504,"LINESTRING (7.2177508 51.5402681, 7.2177723 51.5401223, 7.2177811 51.5399307, 7.2177903 51.5397304, 7.2177957 51.5394605, 7.2178005 51.5392069, 7.217801 51.5390228, 7.2177946 51.5386938, 7.2177953 51.5386529, 7.2177977 51.5385557)",,L 551,,
"[937824473, 654013806]",False,3,Neustraße,residential,30,True,56.627,"LINESTRING (7.2177508 51.5402681, 7.2175557 51.5402632, 7.2174838 51.5402617, 7.2169326 51.5402486)",,,,
654013805,False,3,Neustraße,residential,30,True,12.466,"LINESTRING (7.2179306 51.540276, 7.2177508 51.5402681)",,,,
"[937826264, 654013808, 654013807]",False,3,Neustraße,residential,30,False,54.338,"LINESTRING (7.2179306 51.540276, 7.2181167 51.5402774, 7.2181912 51.5402788, 7.2185942 51.5402864, 7.218716 51.5402886)",,,,
"[654013818, 937824476, 654013812, 937824478]",True,"['4', '2']",Westring,secondary,50,False,148.853,"LINESTRING (7.2179306 51.540276, 7.2178899 51.540418, 7.2178499 51.5405676, 7.2177984 51.5407154, 7.2177295 51.5408694, 7.2176462 51.5410302, 7.2176006 51.5411104, 7.2175439 51.5412109, 7.2174922 51.5412951, 7.2173433 51.5415282, 7.2173254 51.5415563)",,L 551,,
25356271,False,2,Von-der-Heydt-Straße,residential,50,False,14.485,"LINESTRING (7.2169344 51.5418887, 7.2171376 51.5418571)",,,,
"[937815377, 654013826, 25687103]",False,2,Von-der-Heydt-Straße,residential,30,False,85.324,"LINESTRING (7.2169344 51.5418887, 7.2167365 51.5419084, 7.2166162 51.5419184, 7.2164825 51.5419294, 7.2162783 51.5419463, 7.2157119 51.5419919)",,,,
"[48218953, 654013803, 937823153, 937817235, 937823158]",True,"['2', '3']",Westring,secondary,50,False,189.491,"LINESTRING (7.2169344 51.5418887, 7.2170577 51.5416905, 7.2171363 51.5415653, 7.2173832 51.5411717, 7.217485 51.541001, 7.2175751 51.5408189, 7.21762 51.5407188, 7.2176603 51.5406038, 7.2177091 51.5404484, 7.2177195 51.5404056, 7.2177508 51.5402681)",,L 551,,
25356271,False,2,Von-der-Heydt-Straße,residential,50,True,14.485,"LINESTRING (7.2171376 51.5418571, 7.2169344 51.5418887)",,,,
396987366,True,2,Westring,secondary,50,False,13.893,"LINESTRING (7.2171376 51.5418571, 7.2170693 51.5419746)",,L 551,,
346806282,True,1,Von-der-Heydt-Straße,residential,50,False,34.602000000000004,"LINESTRING (7.2171376 51.5418571, 7.2173228 51.5418214, 7.2176231 51.5417834)",,,,
"[937824477, 4863629]",True,1,Von-der-Heydt-Straße,secondary_link,50,False,38.443,"LINESTRING (7.2173254 51.5415563, 7.2173412 51.5416466, 7.2173589 51.5416949, 7.2173849 51.5417339, 7.2174075 51.5417527, 7.217446 51.5417675, 7.217506 51.5417763, 7.2176231 51.5417834)",,,,
654013815,True,3,Westring,secondary,50,False,35.884,"LINESTRING (7.2173254 51.5415563, 7.2172349 51.5416952, 7.2172157 51.5417263, 7.2171376 51.5418571)",,L 551,,
4916917,False,1,Kirchhofstraße,living_street,walk,False,164.211,"LINESTRING (7.2225539 51.5373822, 7.2230149 51.5375428, 7.2234966 51.5377149, 7.223508 51.5377189, 7.2236371 51.5377623, 7.2238496 51.5378338, 7.2240418 51.5378985, 7.2240745 51.5379095, 7.2241502 51.537935, 7.2243386 51.5379921, 7.224642 51.5380841)",,,,
"[1149684032, 279193427, 1107937564, 1149684031]",False,"['2', '3']",Berliner Platz,residential,30,True,132.29,"LINESTRING (7.2225539 51.5373822, 7.2228049 51.5370984, 7.222862 51.537033, 7.2229552 51.5369263, 7.2230787 51.536785, 7.2232465 51.5365928, 7.2232763 51.5365586, 7.2233152 51.5365141, 7.2234693 51.5363376)",,,,
