osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction,access
"[958700676, 734102492]",True,Hauptstraße,tertiary,False,24.575000000000003,"LINESTRING (12.0644892 51.3000109, 12.064507 51.2999746, 12.0645265 51.2999247, 12.0645778 51.299797)",,,,,
1036595061,True,,secondary,False,12.235,"LINESTRING (12.0644892 51.3000109, 12.0645186 51.3000054, 12.0645505 51.3000048, 12.0645855 51.3000082, 12.0646205 51.3000158, 12.0646559 51.3000286)",1,L 187,50,roundabout,
23732836,False,Salinenstraße,secondary,True,279.877,"LINESTRING (12.063901 51.2999801, 12.0629831 51.2998089, 12.0625032 51.2997097, 12.0622355 51.2996378, 12.0619254 51.2995299, 12.0616745 51.2994163, 12.0614595 51.2993042, 12.0604344 51.298778)",2,L 187,50,,
"[41055811, 958700675]",True,,secondary,False,38.053000000000004,"LINESTRING (12.063901 51.2999801, 12.0641064 51.299998, 12.064151 51.3000041, 12.0642617 51.300023, 12.0643675 51.3000329, 12.06444 51.3000348)",1,L 187,50,,
22982791,True,,secondary,False,4.394,"LINESTRING (12.06444 51.3000348, 12.064443 51.3000326, 12.0644439 51.3000318, 12.064459 51.3000214, 12.0644892 51.3000109)",1,L 187,50,roundabout,
"[958700673, 1167757919, 958700679]",False,Schkeuditzer Straße,secondary,False,212.787,"LINESTRING (12.0648851 51.3002571, 12.0650226 51.3002925, 12.0651369 51.3003149, 12.0652782 51.3003323, 12.0654329 51.3003468, 12.0655778 51.3003507, 12.0657094 51.3003439, 12.0659352 51.3003352, 12.0662514 51.3002933, 12.0667079 51.3002146, 12.0670808 51.3001452, 12.0672347 51.3001057, 12.0673895 51.3000577, 12.0677957 51.2999182)",2,L 187,50,,
958700680,True,,secondary,False,12.289000000000001,"LINESTRING (12.0648851 51.3002571, 12.0648714 51.3002732, 12.0648524 51.3002885, 12.0648506 51.3002899, 12.0648266 51.3003042, 12.0647991 51.3003155, 12.0647542 51.3003255)",1,L 187,50,roundabout,
23016886,True,Soleweg,residential,False,195.029,"LINESTRING (12.0696446 51.2967137, 12.0694639 51.2966992, 12.0688911 51.2966979, 12.0684433 51.2966978, 12.0676891 51.2966961, 12.0673632 51.2967835, 12.0668698 51.2967817)",,,20,,
23383874,False,Breite Straße,secondary,False,73.122,"LINESTRING (12.0696446 51.2967137, 12.069718 51.2964034, 12.0698347 51.2960673)",2,L 187,50,,
23383874,False,Breite Straße,secondary,True,97.503,"LINESTRING (12.0696446 51.2967137, 12.0696168 51.2970026, 12.069614 51.2971163, 12.0696364 51.2974129, 12.0696616 51.297589)",2,L 187,50,,
22982796,True,,secondary,False,38.211,"LINESTRING (12.0643986 51.3001207, 12.0643528 51.3000987, 12.0641218 51.3000522, 12.0640751 51.3000387, 12.063901 51.2999801)",1,L 187,50,,
959001834,True,,secondary,False,10.251,"LINESTRING (12.0643986 51.3001207, 12.0643986 51.3000971, 12.0644046 51.3000743, 12.0644192 51.3000536, 12.06444 51.3000348)",1,L 187,50,roundabout,
23053982,False,Lutherstraße,residential,False,40.801,"LINESTRING (12.0663251 51.2978129, 12.0662273 51.2981747)",,,50,,
23053982,False,Lutherstraße,residential,True,40.728,"LINESTRING (12.0663251 51.2978129, 12.066426 51.2974521)",,,50,,
"[142770786, 142770781]",False,"['Fichtestraße', 'Am 5. Gradierwerk']",residential,True,187.159,"LINESTRING (12.0663251 51.2978129, 12.0679561 51.2980484, 12.067761 51.298202, 12.0676132 51.2982636, 12.0675544 51.2983005, 12.0674377 51.2984129, 12.067226 51.2984675)",,,,,
23053982,False,Lutherstraße,residential,False,28.895,"LINESTRING (12.0661896 51.298328, 12.0661441 51.2985863)",,,50,,
23053982,False,Lutherstraße,residential,True,17.247,"LINESTRING (12.0661896 51.298328, 12.0662273 51.2981747)",,,50,,
142772927,True,Teichstraße,residential,False,94.051,"LINESTRING (12.0661896 51.298328, 12.064883 51.298109)",,,,,destination
23395356,True,Teichstraße,residential,False,73.711,"LINESTRING (12.0661896 51.298328, 12.0666961 51.298393, 12.067226 51.2984675)",,,,,
23053982,False,Lutherstraße,residential,True,18.655,"LINESTRING (12.0661366 51.298754, 12.0661441 51.2985863)",,,50,,
