osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,access
61461384,False,2,B 54,Volmestraße,primary,50,True,118.27499999999999,"LINESTRING (7.5359719 51.2401171, 7.535872 51.2402038, 7.5351615 51.2407908, 7.5349779 51.2409787)",,,
"[34771522, 318733564, 177082287]",False,,,Bahnhofstraße,residential,30,True,65.84,"LINESTRING (7.5359719 51.2401171, 7.5359086 51.2401038, 7.5356466 51.2400245, 7.5354818 51.2399949, 7.5353092 51.2399967, 7.5350698 51.240026)",yes,,
"[34587033, 34587034, 34587035, 899723789]",False,,,"['Hälverstraße', 'Grabenstraße', 'Jahnstraße']",residential,,True,822.5310000000001,"LINESTRING (7.529885 51.2419715, 7.5297274 51.242163, 7.5295104 51.24241, 7.5292634 51.2427292, 7.529168 51.2428479, 7.5289949 51.2430627, 7.5289339 51.2431429, 7.5287299 51.2433941, 7.5286264 51.2434961, 7.5284607 51.2435902, 7.5281247 51.2437014, 7.5274332 51.2438079, 7.5267646 51.2439018, 7.5260811 51.2440182, 7.5255628 51.2440961, 7.525059 51.2442058, 7.5245513 51.244323, 7.524449 51.2442274, 7.5244203 51.2441787, 7.5244409 51.2441328, 7.5250992 51.2439333, 7.5261338 51.2435945, 7.5269879 51.2433214, 7.5274857 51.2431281, 7.527328 51.2428596, 7.5271697 51.2425541)",,,
"[489598889, 189142405]",False,,L 868,Hälverstraße,secondary,50,False,95.33099999999999,"LINESTRING (7.529885 51.2419715, 7.5298126 51.2418786, 7.529708 51.241716, 7.5295891 51.2415165, 7.5295135 51.2413797, 7.5294548 51.241244, 7.5294293 51.2411652)",,,
"[173352360, 318728796]",False,,L 868,Hälverstraße,secondary,50,True,83.623,"LINESTRING (7.529885 51.2419715, 7.5299853 51.2421068, 7.5301168 51.2422239, 7.5302399 51.2423039, 7.5303506 51.242367, 7.5306751 51.242521)",yes,,
36528169,False,,L 868,Hälverstraße,secondary,50,False,106.765,"LINESTRING (7.5293661 51.2399826, 7.5293619 51.2399287, 7.5293518 51.2398747, 7.5293422 51.2398395, 7.5293285 51.2398039, 7.5292568 51.239654, 7.5290661 51.2393654, 7.5288745 51.2390788)",,,
907716045,True,,L 868,Hälverstraße,secondary,,False,20.772,"LINESTRING (7.5293661 51.2399826, 7.5294073 51.2400129, 7.5294061 51.2400567, 7.5294045 51.2401209, 7.5294144 51.2401594)",,,
"[173352360, 318728796]",False,,L 868,Hälverstraße,secondary,50,False,83.623,"LINESTRING (7.5306751 51.242521, 7.5303506 51.242367, 7.5302399 51.2423039, 7.5301168 51.2422239, 7.5299853 51.2421068, 7.529885 51.2419715)",yes,,
"[188676321, 24934455]",False,"['2', '3']",B 54,Volmestraße,primary,50,False,329.61899999999997,"LINESTRING (7.5306751 51.242521, 7.5308687 51.2423605, 7.5310987 51.2421684, 7.5312691 51.2420485, 7.5314641 51.2419383, 7.5318135 51.2417762, 7.5320113 51.2417074, 7.5322129 51.2416465, 7.5325371 51.2415684, 7.5328846 51.2414926, 7.5332996 51.2414047, 7.5335892 51.241344, 7.5340098 51.241255, 7.534415 51.241185, 7.5345701 51.24116, 7.5347085 51.2411377)",,,
"[189142403, 758478855]",False,2,B 54,Volmestraße,primary,50,True,508.479,"LINESTRING (7.5306751 51.242521, 7.5304154 51.2427457, 7.5300471 51.2430694, 7.5297617 51.2433031, 7.5295812 51.2434297, 7.529252 51.2435913, 7.5289756 51.2436923, 7.5285673 51.2438196, 7.5282631 51.2439015, 7.5279199 51.2439955, 7.5275569 51.2440829, 7.5271247 51.2441502, 7.5262956 51.2442691, 7.5259649 51.2443187, 7.5257419 51.2443695, 7.5252853 51.2445009, 7.524957 51.244633, 7.5246523 51.2448235)",,,
