osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,area,bridge,width
"[24188737, 971601210, 1215513979]","['2', '3']",St 2125,Straubinger Straße,secondary,50,False,False,200.361,"LINESTRING (12.4064291 48.9987372, 12.4062886 48.9987326, 12.4061133 48.9987408, 12.4059913 48.9987487, 12.405892 48.9987516, 12.4058052 48.9987558, 12.4055696 48.9987646, 12.4052198 48.9987779, 12.4046823 48.998815, 12.4043873 48.9988353, 12.4042982 48.9988372, 12.4036902 48.9988523)",,,
"[1215513976, 1215513977, 34689810]",2,St 2146,Altdorfer Straße,secondary,50,False,True,229.46800000000005,"LINESTRING (12.4064291 48.9987372, 12.4064459 48.9987773, 12.4064665 48.9988827, 12.4065082 48.9989866, 12.4065606 48.9991171, 12.406614 48.9992007, 12.4067015 48.9992891, 12.4069036 48.9994768, 12.4069547 48.9995304, 12.4070329 48.9996199, 12.4071199 48.999756, 12.4071985 48.9999176, 12.4073575 49.000413, 12.4074333 49.0006165, 12.4074322 49.0006647)",,,
"[1215513978, 25809027]","['2', '3']",St 2125,Straubinger Straße,secondary,,False,True,117.539,"LINESTRING (12.4064291 48.9987372, 12.4065638 48.9986668, 12.40664 48.9986134, 12.4066878 48.9985799, 12.4068274 48.9984594, 12.406987 48.9982935, 12.4071791 48.9980547, 12.4073243 48.9978704)",,,
33387316,,,Petersplatz,residential,,False,False,80.542,"LINESTRING (12.4069944 49.000981, 12.4067725 49.0008602, 12.4066119 49.0008199, 12.4063582 49.0008131, 12.4061747 49.0007588, 12.4060252 49.0006834)",no,,
114933431,2,St 2146,Bayerwaldstraße,secondary,50,False,True,81.13900000000001,"LINESTRING (12.4069944 49.000981, 12.4068697 49.0010839, 12.4067964 49.0011814, 12.4067547 49.0012492, 12.4067288 49.0013436, 12.4067191 49.0014284, 12.4067301 49.0015322, 12.4067721 49.0016607)",,,
"[919792339, 246910716, 246910719]",2,St 2146,Bayerwaldstraße,secondary,50,False,False,48.272999999999996,"LINESTRING (12.4069944 49.000981, 12.4072866 49.0008163, 12.4073361 49.0007796, 12.4074053 49.000716, 12.4074322 49.0006647)",,yes,
1079847595,2,St 2125,Straubinger Straße,secondary,,False,False,87.36599999999999,"LINESTRING (12.4072541 48.9971081, 12.4074129 48.9974861, 12.4074191 48.9975337, 12.4074257 48.997584, 12.4074159 48.9976673, 12.4073383 48.9978394, 12.4073243 48.9978704)",,,
1079847596,,,Auweg,residential,50,False,False,43.306,"LINESTRING (12.4072541 48.9971081, 12.4071376 48.9971298, 12.4069387 48.9968486)",,,
24763568,,,Gschwelltalstraße,residential,,False,False,46.927,"LINESTRING (12.4062392 49.0037284, 12.4064315 49.0038, 12.4066633 49.0040315)",,,
"[34689853, 1215513974]","['2', '3']",St 2146,Bayerwaldstraße,secondary,,False,True,216.83800000000002,"LINESTRING (12.4062392 49.0037284, 12.4061686 49.0038219, 12.4060997 49.0039037, 12.40599 49.004008, 12.405886 49.0040823, 12.4056784 49.0042308, 12.4055293 49.0043551, 12.405417 49.0044746, 12.4051048 49.0048511, 12.4048928 49.0051405, 12.4047442 49.0053976)",,,
"[1095457524, 1215513975]",2,St 2146,Bayerwaldstraße,secondary,,False,False,202.232,"LINESTRING (12.4062392 49.0037284, 12.4064934 49.0032084, 12.4066025 49.0029853, 12.406641 49.0028841, 12.4066865 49.0027784, 12.406707 49.0027382, 12.406745 49.0026155, 12.4069355 49.0022465, 12.4069659 49.0021708, 12.4069841 49.0021095, 12.4069829 49.0020466, 12.4069661 49.0019842)",,,
24647106,,R 7,Hochbergstraße,tertiary,,False,False,38.7,"LINESTRING (12.4074322 49.0006647, 12.4077318 49.0006654, 12.4078392 49.0006579, 12.4079591 49.0006402)",,,
"[919792339, 246910716, 246910719]",2,St 2146,Bayerwaldstraße,secondary,50,False,True,48.273,"LINESTRING (12.4074322 49.0006647, 12.4074053 49.000716, 12.4073361 49.0007796, 12.4072866 49.0008163, 12.4069944 49.000981)",,yes,
"[1215513976, 1215513977, 34689810]",2,St 2146,Altdorfer Straße,secondary,50,False,False,229.468,"LINESTRING (12.4074322 49.0006647, 12.4074333 49.0006165, 12.4073575 49.000413, 12.4071985 48.9999176, 12.4071199 48.999756, 12.4070329 48.9996199, 12.4069547 48.9995304, 12.4069036 48.9994768, 12.4067015 48.9992891, 12.406614 48.9992007, 12.4065606 48.9991171, 12.4065082 48.9989866, 12.4064665 48.9988827, 12.4064459 48.9987773, 12.4064291 48.9987372)",,,
24188737,,St 2125,Straubinger Straße,secondary,50,False,False,111.245,"LINESTRING (12.4036902 48.9988523, 12.403658 48.9988552, 12.4034589 48.9988716, 12.4032799 48.9988931, 12.4030936 48.9989214, 12.4028276 48.9989683, 12.4024902 48.9990412, 12.4022178 48.9991023)",,,
"[24188737, 971601210, 1215513979]","['2', '3']",St 2125,Straubinger Straße,secondary,50,False,True,200.36100000000002,"LINESTRING (12.4036902 48.9988523, 12.4042982 48.9988372, 12.4043873 48.9988353, 12.4046823 48.998815, 12.4052198 48.9987779, 12.4055696 48.9987646, 12.4058052 48.9987558, 12.405892 48.9987516, 12.4059913 48.9987487, 12.4061133 48.9987408, 12.4062886 48.9987326, 12.4064291 48.9987372)",,,
1079847599,,,Kapellenweg,residential,,False,False,58.263000000000005,"LINESTRING (12.4036902 48.9988523, 12.4036856 48.9988028, 12.4034527 48.9983537)",,,
1079847600,,,Kirchplatz,residential,,False,True,17.047,"LINESTRING (12.4006309 49.0001119, 12.4004018 49.0000817)",,,
24188737,,St 2125,Straubinger Straße,secondary,50,False,True,66.35700000000001,"LINESTRING (12.4006309 49.0001119, 12.4006794 48.9999555, 12.4007218 48.9998367, 12.4007821 48.9997271, 12.4009072 48.9995603, 12.4009155 48.9995488)",,,
"[24188739, 24188748]",2,St 2125,Rathausplatz,secondary,50,False,False,62.422000000000004,"LINESTRING (12.4006309 49.0001119, 12.4006268 49.0001682, 12.4006547 49.0003737, 12.4006528 49.0004245, 12.4005822 49.0005627, 12.4005543 49.0005972, 12.4004659 49.000622)",,,
589744987,,St 2125,Marktplatz,secondary,50,False,True,12.927,"LINESTRING (12.4003012 49.0006649, 12.4004659 49.000622)",,,
"[589744987, 1084024188, 24188742]",,St 2125,"['Regensburger Straße', 'Marktplatz']",secondary,50,False,False,69.38499999999999,"LINESTRING (12.4003012 49.0006649, 12.4000948 49.0007185, 12.399784 49.0007992, 12.399742 49.0007902, 12.3996975 49.0007714, 12.3995765 49.000681, 12.3995033 49.0006233)",,,
"[589744987, 1084024188, 24188742]",,St 2125,"['Regensburger Straße', 'Marktplatz']",secondary,50,False,True,69.385,"LINESTRING (12.3995033 49.0006233, 12.3995765 49.000681, 12.3996975 49.0007714, 12.399742 49.0007902, 12.399784 49.0007992, 12.4000948 49.0007185, 12.4003012 49.0006649)",,,
313726734,,,Zur Lerchenhaube,residential,,False,True,50.89000000000001,"LINESTRING (12.3995033 49.0006233, 12.3991103 49.0008605, 12.3990457 49.0008834, 12.3989625 49.0009062)",,,
"[919792336, 971601209, 971601208, 1215513980]","['2', '3']",St 2125,Regensburger Straße,secondary,50,False,False,185.887,"LINESTRING (12.3995033 49.0006233, 12.399418 49.000547, 12.3992654 49.0004088, 12.3992403 49.0003765, 12.3990723 49.0001605, 12.3990115 49.0000964, 12.3988986 48.9999877, 12.3987751 48.9998791, 12.3985858 48.9997267, 12.3984173 48.9996121, 12.3983073 48.9995459, 12.3981878 48.9994894, 12.3980927 48.9994611, 12.3979609 48.9994259, 12.397851 48.999415)",,,
1079847600,,,Kirchplatz,residential,,False,False,17.047,"LINESTRING (12.4004018 49.0000817, 12.4006309 49.0001119)",,,
222325963,,,Kirchplatz,residential,,False,True,32.357,"LINESTRING (12.4004018 49.0000817, 12.4001799 49.000147, 12.4000417 49.0001923, 12.4000465 49.0002036, 12.4000574 49.0002205)",,,
"[1079847601, 176386124]",1,,Leoheimweg,residential,,False,True,88.607,"LINESTRING (12.4004018 49.0000817, 12.4003683 48.9999239, 12.4004473 48.9997123, 12.4004968 48.9996443, 12.4005804 48.9995911, 12.4007506 48.9994952, 12.4009155 48.9995488)",,,3
589744987,,St 2125,Marktplatz,secondary,50,False,False,12.927,"LINESTRING (12.4004659 49.000622, 12.4003012 49.0006649)",,,
"[24188739, 24188748]",2,St 2125,Rathausplatz,secondary,50,False,True,62.422000000000004,"LINESTRING (12.4004659 49.000622, 12.4005543 49.0005972, 12.4005822 49.0005627, 12.4006528 49.0004245, 12.4006547 49.0003737, 12.4006268 49.0001682, 12.4006309 49.0001119)",,,
24763564,,,Ludwigstraße,living_street,,False,False,146.48700000000002,"LINESTRING (12.4004659 49.000622, 12.4007596 49.0011723, 12.400901 49.0014215, 12.400928 49.001471, 12.4010163 49.0016288, 12.4011451 49.0018617)",,,
"[24763564, 24763580]",,,"['Taxisstraße', 'Ludwigstraße']","['living_street', 'tertiary']",,False,True,454.436,"LINESTRING (12.4067721 49.0016607, 12.4064008 49.0016832, 12.4052065 49.0016775, 12.4045801 49.00167, 12.4042726 49.0016784, 12.4040497 49.0016994, 12.4037331 49.0017571, 12.4034207 49.0018259, 12.4028249 49.0019782, 12.402603 49.0020279, 12.4024117 49.0020712, 12.402197 49.0021198, 12.4018643 49.0021979, 12.4014751 49.0022942, 12.4014184 49.0022915, 12.4013728 49.0022618, 12.4012008 49.0019587, 12.4011451 49.0018617)",,,
114933412,2,St 2146,Bayerwaldstraße,secondary,,False,True,38.691,"LINESTRING (12.4067721 49.0016607, 12.4068413 49.0017842, 12.4069341 49.0019198, 12.4069661 49.0019842)",,,
114933431,2,St 2146,Bayerwaldstraße,secondary,50,False,False,81.139,"LINESTRING (12.4067721 49.0016607, 12.4067301 49.0015322, 12.4067191 49.0014284, 12.4067288 49.0013436, 12.4067547 49.0012492, 12.4067964 49.0011814, 12.4068697 49.0010839, 12.4069944 49.000981)",,,
"[246910721, 1079847597, 24763567]",,,Hoher Rain,residential,,False,False,93.41699999999999,"LINESTRING (12.4069387 48.9968486, 12.4068998 48.9968595, 12.4068171 48.996881, 12.4067835 48.9968799, 12.4066479 48.9968318, 12.4064948 48.9967968, 12.4063659 48.9967881, 12.4062044 48.9967964, 12.406022 48.9968246, 12.4058855 48.9968582, 12.405722 48.9968983)",,yes,
1079847596,,,Auweg,residential,50,False,True,43.306,"LINESTRING (12.4069387 48.9968486, 12.4071376 48.9971298, 12.4072541 48.9971081)",,,
229624238,,,Donaustraße,residential,50,False,False,40.057,"LINESTRING (12.3975859 48.9991245, 12.3977699 48.9992212, 12.3978179 48.9992761, 12.3978461 48.9993295, 12.3978532 48.9993767, 12.397851 48.999415)",,,
"[1217190732, 1217597533]",,,Hoher Rain,residential,"['50', '30']",False,True,87.898,"LINESTRING (12.3975859 48.9991245, 12.3977313 48.9990223, 12.397952 48.9988673, 12.3980978 48.9987661, 12.3982462 48.9986602, 12.3984517 48.9985828)",,,
24763568,,,Gschwelltalstraße,residential,,False,False,4.826,"LINESTRING (12.4066633 49.0040315, 12.4067217 49.0040519)",,,
24763568,,,Gschwelltalstraße,residential,,False,True,46.927,"LINESTRING (12.4066633 49.0040315, 12.4064315 49.0038, 12.4062392 49.0037284)",,,
24917050,,,Osterbachstraße,residential,50,False,False,646.316,"LINESTRING (12.405722 48.9968983, 12.405668 48.9968568, 12.405509 48.9968359, 12.4049869 48.9967072, 12.4045963 48.9966661, 12.4043773 48.996659, 12.4035356 48.9966854, 12.4032456 48.9967156, 12.4029947 48.9967579, 12.4013538 48.9970557, 12.4012103 48.997092, 12.4011231 48.997137, 12.4008853 48.9972633, 12.4007761 48.9973062, 12.3993817 48.997729, 12.3988073 48.9979032, 12.3982298 48.9980774, 12.3984821 48.9984139, 12.3984968 48.9984473, 12.3985007 48.9984888, 12.3984857 48.9985391, 12.3984517 48.9985828)",,,
"[246910723, 1079847597]",,,Hoher Rain,residential,50,False,False,582.1270000000002,"LINESTRING (12.405722 48.9968983, 12.4053085 48.9969861, 12.4050327 48.9970195, 12.4045917 48.9970425, 12.4043945 48.9970538, 12.4035755 48.9971356, 12.4033779 48.9971659, 12.4033328 48.9971748, 12.4020377 48.9974319, 12.4014468 48.9975737, 12.4008728 48.9977274, 12.4005512 48.9978337, 12.400267 48.997937, 12.3999006 48.9980911, 12.3996281 48.9982332, 12.3991634 48.9985003, 12.3989807 48.9985942, 12.3988857 48.9986296, 12.3988082 48.9986552, 12.3986907 48.9986826, 12.3986137 48.9986831, 12.3985607 48.998668, 12.3984517 48.9985828)",,,
"[246910721, 1079847597, 24763567]",,,Hoher Rain,residential,,False,True,93.41699999999997,"LINESTRING (12.405722 48.9968983, 12.4058855 48.9968582, 12.406022 48.9968246, 12.4062044 48.9967964, 12.4063659 48.9967881, 12.4064948 48.9967968, 12.4066479 48.9968318, 12.4067835 48.9968799, 12.4068171 48.996881, 12.4068998 48.9968595, 12.4069387 48.9968486)",,yes,
115248910,,,Zur Lerchenhaube,residential,,False,False,26.322,"LINESTRING (12.3989625 49.0009062, 12.3987839 49.0009334, 12.3986163 49.0009717)",,,
117334351,,,Lerchenhaube,residential,,False,True,120.64000000000001,"LINESTRING (12.3989625 49.0009062, 12.3989649 49.0009575, 12.3989846 49.0010032, 12.3990453 49.0010696, 12.3991178 49.0011091, 12.3992387 49.0011634, 12.3993223 49.0012212, 12.3993933 49.0012859, 12.3994782 49.0013987, 12.3995265 49.0014981, 12.3995556 49.0016125, 12.3995462 49.0017091, 12.3995228 49.0017805, 12.3994902 49.0018528)",,,
313726734,,,Zur Lerchenhaube,residential,,False,False,50.89,"LINESTRING (12.3989625 49.0009062, 12.3990457 49.0008834, 12.3991103 49.0008605, 12.3995033 49.0006233)",,,
227035926,,,Arberstraße,residential,,False,True,39.842,"LINESTRING (12.4047442 49.0053976, 12.4042271 49.0052822)",,,
"[34689853, 1215513974]","['2', '3']",St 2146,Bayerwaldstraße,secondary,,False,False,216.83800000000002,"LINESTRING (12.4047442 49.0053976, 12.4048928 49.0051405, 12.4051048 49.0048511, 12.405417 49.0044746, 12.4055293 49.0043551, 12.4056784 49.0042308, 12.405886 49.0040823, 12.40599 49.004008, 12.4060997 49.0039037, 12.4061686 49.0038219, 12.4062392 49.0037284)",,,
227035926,,,Arberstraße,residential,,False,False,39.842,"LINESTRING (12.4042271 49.0052822, 12.4047442 49.0053976)",,,
227035926,,,Arberstraße,residential,,False,True,100.59,"LINESTRING (12.4042271 49.0052822, 12.4043328 49.0050886, 12.4045209 49.0047502, 12.4046248 49.0045927, 12.404747 49.004446)",,,
24763568,,,Gschwelltalstraße,residential,,False,True,4.826,"LINESTRING (12.4067217 49.0040519, 12.4066633 49.0040315)",,,
30106861,,,,residential,,False,False,42.437,"LINESTRING (12.4067217 49.0040519, 12.4068082 49.0044293)",,,
30106861,,,,residential,,False,True,42.437,"LINESTRING (12.4068082 49.0044293, 12.4067217 49.0040519)",,,
835700705,,,Hochstraße,residential,,False,False,70.381,"LINESTRING (12.4068082 49.0044293, 12.4072261 49.0044582, 12.4073934 49.0044848, 12.4075318 49.0045267, 12.4076306 49.0045772, 12.4076946 49.0046231)",,,
