osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,tunnel
"[535322385, 38332818]",False,2,Maximilianstraße,residential,50,True,85.598,"LINESTRING (11.5812827 48.1388673, 11.5807254 48.1389731, 11.580174 48.1390799)",,
30750673,False,2,Tal,residential,30,True,175.71099999999998,"LINESTRING (11.5813515 48.1353841, 11.5812906 48.1354048, 11.5805311 48.1356626, 11.5802018 48.1357747, 11.5798036 48.1358817, 11.5795863 48.1359404, 11.5795167 48.1359581, 11.5794506 48.1359747, 11.5791971 48.1360346)",6.7,
32209559,True,1,Tal,residential,30,False,38.275999999999996,"LINESTRING (11.5813515 48.1353841, 11.5813913 48.1353144, 11.581442 48.1352002, 11.581484 48.1350523)",,
143451087,False,1,Pflugstraße,residential,30,False,82.08600000000001,"LINESTRING (11.5813515 48.1353841, 11.5813929 48.1354602, 11.5813982 48.1354699, 11.5815218 48.1356972, 11.5815947 48.1360046, 11.5816703 48.1360838)",,
"[30804563, 31987941]",False,2,Oberanger,residential,50,False,98.94399999999999,"LINESTRING (11.5689929 48.1337772, 11.5690912 48.1337856, 11.5692441 48.1338068, 11.5693205 48.1338203, 11.5694009 48.1338345, 11.5695097 48.1338605, 11.5695389 48.1338675, 11.5696268 48.1338898, 11.5698519 48.133967, 11.5699391 48.1340014, 11.570043 48.1340459, 11.5701426 48.1340949, 11.5702018 48.1341241)",,
3926687,False,,Klosterhofstraße,residential,30,True,87.61900000000001,"LINESTRING (11.5702018 48.1341241, 11.5702989 48.1340722, 11.5704152 48.13401, 11.5706727 48.133876, 11.5711308 48.1337659, 11.5712108 48.1337332)",,
"[30804563, 31987941]",False,2,Oberanger,residential,50,True,98.94399999999999,"LINESTRING (11.5702018 48.1341241, 11.5701426 48.1340949, 11.570043 48.1340459, 11.5699391 48.1340014, 11.5698519 48.133967, 11.5696268 48.1338898, 11.5695389 48.1338675, 11.5695097 48.1338605, 11.5694009 48.1338345, 11.5693205 48.1338203, 11.5692441 48.1338068, 11.5690912 48.1337856, 11.5689929 48.1337772)",,
163316371,False,2,Oberanger,residential,50,False,156.20100000000002,"LINESTRING (11.5702018 48.1341241, 11.5702771 48.1341722, 11.5704553 48.1343212, 11.5706648 48.1344906, 11.5709555 48.134725, 11.5710111 48.134764, 11.5710909 48.1348201, 11.5711423 48.1348525, 11.5712617 48.1349265, 11.5713853 48.1349994, 11.57152 48.1350661, 11.5716559 48.1351309)",,
3810667,False,,Am Einlaß,residential,50,False,85.37500000000001,"LINESTRING (11.5743952 48.1339949, 11.5744754 48.1339381, 11.5746381 48.133823, 11.5748728 48.1334483, 11.5748968 48.1334099, 11.5749052 48.1333652, 11.5749075 48.13334, 11.5749072 48.1333265)",,
144061668,False,2,Blumenstraße,secondary,30,False,62.179,"LINESTRING (11.5743952 48.1339949, 11.5746523 48.1341638, 11.5747963 48.1342564, 11.5748103 48.1342655, 11.5749958 48.1343848)",,
"[33131466, 365018746]",False,"['4', '2']",Blumenstraße,secondary,50,True,85.61200000000001,"LINESTRING (11.5743952 48.1339949, 11.5740557 48.1337873, 11.5737494 48.133591, 11.5736905 48.1335543, 11.573553 48.1334688)",,
23457633,False,,Sankt-Jakobs-Platz,residential,30,False,46.208,"LINESTRING (11.5727503 48.1340357, 11.5727937 48.1340025, 11.5728404 48.1339593, 11.5730534 48.1338001, 11.5731798 48.1337379)",,
3812411,True,,Klenzestraße,residential,30,False,117.613,"LINESTRING (11.5787943 48.1333855, 11.5777106 48.132752, 11.5776021 48.1326886)",5.3,
