osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,access,junction
4619735,Ziegelbergweg,unclassified,False,False,228.57399999999996,"LINESTRING (10.4026434 53.6132735, 10.4024165 53.6131932, 10.4019531 53.6130426, 10.4018971 53.6130123, 10.401827 53.6129743, 10.401675 53.612892, 10.4014433 53.6126371, 10.4012 53.6123011, 10.4009563 53.6120664, 10.4006438 53.6119451, 10.4003807 53.6118878, 10.4003149 53.6118691)",,,,,
154843905,Kirchenstraße,secondary,False,True,138.09799999999998,"LINESTRING (10.4026434 53.6132735, 10.4027255 53.6131517, 10.4029173 53.6129939, 10.4031231 53.6128564, 10.4036215 53.6125104, 10.4037265 53.6124038, 10.4037973 53.6122559)",L 93,30,,,
159170744,Bahnhofstraße,secondary,False,False,65.96600000000001,"LINESTRING (10.4026434 53.6132735, 10.4026007 53.6134398, 10.4026329 53.6138644)",L 93,30,,,
320262548,Rausdorfer Straße,tertiary,False,False,9.119,"LINESTRING (10.4063344 53.6077284, 10.4062907 53.6076506)",L 160,,,,
24164255,Campestraße,residential,False,True,143.749,"LINESTRING (10.4063344 53.6077284, 10.4067876 53.6075691, 10.4073383 53.6074332, 10.4076671 53.607399, 10.407784 53.6073869, 10.4079692 53.6073869, 10.4080866 53.607435, 10.408206 53.6075822)",,30,,,
320262548,Rausdorfer Straße,tertiary,False,True,206.63099999999997,"LINESTRING (10.4063344 53.6077284, 10.4067226 53.6083423, 10.4068319 53.6085151, 10.4068787 53.6085892, 10.4069004 53.6086235, 10.4069963 53.6087998, 10.4070096 53.6088243, 10.4070951 53.6090285, 10.4071415 53.609257, 10.4071685 53.6094568, 10.4072059 53.6095019)",L 160,,,,
159170749,Bahnhofstraße,secondary,False,False,194.276,"LINESTRING (10.4026847 53.6156113, 10.4026736 53.6152611, 10.4026674 53.615021, 10.4026608 53.6148002, 10.4026488 53.6143958, 10.4026447 53.6142594, 10.4026437 53.6142248, 10.4026329 53.6138644)",L 93,30,,,
"[781605568, 159170772, 625792303]",Großenseer Straße,secondary,False,False,349.219,"LINESTRING (10.4026847 53.6156113, 10.4023442 53.6156161, 10.402038 53.6156087, 10.4018659 53.615602, 10.400527 53.6155298, 10.4002255 53.6155176, 10.4001203 53.6155129, 10.3994997 53.6154878, 10.3993641 53.6154812, 10.3980726 53.6154187, 10.3978382 53.6154094, 10.3974077 53.6153773)",L 93,50,,,
"[25713677, 4619735]",Ziegelbergweg,unclassified,False,True,187.264,"LINESTRING (10.3978403 53.6110499, 10.3982342 53.6112121, 10.3984096 53.611275, 10.3990104 53.6114902, 10.3998793 53.611745, 10.4003149 53.6118691)",,,,,
"[658250801, 658250803]",Furtbektal,living_street,False,False,159.326,"LINESTRING (10.3978403 53.6110499, 10.3978921 53.6110019, 10.3982868 53.6105963, 10.3983806 53.61057, 10.3995413 53.6110614)",,,2,yes,
4325268,Alter Markt,living_street,False,True,208.76899999999998,"LINESTRING (10.4002366 53.6146367, 10.4008196 53.6146552, 10.4012348 53.6146701, 10.4013757 53.6146849, 10.4015161 53.6144684, 10.4016901 53.6141774, 10.4018527 53.6140636, 10.4022142 53.6139328, 10.4024804 53.6138793, 10.4026329 53.6138644)",,,,,
320262548,Rausdorfer Straße,tertiary,False,True,9.119,"LINESTRING (10.4062907 53.6076506, 10.4063344 53.6077284)",L 160,,,,
25728473,Hauskoppelberg,residential,False,False,80.09100000000001,"LINESTRING (10.4062907 53.6076506, 10.4061019 53.6077168, 10.4052306 53.6080015)",,30,,,
8149786,Thießenweg,residential,False,True,34.146,"LINESTRING (10.404074 53.6083824, 10.4043358 53.6086473)",,,,,
25728473,Hauskoppelberg,residential,False,True,15.621,"LINESTRING (10.404074 53.6083824, 10.4042792 53.6083123)",,30,,,
8149786,Thießenweg,residential,False,False,67.545,"LINESTRING (10.404074 53.6083824, 10.4037621 53.6080739, 10.4035473 53.6078615)",,,,,
8149786,Thießenweg,residential,False,True,67.545,"LINESTRING (10.4035473 53.6078615, 10.4037621 53.6080739, 10.404074 53.6083824)",,,,,
4619723,Amtsweg,residential,False,False,99.10000000000001,"LINESTRING (10.408206 53.6075822, 10.4082241 53.6076095, 10.4083952 53.6078664, 10.4085467 53.6079885, 10.4087072 53.6081178, 10.4088883 53.6082638, 10.4090358 53.6082928)",,30,,,
24164255,Campestraße,residential,False,False,143.749,"LINESTRING (10.408206 53.6075822, 10.4080866 53.607435, 10.4079692 53.6073869, 10.407784 53.6073869, 10.4076671 53.607399, 10.4073383 53.6074332, 10.4067876 53.6075691, 10.4063344 53.6077284)",,30,,,
4619723,Amtsweg,residential,False,True,99.10000000000001,"LINESTRING (10.4090358 53.6082928, 10.4088883 53.6082638, 10.4087072 53.6081178, 10.4085467 53.6079885, 10.4083952 53.6078664, 10.4082241 53.6076095, 10.408206 53.6075822)",,30,,,
11649771,Zur Mühlau,residential,False,False,228.88600000000002,"LINESTRING (10.4074214 53.6096619, 10.4076886 53.6098606, 10.4080166 53.6100387, 10.4083811 53.6101636, 10.4085214 53.6101926, 10.4085728 53.6102032, 10.4086045 53.6102085, 10.4088183 53.6102223, 10.4090506 53.610212, 10.4093196 53.6101693, 10.4095503 53.610067, 10.4093586 53.6099171, 10.4093703 53.6098569, 10.4097088 53.6096339)",,50,,,
1234912825,,secondary,True,False,17.62,"LINESTRING (10.4074214 53.6096619, 10.4073851 53.609677, 10.4073436 53.6096862, 10.4072993 53.6096888, 10.4072553 53.6096846, 10.4072144 53.6096739, 10.4071796 53.6096573)",,50,,,roundabout
320262548,Rausdorfer Straße,tertiary,False,False,206.63100000000003,"LINESTRING (10.4072059 53.6095019, 10.4071685 53.6094568, 10.4071415 53.609257, 10.4070951 53.6090285, 10.4070096 53.6088243, 10.4069963 53.6087998, 10.4069004 53.6086235, 10.4068787 53.6085892, 10.4068319 53.6085151, 10.4067226 53.6083423, 10.4063344 53.6077284)",L 160,,,,
1234912823,,secondary,True,False,17.999,"LINESTRING (10.4072059 53.6095019, 10.4072551 53.6094879, 10.4073092 53.6094837, 10.4073629 53.6094896, 10.4074107 53.6095053, 10.4074479 53.6095289)",,50,,,roundabout
4619732,Gadebuscher Straße,tertiary,False,False,137.68000000000004,"LINESTRING (10.4023561 53.6077391, 10.4021372 53.6078068, 10.401779 53.6078609, 10.4013734 53.6078947, 10.4009408 53.6079082, 10.4005317 53.6079259, 10.4003148 53.6079353)",,,,,
162614790,Hauskoppelberg,residential,False,False,33.153999999999996,"LINESTRING (10.4023561 53.6077391, 10.4024066 53.6077898, 10.4024919 53.6078819, 10.4025724 53.6080073)",,30,,,
4619732,Gadebuscher Straße,tertiary,False,False,107.239,"LINESTRING (10.4003148 53.6079353, 10.399951 53.6079618, 10.3999129 53.6079658, 10.3995646 53.6080028, 10.3991436 53.6080637, 10.3987303 53.6081405)",,,,,
4619732,Gadebuscher Straße,tertiary,False,True,137.68,"LINESTRING (10.4003148 53.6079353, 10.4005317 53.6079259, 10.4009408 53.6079082, 10.4013734 53.6078947, 10.401779 53.6078609, 10.4021372 53.6078068, 10.4023561 53.6077391)",,,,,
25721357,Rodelberg,living_street,False,False,154.07,"LINESTRING (10.4003148 53.6079353, 10.4003271 53.6079894, 10.4003694 53.6082513, 10.4003581 53.6083327, 10.4002801 53.6084198, 10.4002069 53.6084715, 10.399962 53.6085469, 10.3997963 53.6085296, 10.3996162 53.6085412, 10.3994008 53.6085909, 10.3992714 53.6086012, 10.3991531 53.608597, 10.3990382 53.6085729, 10.3989367 53.6085035)",,,,,
162614792,Helmut-Ahrens-Straße,residential,False,False,44.013999999999996,"LINESTRING (10.4003148 53.6079353, 10.4002967 53.6078475, 10.4002339 53.6075424)",,30,,,
4619732,Gadebuscher Straße,tertiary,False,True,107.23899999999999,"LINESTRING (10.3987303 53.6081405, 10.3991436 53.6080637, 10.3995646 53.6080028, 10.3999129 53.6079658, 10.399951 53.6079618, 10.4003148 53.6079353)",,,,,
25721358,Peter-Fechter-Straße,residential,False,False,45.559,"LINESTRING (10.3987303 53.6081405, 10.3986867 53.6080653, 10.3985055 53.6077531)",,,,,
11649771,Zur Mühlau,residential,False,True,228.88599999999997,"LINESTRING (10.4097088 53.6096339, 10.4093703 53.6098569, 10.4093586 53.6099171, 10.4095503 53.610067, 10.4093196 53.6101693, 10.4090506 53.610212, 10.4088183 53.6102223, 10.4086045 53.6102085, 10.4085728 53.6102032, 10.4085214 53.6101926, 10.4083811 53.6101636, 10.4080166 53.6100387, 10.4076886 53.6098606, 10.4074214 53.6096619)",,50,,,
8149786,Thießenweg,residential,False,False,34.146,"LINESTRING (10.4043358 53.6086473, 10.404074 53.6083824)",,,,,
231226556,Hauskoppelberg,residential,False,False,50.758,"LINESTRING (10.4043358 53.6086473, 10.4045473 53.6085866, 10.4042792 53.6083123)",,30,,,
