osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,width,ref,bridge,junction,tunnel
33336821,2,Möhnestraße,residential,50,False,True,69.568,"LINESTRING (7.9625487 51.4527365, 7.9630689 51.4531756, 7.9631455 51.4532396)",,,,,,
157689724,1,Apothekerstraße,residential,20,True,False,169.825,"LINESTRING (7.9625487 51.4527365, 7.9641638 51.4520265, 7.9645502 51.4518551)",,,,,,
172903410,,Neheimer Markt,living_street,,True,False,66.503,"LINESTRING (7.9625487 51.4527365, 7.9621365 51.4529391, 7.9617753 51.4530899)",,,,,,
176322704,,Neheimer Markt,living_street,,True,False,71.372,"LINESTRING (7.9617753 51.4530899, 7.9623253 51.4536326)",,,,,,
33911943,1,Neheimer Markt,living_street,,False,True,19.212,"LINESTRING (7.9617753 51.4530899, 7.9617205 51.4531121, 7.961545 51.4531861)",yes,,,,,
72561219,1,Apothekerstraße,residential,20,True,False,168.73,"LINESTRING (7.9645502 51.4518551, 7.9665339 51.4509751)",,,,,,
157689753,2,Karlstraße,residential,30,False,False,102.226,"LINESTRING (7.9645502 51.4518551, 7.9647106 51.4520054, 7.9647599 51.4520188, 7.9648211 51.4520207, 7.9658101 51.4520242, 7.9658842 51.4520454)",,6,,,,
223174453,2,Schwester-Aicharda-Straße,residential,30,False,False,88.387,"LINESTRING (7.9673501 51.450619, 7.9667042 51.4500383, 7.9666226 51.4499661)",,,,,,
223174453,2,Schwester-Aicharda-Straße,residential,30,False,True,70.489,"LINESTRING (7.9673501 51.450619, 7.9678616 51.4510836, 7.9679305 51.4511395)",,,,,,
33336820,2,Schobbostraße,residential,50,False,True,64.719,"LINESTRING (7.9623253 51.4536326, 7.9630092 51.4533687, 7.9631184 51.4533252)",,,,,,
"[714770229, 33361191]","['2', '3']",Schobbostraße,residential,50,False,False,72.107,"LINESTRING (7.9623253 51.4536326, 7.9622423 51.4536623, 7.9621743 51.4536869, 7.9614201 51.4539525)",,,,,,
1100778250,2,Möhnestraße,residential,30,False,True,12.732,"LINESTRING (7.9674975 51.4544357, 7.967671 51.4544734)",,,,,,
157689765,2,Schwester-Aicharda-Straße,residential,30,False,False,64.128,"LINESTRING (7.9674975 51.4544357, 7.9675508 51.4543421, 7.9676351 51.4538676)",,,,,,
1100778250,2,Möhnestraße,residential,30,False,False,133.24599999999998,"LINESTRING (7.9674975 51.4544357, 7.9667991 51.4542835, 7.9666485 51.4542467, 7.9660778 51.4541261, 7.9659635 51.4541005, 7.9656837 51.4540379)",,,,,,
223174452,2,Schwester-Aicharda-Straße,residential,30,False,True,4.894,"LINESTRING (7.9679449 51.452173, 7.967938 51.4522168)",,,,,,
223174453,2,Schwester-Aicharda-Straße,residential,30,False,False,116.63199999999999,"LINESTRING (7.9679449 51.452173, 7.9679497 51.452115, 7.9680204 51.4512624, 7.9679916 51.4511948, 7.9679305 51.4511395)",,,,,,
