osmid,ref,name,highway,oneway,reversed,length,width,geometry,lanes,maxspeed
"[198837289, 5344547, 774763667]",K 7130,Grumbacher Straße,tertiary,False,False,197.807,6.4,"LINESTRING (13.0903656 50.515777, 13.0903948 50.5156847, 13.0904551 50.5153856, 13.09046 50.5150625, 13.0904384 50.5149129, 13.090335 50.5147735, 13.0901379 50.5146481, 13.0899094 50.5145139, 13.089736 50.5143624, 13.0896251 50.5142662, 13.0895563 50.5142065)",,
5344547,K 7130,Grumbacher Straße,tertiary,False,True,201.459,,"LINESTRING (13.0903656 50.515777, 13.0906786 50.5169789, 13.090802 50.5172537, 13.090917 50.5175526)",,
30194469,,Siedlung,residential,False,False,192.98999999999998,,"LINESTRING (13.0903656 50.515777, 13.0903142 50.5158315, 13.0901885 50.515965, 13.0899481 50.5162201, 13.0896578 50.5165419, 13.0894753 50.516768, 13.0893142 50.5170093, 13.0891664 50.5171609, 13.0889944 50.5172685)",,
198837291,S 265,Markt,secondary,False,False,55.791,,"LINESTRING (13.0895563 50.5142065, 13.0895837 50.5141938, 13.0896165 50.5141785, 13.0897412 50.5141211, 13.0898515 50.5140704, 13.0899791 50.5140224, 13.0902167 50.5139329)",2,50
238985162,S 265,Markt,secondary,False,True,50.135000000000005,6,"LINESTRING (13.0895563 50.5142065, 13.0893432 50.514296, 13.0893008 50.5143272, 13.0892403 50.5143717, 13.089178 50.514463, 13.0891572 50.5145509)",,50
"[5344547, 198837289, 774763667]",K 7130,Grumbacher Straße,tertiary,False,True,197.80700000000002,6.4,"LINESTRING (13.0895563 50.5142065, 13.0896251 50.5142662, 13.089736 50.5143624, 13.0899094 50.5145139, 13.0901379 50.5146481, 13.090335 50.5147735, 13.0904384 50.5149129, 13.09046 50.5150625, 13.0904551 50.5153856, 13.0903948 50.5156847, 13.0903656 50.515777)",,
39313569,,Gemeindegasse,residential,False,False,59.555,,"LINESTRING (13.0878994 50.5140517, 13.0886649 50.5138283)",,
"[191049272, 37611448, 191049271]",K 7130,Bärensteiner Straße,tertiary,False,True,117.127,,"LINESTRING (13.0878994 50.5140517, 13.0880594 50.5142196, 13.0882168 50.514368, 13.0884597 50.5144842, 13.0885479 50.5145273, 13.0886773 50.5145829, 13.088777 50.5146012, 13.0888715 50.5145993, 13.0890143 50.5145829, 13.0890837 50.5145674, 13.0891572 50.5145509)",,"['50', '100']"
286154652,S 265,Kirchstraße,secondary,False,False,18.35,,"LINESTRING (13.0941777 50.5116846, 13.093963 50.5117773)",,50
23984813,,Äußere Bahnhofstraße,residential,False,False,168.605,,"LINESTRING (13.0941777 50.5116846, 13.0939597 50.5113838, 13.093886 50.5112615, 13.0937974 50.5111069, 13.0937162 50.5110096, 13.0936081 50.5109251, 13.0934189 50.5108772, 13.0932128 50.5108483, 13.0929026 50.5108324, 13.092702 50.5108081, 13.0925965 50.5107664)",,50
174647530,S 265,Kirchstraße,secondary,False,True,120.583,,"LINESTRING (13.0941777 50.5116846, 13.0944482 50.511601, 13.0952125 50.5113708, 13.095323 50.5113401, 13.0956083 50.5112645, 13.0957349 50.5112482)",2,50
30194469,,Siedlung,residential,False,True,127.646,,"LINESTRING (13.0878073 50.5181334, 13.0889944 50.5172685)",,
5344547,K 7130,Grumbacher Straße,tertiary,False,False,201.459,,"LINESTRING (13.090917 50.5175526, 13.090802 50.5172537, 13.0906786 50.5169789, 13.0903656 50.515777)",,
30194469,,Siedlung,residential,False,False,127.646,,"LINESTRING (13.0889944 50.5172685, 13.0878073 50.5181334)",,
30194469,,Siedlung,residential,False,True,192.99,,"LINESTRING (13.0889944 50.5172685, 13.0891664 50.5171609, 13.0893142 50.5170093, 13.0894753 50.516768, 13.0896578 50.5165419, 13.0899481 50.5162201, 13.0901885 50.515965, 13.0903142 50.5158315, 13.0903656 50.515777)",,
34724527,,Bergsiedlung,residential,False,False,148.968,,"LINESTRING (13.0889944 50.5172685, 13.0884299 50.5169841, 13.0880704 50.5167561, 13.0878764 50.5165937, 13.0874614 50.5163563)",,
"[45067816, 760191670, 39338951]",S 265,"['Markt', 'Kirchstraße']",secondary,False,False,364.059,,"LINESTRING (13.0902167 50.5139329, 13.090322 50.5138943, 13.0909624 50.5134198, 13.091081 50.5133405, 13.0921298 50.5130382, 13.0922946 50.5129661, 13.0926962 50.5127485, 13.0931051 50.5125021, 13.093192 50.5124426, 13.0932341 50.5124137, 13.0933934 50.512278, 13.0937688 50.5119259, 13.0938632 50.5118451, 13.093963 50.5117773)",2,50
"[47326421, 191050462]",,Pleiler Straße,residential,False,False,76.855,,"LINESTRING (13.0902167 50.5139329, 13.0900855 50.5137516, 13.0899345 50.5136031, 13.089483 50.5134741)",,50
198837291,S 265,Markt,secondary,False,True,55.791,,"LINESTRING (13.0902167 50.5139329, 13.0899791 50.5140224, 13.0898515 50.5140704, 13.0897412 50.5141211, 13.0896165 50.5141785, 13.0895837 50.5141938, 13.0895563 50.5142065)",2,50
39313569,,Gemeindegasse,residential,False,True,71.533,,"LINESTRING (13.089483 50.5134741, 13.0893244 50.5136056, 13.0890337 50.5137308, 13.089012 50.5137401, 13.0886649 50.5138283)",,
191050462,,Pleiler Straße,residential,False,False,55.929,,"LINESTRING (13.089483 50.5134741, 13.0892978 50.5134138, 13.0891217 50.5133333, 13.0889647 50.5132504, 13.0888667 50.5131684)",,50
"[47326421, 191050462]",,Pleiler Straße,residential,False,True,76.855,,"LINESTRING (13.089483 50.5134741, 13.0899345 50.5136031, 13.0900855 50.5137516, 13.0902167 50.5139329)",,50
