osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,width
"[152747117, 262670268, 262670269]",2,B 209,Lange Straße,primary,50,False,True,175.19099999999997,yes,"LINESTRING (9.378834 52.784951, 9.3791339 52.7851207, 9.3791753 52.7851376, 9.3792263 52.7851498, 9.3797729 52.7852165, 9.3800379 52.7852498, 9.3806487 52.7853174, 9.3810256 52.7853591, 9.3810799 52.7853651, 9.3812786 52.785387)",
283909824,2,L 200,Lange Straße,secondary,50,False,True,168.607,,"LINESTRING (9.378834 52.784951, 9.3786606 52.7850335, 9.3786088 52.7850582, 9.3784787 52.785042, 9.3773322 52.7848989, 9.3764341 52.7847868)",
296869441,2,B 209,Bahnhofstraße,primary,50,False,False,200.746,,"LINESTRING (9.378834 52.784951, 9.3778991 52.7844022, 9.3775643 52.7842047, 9.3769196 52.7838244, 9.376706 52.7836853)",
"[763238300, 172639428]",1,,Rodewalder Straße,residential,50,False,False,124.85000000000001,,"LINESTRING (9.376706 52.7836853, 9.3766713 52.7837106, 9.3766087 52.7837964, 9.3765673 52.7840315, 9.3764998 52.7844558, 9.376449 52.7847346, 9.3764341 52.7847868)",5
172639429,2,B 209,Rodewalder Straße,primary,50,False,False,14.681000000000001,,"LINESTRING (9.376706 52.7836853, 9.3766602 52.783624, 9.3766361 52.7835609)",
296869441,2,B 209,Bahnhofstraße,primary,50,False,True,200.746,,"LINESTRING (9.376706 52.7836853, 9.3769196 52.7838244, 9.3775643 52.7842047, 9.3778991 52.7844022, 9.378834 52.784951)",
948452077,,,Wohlendorfer Kirchweg,residential,,False,False,85.153,,"LINESTRING (9.3758689 52.7870878, 9.3753297 52.7877807)",
24409689,,,Mittelhäußerstraße,residential,50,False,False,181.923,,"LINESTRING (9.3758689 52.7870878, 9.3738301 52.7870102, 9.373169 52.7869851)",
30064095,2,,Mittelhäußerstraße,residential,50,False,True,74.572,,"LINESTRING (9.3758689 52.7870878, 9.3759351 52.7870055, 9.3759763 52.7869232, 9.3760479 52.7866432, 9.376074 52.786434)",
24409737,,,Pommernweg,residential,50,False,False,74.854,,"LINESTRING (9.373169 52.7869851, 9.3720581 52.7869428)",
"[11818504, 11818502]",,,Berliner Straße,residential,50,False,False,251.12199999999999,,"LINESTRING (9.373169 52.7869851, 9.3732073 52.7868885, 9.3736003 52.7862779, 9.3760829 52.7863624)",
24409689,,,Mittelhäußerstraße,residential,50,False,True,181.923,,"LINESTRING (9.373169 52.7869851, 9.3738301 52.7870102, 9.3758689 52.7870878)",
30021657,2,,Mittelhäußerstraße,residential,50,False,False,177.371,,"LINESTRING (9.3764341 52.7847868, 9.3762996 52.7851245, 9.3761938 52.7857511, 9.3761512 52.7858141, 9.3760829 52.7863624)",
283909824,2,L 200,Lange Straße,secondary,50,False,False,168.607,,"LINESTRING (9.3764341 52.7847868, 9.3773322 52.7848989, 9.3784787 52.785042, 9.3786088 52.7850582, 9.3786606 52.7850335, 9.378834 52.784951)",
"[172639428, 763238300]",1,,Rodewalder Straße,residential,50,False,True,124.85,,"LINESTRING (9.3764341 52.7847868, 9.376449 52.7847346, 9.3764998 52.7844558, 9.3765673 52.7840315, 9.3766087 52.7837964, 9.3766713 52.7837106, 9.376706 52.7836853)",5
1177805252,2,L 200,Lange Straße,secondary,50,False,True,188.80700000000002,,"LINESTRING (9.3764341 52.7847868, 9.3755478 52.7846837, 9.3736471 52.7846072)",
24308007,1,L 157,Hainholzstraße,secondary,50,False,False,72.184,,"LINESTRING (9.3812786 52.785387, 9.3812996 52.7853177, 9.3813114 52.7852787, 9.3814096 52.7849547, 9.381427 52.7848638, 9.3814334 52.7847457)",
"[262670268, 152747117, 262670269]",2,B 209,Lange Straße,primary,50,False,False,175.191,yes,"LINESTRING (9.3812786 52.785387, 9.3810799 52.7853651, 9.3810256 52.7853591, 9.3806487 52.7853174, 9.3800379 52.7852498, 9.3797729 52.7852165, 9.3792263 52.7851498, 9.3791753 52.7851376, 9.3791339 52.7851207, 9.378834 52.784951)",
295876484,2,B 209,Lange Straße,primary,50,False,True,105.906,,"LINESTRING (9.3812786 52.785387, 9.3815276 52.7854099, 9.3815911 52.7854165, 9.3828313 52.7855458)",
948452080,2,,Mühlenstraße,residential,50,False,True,75.746,,"LINESTRING (9.3812786 52.785387, 9.3812602 52.7854526, 9.3812505 52.7854877, 9.3810932 52.7860589)",
11818503,2,,Mühlenstraße,residential,50,False,False,134.967,,"LINESTRING (9.376074 52.786434, 9.3780498 52.7866471)",
30021657,2,,Mittelhäußerstraße,residential,50,False,True,7.984,,"LINESTRING (9.376074 52.786434, 9.3760829 52.7863624)",
