osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,lanes,junction,tunnel,ref
357535600,Bahnhofstraße,tertiary,30,False,True,84.525,"LINESTRING (6.4472361 51.658584, 6.4481299 51.659104)",,,,,
"[27766058, 27747446]",Fildersteg,living_street,,False,True,84.679,"LINESTRING (6.4557633 51.6599767, 6.4556635 51.6599118, 6.4552734 51.6596721, 6.4548758 51.659451)",,,,,
40128647,Westwall,residential,30,False,False,33.655,"LINESTRING (6.4548758 51.659451, 6.4544889 51.6596354)",4,,,,
24049076,Fildersteg,residential,30,False,True,192.184,"LINESTRING (6.4548758 51.659451, 6.4548008 51.6594031, 6.4546665 51.6592777, 6.4545869 51.6591844, 6.4544771 51.6590446, 6.4544188 51.6589191, 6.4543558 51.6586789, 6.4543269 51.6585462, 6.4542392 51.6583722, 6.4537309 51.6579097)",,,,,
24419039,Westwall,residential,30,False,True,247.913,"LINESTRING (6.4548758 51.659451, 6.4555133 51.6591662, 6.4561204 51.6589424, 6.4569093 51.6586784, 6.4570576 51.6586689, 6.4572703 51.6586665, 6.4575761 51.6586942, 6.4577517 51.6587415, 6.4578158 51.6587588, 6.4580322 51.6588627)",5,,,,
"[27766058, 27747446]",Fildersteg,living_street,,False,False,84.679,"LINESTRING (6.4548758 51.659451, 6.4552734 51.6596721, 6.4556635 51.6599118, 6.4557633 51.6599767)",,,,,
5785815,Hochstraße,residential,30,True,False,77.711,"LINESTRING (6.4560857 51.6598279, 6.4568457 51.6603438)",,,,,
"[239938432, 27747445]",Marsstraße,living_street,,True,False,27.805,"LINESTRING (6.4560857 51.6598279, 6.4560008 51.6598566, 6.4557633 51.6599767)",,,,,
26950764,Hochstraße,residential,30,False,False,67.578,"LINESTRING (6.4568723 51.6603639, 6.4575338 51.6608122)",,,,,
24318947,Mühlenberg,residential,30,False,True,175.435,"LINESTRING (6.4568723 51.6603639, 6.4575123 51.6600157, 6.4579737 51.6597647, 6.4581231 51.6596834, 6.458785 51.659324)",,,,,
27747693,Hühnerstraße,residential,30,False,True,60.122,"LINESTRING (6.4549997 51.6614289, 6.455577 51.661834)",,,,,
5785830,Bahnhofstraße,residential,30,False,False,48.618,"LINESTRING (6.4522995 51.6615023, 6.4517788 51.6612076)",,,,,
26986580,Hagenbuschstraße,residential,30,False,False,59.042,"LINESTRING (6.4494453 51.6616953, 6.4498033 51.6617969, 6.4499333 51.6618351, 6.4502146 51.6619277)",,,,,
343440181,Siegfriedstraße,tertiary,50,False,False,140.80100000000002,"LINESTRING (6.4494453 51.6616953, 6.4498828 51.661268, 6.4499912 51.6611621, 6.450145 51.6610268, 6.4505366 51.6606579, 6.4505626 51.6606358)",,,,,
1164144880,Siegfriedstraße,tertiary,50,False,True,104.434,"LINESTRING (6.4494453 51.6616953, 6.4490458 51.6620848, 6.4485853 51.6624675)",,,,,
"[640607792, 23986386, 26950766, 26950767]","['Westwall', 'Nordwall']",residential,30,False,"[False, True]",229.669,"LINESTRING (6.4502146 51.6619277, 6.4496714 51.6622599, 6.4494924 51.6624232, 6.4494358 51.6625085, 6.4494597 51.6625663, 6.4494917 51.6626171, 6.4496223 51.6627085, 6.4497805 51.6628191, 6.4501043 51.6630968, 6.4501735 51.6631521, 6.4505706 51.6634693, 6.4506827 51.6635467)",,,,,
"[28884435, 26986580, 28884437, 28238727]","['Rheinstraße', 'Hagenbuschstraße']","['residential', 'living_street']",30,False,"[False, True]",185.71699999999998,"LINESTRING (6.4502146 51.6619277, 6.4507288 51.6621565, 6.4507704 51.662175, 6.4509264 51.6622423, 6.451118 51.662352, 6.4521073 51.6629639, 6.4521557 51.663008, 6.4521772 51.6630524)",5.00,2,,,
26986580,Hagenbuschstraße,residential,30,False,True,59.042,"LINESTRING (6.4502146 51.6619277, 6.4499333 51.6618351, 6.4498033 51.6617969, 6.4494453 51.6616953)",,,,,
"[5777896, 357535601, 360620656, 357535600]",Bahnhofstraße,tertiary,30,False,False,180.55800000000002,"LINESTRING (6.4505187 51.660483, 6.4504793 51.6604623, 6.4499124 51.660151, 6.4498553 51.6601177, 6.4498032 51.6600846, 6.4497251 51.660035, 6.4496337 51.6599769, 6.4496117 51.6599629, 6.4492888 51.6597758, 6.4488958 51.659548, 6.4486004 51.6593788)",,,,,
23010429,Europaplatz,tertiary,50,True,False,15.776,"LINESTRING (6.4505187 51.660483, 6.4505629 51.6604605, 6.4506169 51.6604489, 6.4506741 51.6604497, 6.4507273 51.6604627)",,,roundabout,,
23010429,Europaplatz,tertiary,50,True,False,19.644,"LINESTRING (6.4505626 51.6606358, 6.4505251 51.6606177, 6.4504976 51.6605937, 6.4504825 51.6605658, 6.4504811 51.6605364, 6.4504936 51.660508, 6.4505187 51.660483)",,,roundabout,,
343440181,Siegfriedstraße,tertiary,50,False,True,140.801,"LINESTRING (6.4505626 51.6606358, 6.4505366 51.6606579, 6.450145 51.6610268, 6.4499912 51.6611621, 6.4498828 51.661268, 6.4494453 51.6616953)",,,,,
23010429,Europaplatz,tertiary,50,True,False,19.137,"LINESTRING (6.4507273 51.6604627, 6.4507771 51.6604927, 6.4508021 51.6605328, 6.4507978 51.6605758, 6.4507649 51.6606136)",,,roundabout,,
"[23010430, 26972686]",Poststraße,tertiary,"['50', '30']",False,False,279.849,"LINESTRING (6.4507273 51.6604627, 6.4507497 51.6604388, 6.4509156 51.6602718, 6.4513005 51.659916, 6.4513808 51.6598418, 6.4517816 51.6594524, 6.4519728 51.6592666, 6.4521275 51.6591163, 6.452258 51.6589633, 6.4523395 51.658867, 6.4524382 51.6587504, 6.4525063 51.65867, 6.452555 51.6586201, 6.4528963 51.6583394)",5.5,,,,
24049076,Fildersteg,residential,30,False,False,192.18400000000003,"LINESTRING (6.4537309 51.6579097, 6.4542392 51.6583722, 6.4543269 51.6585462, 6.4543558 51.6586789, 6.4544188 51.6589191, 6.4544771 51.6590446, 6.4545869 51.6591844, 6.4546665 51.6592777, 6.4548008 51.6594031, 6.4548758 51.659451)",,,,,
26972686,Poststraße,tertiary,30,False,True,76.333,"LINESTRING (6.4537309 51.6579097, 6.4534806 51.657986, 6.4532719 51.6580605, 6.4530939 51.6581755, 6.4528963 51.6583394)",5.5,,,,
26972687,Poststraße,tertiary,50,False,False,78.604,"LINESTRING (6.4537309 51.6579097, 6.4541163 51.6578034, 6.4544499 51.6576746, 6.454662 51.657522)",,,,,
"[24049067, 24049053]",Engelbert-Humperdinck-Straße,residential,30,False,False,299.9270000000001,"LINESTRING (6.454662 51.657522, 6.4561575 51.6582676, 6.4563891 51.6583307, 6.4565427 51.6583498, 6.4571439 51.6583338, 6.4574202 51.6583561, 6.4577036 51.6584009, 6.4578678 51.6584426, 6.4581832 51.6585221, 6.4584731 51.6586187)",,,,,
26972687,Poststraße,tertiary,50,False,True,78.60400000000001,"LINESTRING (6.454662 51.657522, 6.4544499 51.6576746, 6.4541163 51.6578034, 6.4537309 51.6579097)",,,,,
28884223,Antoniusstraße,residential,30,False,False,118.375,"LINESTRING (6.4474356 51.6637885, 6.4475356 51.6638607, 6.4476846 51.6639722, 6.447829 51.664076, 6.448672 51.6645223)",,,,,
368046662,Siegfriedstraße,tertiary,50,False,False,151.35399999999998,"LINESTRING (6.4474356 51.6637885, 6.4475193 51.6636895, 6.4476367 51.6635532, 6.4480182 51.6630162, 6.4481556 51.6628468, 6.4482909 51.6627054, 6.4483413 51.662648, 6.4483908 51.6625649)",,,,,
"[28884345, 28884343]","['Klever Straße', 'Am Eulenturm']",living_street,,False,True,215.70600000000002,"LINESTRING (6.4475798 51.6637798, 6.448108 51.6635545, 6.4491999 51.6630565, 6.4491294 51.662989, 6.4485853 51.6624675)",,,,,
5785830,Bahnhofstraße,residential,30,False,False,9.613,"LINESTRING (6.4517788 51.6612076, 6.451678 51.6611479)",,,,,
5785830,Bahnhofstraße,residential,30,False,True,48.618,"LINESTRING (6.4517788 51.6612076, 6.4522995 51.6615023)",,,,,
"[23986385, 251710244, 251710245]",Westwall,residential,30,True,False,135.189,"LINESTRING (6.4517788 51.6612076, 6.4517174 51.6612437, 6.4516599 51.6612778, 6.4516291 51.6612904, 6.4515078 51.661333, 6.4510774 51.6614725, 6.4508294 51.6615841, 6.4502146 51.6619277)",,,,building_passage,
45049665,Alte Brauerei,residential,30,False,False,64.228,"LINESTRING (6.4603304 51.6592498, 6.4604012 51.6592557, 6.4605961 51.6592506, 6.4607518 51.6592415, 6.4609531 51.6592178, 6.4612448 51.6591662)",,,,,
