osmid,highway,maxspeed,width,junction,oneway,reversed,length,geometry,ref,name,bridge,lanes,access,tunnel
24593470,tertiary,50,9,roundabout,True,False,15.346999999999998,"LINESTRING (6.5833685 51.0912394, 6.5833304 51.0912428, 6.5832957 51.091242, 6.5832605 51.0912345, 6.5832287 51.0912239, 6.5832026 51.091208, 6.5831815 51.0911889)",,,,,,
"[764116364, 24593543]",tertiary,30,,,False,False,53.216,"LINESTRING (6.5833685 51.0912394, 6.5834473 51.0912914, 6.5837973 51.0914948, 6.5839201 51.0915694)",K 22,Erckensstraße,,,,
"[31893827, 31893828, 24593501]",residential,"['50', '30']",6,,False,False,133.247,"LINESTRING (6.5834712 51.0911059, 6.5835802 51.0910701, 6.583621 51.0910506, 6.5836671 51.0910223, 6.5837541 51.0909676, 6.5838445 51.0909075, 6.5839308 51.0908459, 6.5840205 51.0907821, 6.5842164 51.0906406, 6.5847749 51.0902384)",,Bahnstraße,yes,,,
221608553,tertiary,50,9,roundabout,True,False,18.49,"LINESTRING (6.5834712 51.0911059, 6.5834817 51.0911316, 6.5834804 51.0911605, 6.5834665 51.0911884, 6.5834424 51.09121, 6.5834029 51.091229, 6.5833685 51.0912394)",,,,,,
24593573,tertiary,,,,False,False,56.737,"LINESTRING (6.5832223 51.091066, 6.5831793 51.0910157, 6.5831274 51.0909433, 6.5830892 51.0908851, 6.5830544 51.0908207, 6.5830164 51.0907494, 6.5829369 51.0905894)",K 22,Kaplan-Hahn-Straße,,2,,
222131077,tertiary,50,9,roundabout,True,False,20.793999999999997,"LINESTRING (6.5832223 51.091066, 6.5832539 51.0910532, 6.5832889 51.0910457, 6.5833251 51.0910445, 6.5833629 51.0910464, 6.5833964 51.0910541, 6.5834283 51.0910681, 6.5834531 51.0910854, 6.5834712 51.0911059)",,,,,,
182377090,tertiary,50,9,roundabout,True,False,15.019000000000002,"LINESTRING (6.5831815 51.0911889, 6.5831703 51.0911656, 6.5831641 51.0911454, 6.5831688 51.0911229, 6.5831786 51.0911015, 6.5831962 51.0910827, 6.5832223 51.091066)",,,,,,
"[24740817, 764116366]",tertiary,,,,False,False,38.03,"LINESTRING (6.5831815 51.0911889, 6.5831182 51.0912063, 6.5830585 51.0912168, 6.5829661 51.0912301, 6.5828691 51.0912393, 6.5826502 51.0912562)",K 22,Rheydter Straße,,,,
31613944,residential,20,4,,False,True,74.278,"LINESTRING (6.5857116 51.08958, 6.5864163 51.0890797)",,Bahnstraße,,,,
311385187,residential,50,6,,False,True,78.791,"LINESTRING (6.5857116 51.08958, 6.5849596 51.0901082)",,Bahnstraße,,,,
