osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,access
244662757,2,L 170,Untere Hauptstraße,secondary,30,False,True,47.673,"LINESTRING (8.3437889 47.8831127, 8.3436637 47.8829148, 8.3435511 47.8827666, 8.3435131 47.8827266)",,,
1087770799,2,L 170,Rathausplatz,secondary,30,False,False,12.076,"LINESTRING (8.3438951 47.883729, 8.3439655 47.8838268)",,,
144674631,,,Rathausplatz,residential,,True,False,74.891,"LINESTRING (8.3438951 47.883729, 8.3440124 47.8837109, 8.3441303 47.8837011, 8.3442523 47.883697, 8.3446257 47.8837712, 8.3448648 47.8838277)",4,,
244662757,2,L 170,Untere Hauptstraße,secondary,30,False,True,69.047,"LINESTRING (8.3438951 47.883729, 8.3438814 47.8836878, 8.3438615 47.8835233, 8.3438104 47.8831891, 8.3437889 47.8831127)",,,
144672013,,,Festhallenstraße,residential,,False,False,106.067,"LINESTRING (8.3470132 47.8843839, 8.3470648 47.8843198, 8.3471159 47.8842869, 8.3472566 47.8842489, 8.3474464 47.884209, 8.3477561 47.8841287, 8.3480847 47.8840295, 8.3482628 47.8839686)",4,,
161081631,2,L 170,Obere Hauptstraße,secondary,30,False,True,111.259,"LINESTRING (8.3470132 47.8843839, 8.3469308 47.8843755, 8.3468278 47.884372, 8.3466648 47.8843799, 8.3465226 47.8843934, 8.3462797 47.8844275, 8.3461093 47.8844595, 8.3459295 47.8844934, 8.3457473 47.8844934, 8.3456414 47.8844866, 8.3455502 47.8844626)",,,
161081634,2,L 170,Obere Hauptstraße,secondary,30,False,True,93.168,"LINESTRING (8.3470132 47.8843839, 8.3474276 47.884465, 8.3477577 47.8845274, 8.3480209 47.8845831, 8.3481863 47.884657)",,,
144672024,,,Seppenhofer Straße,residential,,False,False,93.243,"LINESTRING (8.3435131 47.8827266, 8.3435575 47.8827028, 8.3436907 47.8825914, 8.3437933 47.8825027, 8.3439855 47.8823348, 8.3440073 47.8823157, 8.3442041 47.8821749, 8.3443135 47.8820842)",4,,
244662757,2,L 170,Untere Hauptstraße,secondary,30,False,False,47.673,"LINESTRING (8.3435131 47.8827266, 8.3435511 47.8827666, 8.3436637 47.8829148, 8.3437889 47.8831127)",,,
"[460408275, 244662757]",2,L 170,Untere Hauptstraße,secondary,"['50', '30']",False,True,44.754999999999995,"LINESTRING (8.3435131 47.8827266, 8.3432471 47.8824832, 8.3431717 47.8823961)",,,
55833359,2,K 4992,Rötenbacher Straße,tertiary,,False,False,43.34,"LINESTRING (8.34233 47.8820683, 8.3425116 47.882008, 8.3426185 47.8819794, 8.342748 47.8819614, 8.3428786 47.8819532)",,,
55833359,2,K 4992,Rötenbacher Straße,tertiary,,False,True,24.5,"LINESTRING (8.34233 47.8820683, 8.3422152 47.8820898, 8.3420062 47.8820978)",,,
365783731,,,Güterstraße,residential,50,False,True,29.658,"LINESTRING (8.34233 47.8820683, 8.3423118 47.8821501, 8.3422212 47.8823238)",4,,
144672008,,,Alenbergstraße,residential,30,False,True,133.895,"LINESTRING (8.3418889 47.8883845, 8.3418633 47.8882402, 8.3418457 47.8880899, 8.3418472 47.8879383, 8.3418588 47.8878109, 8.3418821 47.8877213, 8.3419752 47.8875522, 8.3421641 47.8873738, 8.3422822 47.8872598)",4,,
1153058350,2,L 170,Dittishauser Straße,secondary,30,False,True,24.604,"LINESTRING (8.3507836 47.8863331, 8.3510631 47.8864507)",,,
34217061,,,Alemannenstraße,residential,,False,False,21.639000000000003,"LINESTRING (8.3507836 47.8863331, 8.3507422 47.8863625, 8.3506706 47.8864134, 8.3505978 47.886482)",,,
"[1153058350, 54378175]",2,L 170,Dittishauser Straße,secondary,30,False,False,239.44600000000003,"LINESTRING (8.3507836 47.8863331, 8.3505436 47.8862469, 8.3499109 47.8860198, 8.3496996 47.8859111, 8.3494577 47.8857097, 8.3493101 47.8855703, 8.3491054 47.8853853, 8.3486224 47.8849605, 8.3485099 47.8848713)",,,
34217060,,,Demetriusstraße,residential,,False,False,9.528,"LINESTRING (8.344328 47.8846182, 8.344423 47.8845609)",,,
144672021,,,Ringstraße,residential,30,False,False,78.296,"LINESTRING (8.344328 47.8846182, 8.3439503 47.8843609, 8.3436828 47.8842135, 8.343526 47.8841783)",4,,
144672021,,,Ringstraße,residential,30,False,True,48.736000000000004,"LINESTRING (8.344328 47.8846182, 8.3445886 47.8847189, 8.3447943 47.884758, 8.3449118 47.8848078)",4,,
34217060,,,Demetriusstraße,residential,,False,False,38.14,"LINESTRING (8.3447333 47.8843468, 8.3448758 47.8842846, 8.3449881 47.8842267, 8.3450499 47.8841837, 8.3450954 47.884116)",,,
