osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry
60707927,1,Bürgermeister-Wohlfarth-Straße,tertiary,50,roundabout,True,False,20.058,"LINESTRING (10.8854946 48.2643957, 10.8854823 48.2643764, 10.8854796 48.2643415, 10.885495 48.2643081, 10.8855266 48.2642802, 10.8855707 48.2642612, 10.8855993 48.2642564)"
60914520,1,Bürgermeister-Wohlfarth-Straße,tertiary,50,roundabout,True,False,19.659000000000002,"LINESTRING (10.885756 48.2643011, 10.8857707 48.2643179, 10.8857805 48.2643487, 10.8857755 48.26438, 10.8857562 48.2644087, 10.8857246 48.2644321, 10.8856836 48.2644478)"
1144301431,2,Blumenallee,residential,50,,False,True,42.997,"LINESTRING (10.885756 48.2643011, 10.8858632 48.2642664, 10.8862304 48.2641382, 10.8862716 48.2641231)"
54927974,3,Bürgermeister-Wohlfarth-Straße,tertiary,30,,False,False,11.825,"LINESTRING (10.8867657 48.2669026, 10.8867166 48.2668014)"
376877191,3,Bürgermeister-Wohlfarth-Straße,tertiary,30,,False,True,48.614,"LINESTRING (10.8867657 48.2669026, 10.8867917 48.2669638, 10.8868337 48.2670524, 10.886861 48.2671119, 10.8869571 48.2673208)"
"[376882508, 60917052]",,Gartenstraße,tertiary,50,,False,True,140.21300000000002,"LINESTRING (10.8867657 48.2669026, 10.8866386 48.2669277, 10.8865565 48.2669467, 10.8862804 48.2670107, 10.8862695 48.2670149, 10.8861052 48.2670788, 10.8860211 48.2671114, 10.8859791 48.2671321, 10.8858468 48.2672019, 10.8856476 48.2672787, 10.8854588 48.267337, 10.8852774 48.2673756, 10.8850467 48.2673944)"
626264429,,Rathausstraße,residential,20,,False,True,66.394,"LINESTRING (10.889144 48.2675298, 10.8882548 48.2676084)"
24896630,,Von-Eichendorff-Straße,residential,30,,False,False,61.624,"LINESTRING (10.889144 48.2675298, 10.8891664 48.2675673, 10.8891727 48.2675778, 10.8894831 48.2680359)"
24896630,,Von-Eichendorff-Straße,residential,30,,False,True,65.072,"LINESTRING (10.889144 48.2675298, 10.8891144 48.2673484, 10.889094 48.2672224, 10.8890441 48.2669484)"
24897861,,Rathausstraße,residential,50,,False,True,175.441,"LINESTRING (10.889144 48.2675298, 10.8910347 48.2675593, 10.8915137 48.2675638)"
60707929,1,Bürgermeister-Wohlfarth-Straße,tertiary,50,roundabout,True,False,13.538999999999998,"LINESTRING (10.8855993 48.2642564, 10.8856218 48.2642534, 10.8856688 48.2642567, 10.885712 48.2642695, 10.8857471 48.2642906, 10.885756 48.2643011)"
