osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel
"[215267881, 228275919]",,Bahnhofstraße,living_street,,False,False,47.814,"LINESTRING (11.7654863 48.1043577, 11.765526 48.1044048, 11.7655777 48.1044661, 11.7658019 48.1046762, 11.7658464 48.1047134)",6,,
"[976563905, 4705420]",,Lannerweg,residential,30,False,False,167.88400000000001,"LINESTRING (11.7739853 48.1092175, 11.7744325 48.1094017, 11.774479 48.1094259, 11.7746236 48.1095059, 11.7752348 48.1099314, 11.7754436 48.1100893, 11.7756358 48.1102348)",,,
171247855,,Millöckerstraße,residential,30,False,False,79.17399999999999,"LINESTRING (11.7739853 48.1092175, 11.7740499 48.1091341, 11.7741906 48.1089433, 11.7743705 48.1086895, 11.7744528 48.1085776)",,,
366705074,2,Dorfstraße,tertiary,50,False,True,5.412,"LINESTRING (11.7720406 48.1099751, 11.772068 48.1100202)",,EBE 17,
"[8150250, 975900343]",,Friedenstraße,residential,30,False,True,143.26000000000002,"LINESTRING (11.7720406 48.1099751, 11.7721511 48.1097379, 11.772408 48.1092333, 11.7725926 48.1088709, 11.7726525 48.1087533)",,,
366705074,2,Dorfstraße,tertiary,50,False,False,97.667,"LINESTRING (11.7720406 48.1099751, 11.7717196 48.1094376, 11.7717043 48.1094119, 11.7715349 48.1091645)",,EBE 17,
1120787298,2,Fasanenstraße,residential,30,False,False,23.107,"LINESTRING (11.7688746 48.1101021, 11.7691168 48.1102326)",,,
1120787298,2,Fasanenstraße,residential,30,False,True,124.97600000000001,"LINESTRING (11.7688746 48.1101021, 11.768769 48.1100449, 11.7686011 48.1099529, 11.7684658 48.1098643, 11.7684058 48.1098328, 11.7682683 48.1097585, 11.7681316 48.1096848, 11.7680048 48.1096163, 11.7678909 48.109309, 11.7678554 48.1092653)",,,
1120787298,2,Fasanenstraße,residential,30,False,True,23.107,"LINESTRING (11.7691168 48.1102326, 11.7688746 48.1101021)",,,
"[997643454, 997643996, 997644010, 997644011, 997643995, 997644018, 4614807, 997643835, 997643836, 997643837, 997643838]",,Starenweg,living_street,,False,False,215.38400000000004,"LINESTRING (11.7691168 48.1102326, 11.7692134 48.1101496, 11.7692433 48.1101239, 11.7694906 48.1100948, 11.7696649 48.1099538, 11.7696989 48.1099263, 11.7697772 48.1098629, 11.7698385 48.1098133, 11.7699113 48.1097544, 11.7700572 48.1096363, 11.7700971 48.1096041, 11.7701403 48.1095691, 11.7701831 48.1095344, 11.7704174 48.1093785, 11.7704512 48.109356, 11.7710603 48.1089507, 11.7711433 48.1088955)",,,
366705070,2,Carl-Orff-Straße,residential,30,False,True,59.115,"LINESTRING (11.7756358 48.1102348, 11.7760563 48.1100116, 11.7762591 48.109904)",,,
"[976563905, 4705420]",,Lannerweg,residential,30,False,True,167.88400000000001,"LINESTRING (11.7756358 48.1102348, 11.7754436 48.1100893, 11.7752348 48.1099314, 11.7746236 48.1095059, 11.774479 48.1094259, 11.7744325 48.1094017, 11.7739853 48.1092175)",,,
366705070,2,Carl-Orff-Straße,residential,30,False,False,16.549,"LINESTRING (11.7764308 48.1098091, 11.7762591 48.109904)",,,
4705421,,Robert-Stolz-Straße,residential,30,False,True,201.12499999999997,"LINESTRING (11.7764308 48.1098091, 11.7761011 48.1095876, 11.7759289 48.1094783, 11.7757973 48.1093948, 11.7756413 48.1092874, 11.7755172 48.109202, 11.7753354 48.1090832, 11.7752091 48.1090006, 11.7750261 48.1088813, 11.7749713 48.1088456, 11.7749123 48.1088072, 11.7746978 48.1087, 11.7744528 48.1085776)",5.25,,
366705070,2,Carl-Orff-Straße,residential,30,False,True,54.905,"LINESTRING (11.7764308 48.1098091, 11.7768993 48.1095502, 11.7770065 48.1094995)",,,
25028507,,Friedenstraße,residential,30,False,True,10.171,"LINESTRING (11.77527 48.1040552, 11.7752131 48.1041384)",,,
25028507,,Friedenstraße,residential,30,False,False,127.023,"LINESTRING (11.77527 48.1040552, 11.7757405 48.1032477, 11.7758295 48.1029783)",,,
171247850,,Franz-Liszt-Straße,residential,30,False,False,206.68499999999997,"LINESTRING (11.77527 48.1040552, 11.7756849 48.1041773, 11.7761274 48.1042976, 11.7769001 48.1045779, 11.7775326 48.1048616, 11.777671 48.104968)",,,
171247850,,Franz-Liszt-Straße,residential,30,False,True,206.685,"LINESTRING (11.777671 48.104968, 11.7775326 48.1048616, 11.7769001 48.1045779, 11.7761274 48.1042976, 11.7756849 48.1041773, 11.77527 48.1040552)",,,
4688831,,Carl-Zeller-Straße,residential,30,False,False,129.787,"LINESTRING (11.7758698 48.1058255, 11.7773123 48.1064847)",,,
4688830,,Max-Reger-Straße,residential,30,False,True,62.582,"LINESTRING (11.7758698 48.1058255, 11.7755206 48.1062984, 11.7754971 48.1063303)",,,
492694565,,Wendelsteinstraße,residential,30,False,True,29.823,"LINESTRING (11.7691296 48.1055366, 11.7688016 48.1056914)",,,
