osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel,width,bridge
"[32688497, 212750404]",2,L 735,Ruhrstraße,secondary,50,False,True,266.904,"LINESTRING (8.0641801 51.4012472, 8.0638951 51.4017182, 8.0636701 51.4020852, 8.0634545 51.4024598, 8.0630991 51.4030967, 8.0630186 51.403241, 8.0629789 51.4033122, 8.0629501 51.4033843, 8.0629416 51.4034056, 8.0629118 51.4035111)",,,,
"[712522463, 712522466, 11655255]","['4', '3']",B 229,Ruhrstraße,primary,50,False,False,263.40700000000004,"LINESTRING (8.0641801 51.4012472, 8.0642217 51.4011777, 8.0643085 51.4010327, 8.0646492 51.4004633, 8.0647241 51.4003328, 8.0648976 51.4000302, 8.0649672 51.3999112, 8.0650976 51.3996882, 8.0652402 51.3994508, 8.065368 51.3992461, 8.0655016 51.3990265)",,,,
155568740,4,B 229,,primary,50,False,False,21.489,"LINESTRING (8.0656417 51.3987951, 8.0654653 51.3987937, 8.0654166 51.3987933, 8.065332 51.3987945)",,,,
"[25477171, 712522459, 1143373676, 1143373675]",3,,Ruhrstraße,residential,30,False,False,282.75300000000004,"LINESTRING (8.0656417 51.3987951, 8.0656795 51.3986331, 8.0656824 51.3986208, 8.0657005 51.3981171, 8.0657043 51.3979213, 8.065718 51.3974119, 8.0657217 51.3966787, 8.0657225 51.3965658, 8.065723 51.396493, 8.0657261 51.3963488, 8.0657326 51.3962544)",,,,
712522465,3,B 229,Ruhrstraße,primary,50,False,True,27.505000000000003,"LINESTRING (8.0656417 51.3987951, 8.0655728 51.3989094, 8.0655649 51.3989224, 8.0655016 51.3990265)",,,,
32560254,2,L 735,,secondary,50,False,False,13.585,"LINESTRING (8.0600204 51.3995244, 8.059877 51.3995196, 8.0598528 51.3995188, 8.0598248 51.3995187)",,,,
"[155568842, 712522452]",3,,Jägerstraße,residential,30,False,False,23.054000000000002,"LINESTRING (8.0600204 51.3995244, 8.0600799 51.399452, 8.060178 51.3993419)",,,,
253459854,3,B 229,Jägerstraße,primary,50,False,True,23.552999999999997,"LINESTRING (8.0600204 51.3995244, 8.0599713 51.3995996, 8.0599563 51.3996226, 8.0599024 51.3997229)",,,,
253461053,4,B 229,,primary,50,False,True,24.302,"LINESTRING (8.0600204 51.3995244, 8.0601861 51.399546, 8.0602301 51.3995518, 8.0603653 51.3995613)",,,,
24362748,,,Tiergartenstraße,residential,,False,True,59.312,"LINESTRING (8.0572847 51.4012373, 8.0574976 51.4007207)",,,,
"[24362749, 24362750]",,,"['Pirschweg', 'Arnsberger Burgweg']",residential,30,False,False,313.545,"LINESTRING (8.0572847 51.4012373, 8.0584346 51.4014059, 8.058406 51.4014955, 8.0583674 51.4015854, 8.0571563 51.403327)",,,,
35569309,,,Tiergartenstraße,residential,,False,False,238.723,"LINESTRING (8.0572847 51.4012373, 8.0567875 51.4022014, 8.0565347 51.4026915, 8.0564171 51.4033064)",,,,
24362750,,,Arnsberger Burgweg,residential,30,False,False,75.125,"LINESTRING (8.0571563 51.403327, 8.057108 51.4035832, 8.0568943 51.403979)",,,,
"[24362749, 24362750]",,,"['Pirschweg', 'Arnsberger Burgweg']",residential,30,False,True,313.54499999999996,"LINESTRING (8.0571563 51.403327, 8.0583674 51.4015854, 8.058406 51.4014955, 8.0584346 51.4014059, 8.0572847 51.4012373)",,,,
33435578,,,Arnsberger Burgweg,residential,30,False,False,51.427,"LINESTRING (8.0571563 51.403327, 8.0565894 51.4033234, 8.0564171 51.4033064)",,,,
24362750,,,Arnsberger Burgweg,residential,30,False,True,75.125,"LINESTRING (8.0568943 51.403979, 8.057108 51.4035832, 8.0571563 51.403327)",,,,
"[29263361, 703467863]",,,Neuer Schloßweg,residential,,False,False,143.492,"LINESTRING (8.0628119 51.3999903, 8.0629657 51.4001101, 8.0630314 51.4001762, 8.0631146 51.4002854, 8.0632018 51.4003879, 8.0632588 51.4004566, 8.0633198 51.4005485, 8.0633449 51.400596, 8.0633613 51.4006548, 8.063387 51.4007595, 8.0633922 51.4008364, 8.0633794 51.4008997, 8.0632995 51.4011844)",,,,
"[32657474, 244743208, 244743210, 155568938, 35067996]",,,"['Schloßstraße', 'Alter Soestweg']",residential,30,False,"[False, True]",531.1730000000001,"LINESTRING (8.0628119 51.3999903, 8.062833 51.4000474, 8.0628316 51.4000815, 8.0628169 51.4001084, 8.0627887 51.400126, 8.0627079 51.4001627, 8.0625551 51.4002184, 8.0624502 51.4002608, 8.0622164 51.400336, 8.0620739 51.4003764, 8.0619545 51.4004289, 8.0618486 51.4004833, 8.0617993 51.4005117, 8.0616764 51.4006119, 8.0614822 51.4007707, 8.0613832 51.4008564, 8.0613175 51.4009259, 8.0612411 51.4010121, 8.0611484 51.4011273, 8.061094 51.4012016, 8.0610434 51.4012821, 8.0609853 51.4013722, 8.0608988 51.4015202, 8.0607393 51.4018136, 8.0607207 51.4018596, 8.0607168 51.4018883, 8.0606979 51.4019617, 8.0606979 51.4020796, 8.060698 51.402174, 8.0606825 51.4023519, 8.0606868 51.4024285, 8.0606715 51.4025095, 8.0606407 51.4025496, 8.0605924 51.402608, 8.0604434 51.402739, 8.0603762 51.4028417, 8.0603304 51.4029146, 8.0602555 51.403061, 8.0602312 51.4031146, 8.0602127 51.4032451, 8.0602017 51.4033923, 8.0602069 51.403523, 8.0602224 51.4035718, 8.0602527 51.4036437, 8.0606474 51.4041082)",,,,
"[155568944, 35067997]",,,Schloßstraße,residential,30,False,False,219.22699999999998,"LINESTRING (8.0628119 51.3999903, 8.0628025 51.3998765, 8.0628492 51.3995605, 8.0628882 51.3993917, 8.0631725 51.3988337, 8.0634088 51.3983773, 8.0634913 51.3980771)",,,,
244269455,,,Hanstein,residential,,True,False,304.613,"LINESTRING (8.0628119 51.3999903, 8.0629657 51.400008, 8.0630894 51.4000105, 8.0632098 51.3999947, 8.0632783 51.3999775, 8.0633355 51.3999546, 8.0634458 51.3998909, 8.0635878 51.3997926, 8.0638718 51.3995474, 8.0640999 51.3992909, 8.06425 51.3990283, 8.0643683 51.3987967, 8.0644246 51.3987004, 8.0644451 51.3986377, 8.0644427 51.3985935, 8.0644377 51.3985542, 8.0643932 51.398479, 8.0643659 51.3984473, 8.0643441 51.3984221, 8.0642703 51.3983529, 8.0640571 51.3982094, 8.0638042 51.3981185, 8.0636854 51.3980978, 8.0634913 51.3980771)",,,,
155568752,,,Bergstraße,residential,30,False,True,74.928,"LINESTRING (8.0628119 51.3999903, 8.0627257 51.3999721, 8.0625862 51.3999411, 8.0625133 51.3999094, 8.0624446 51.3998499, 8.0623263 51.3997501, 8.0622849 51.3997113, 8.0621676 51.399601, 8.0620848 51.3995239)",,,,
44719173,,,Jägerstraße,residential,30,False,True,65.89,"LINESTRING (8.0621098 51.3970011, 8.0619188 51.397122, 8.0618376 51.3971725, 8.0617568 51.3972943, 8.0616896 51.397424, 8.0616136 51.3974923)",,,,
155568858,,,Jägerstraße,residential,30,False,True,50.295,"LINESTRING (8.0621098 51.3970011, 8.0622462 51.3968543, 8.0623368 51.3967593, 8.0624778 51.3966114)",,,,
1143860069,,,,residential,,True,False,7.284000000000001,"LINESTRING (8.0659252 51.3959803, 8.0658927 51.396006, 8.0658477 51.3960229)",roundabout,,,
"[29263361, 703467863]",,,Neuer Schloßweg,residential,,False,True,143.49200000000002,"LINESTRING (8.0632995 51.4011844, 8.0633794 51.4008997, 8.0633922 51.4008364, 8.063387 51.4007595, 8.0633613 51.4006548, 8.0633449 51.400596, 8.0633198 51.4005485, 8.0632588 51.4004566, 8.0632018 51.4003879, 8.0631146 51.4002854, 8.0630314 51.4001762, 8.0629657 51.4001101, 8.0628119 51.3999903)",,,,
1143860069,,,,residential,,True,False,8.498,"LINESTRING (8.0656511 51.3959251, 8.0656622 51.3959006, 8.0656838 51.3958789, 8.0657141 51.3958619)",roundabout,,,
1143860069,,,,residential,,True,False,3.414,"LINESTRING (8.0657141 51.3958619, 8.0657589 51.3958492)",roundabout,,,
252601560,,,Brückenplatz,residential,30,True,False,11.123,"LINESTRING (8.0659261 51.3958956, 8.0660665 51.3959439)",,,,
1143860069,,,,residential,,True,False,9.701,"LINESTRING (8.0659261 51.3958956, 8.0659424 51.3959381, 8.0659252 51.3959803)",roundabout,,,
258634243,,,Ruhrstraße,residential,,True,False,27.320999999999998,"LINESTRING (8.0658477 51.3960229, 8.0658216 51.3960555, 8.0658001 51.3961174, 8.0657924 51.3961791, 8.0657326 51.3962544)",,,,
1143860069,,,,residential,,True,False,10.71,"LINESTRING (8.0658477 51.3960229, 8.0658101 51.3960283, 8.0657715 51.3960275, 8.0657347 51.3960203, 8.0657021 51.3960074)",roundabout,,,
44719174,,,Jägerstraße,residential,30,False,True,33.019999999999996,"LINESTRING (8.062607 51.3963259, 8.0625835 51.3963809, 8.0625524 51.3964694, 8.0624778 51.3966114)",,,,
827659098,,,Apostelstraße,residential,,False,True,94.04,"LINESTRING (8.062607 51.3963259, 8.0628598 51.3962727, 8.0638823 51.3960395)",,,,
29287405,,,Apostelstraße,residential,,True,False,24.157,"LINESTRING (8.0642302 51.3960306, 8.0638823 51.3960395)",,,,
41466551,,,Alter Markt,living_street,,True,False,62.902,"LINESTRING (8.0642302 51.3960306, 8.0642177 51.3964523, 8.0642154 51.3965312, 8.064214 51.3965962)",,,,
44719175,,,Alter Markt,living_street,,True,False,65.26499999999999,"LINESTRING (8.064214 51.3965962, 8.0642096 51.3966692, 8.0641981 51.3968621, 8.0641938 51.3969984, 8.0641675 51.3971822)",,,,
29287417,,,Untere Soester Straße,residential,30,False,True,103.01699999999998,"LINESTRING (8.0619782 51.3990607, 8.0620508 51.3989534, 8.0624244 51.3982601, 8.0624736 51.3981878)",,,,
