osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge,access
26159184,Marktplatz,residential,20,False,False,45.374,"LINESTRING (10.8849179 49.3978165, 10.8848894 49.3974237, 10.8848883 49.3974089)",,,,,
"[530684232, 38314798]",Marktplatz,residential,20,False,True,14.837,"LINESTRING (10.8849179 49.3978165, 10.8848085 49.3978237, 10.8847358 49.3978278, 10.8847138 49.3978291)",,,,,
"[26159185, 914696622]",Marktplatz,residential,20,False,False,33.232,"LINESTRING (10.8849179 49.3978165, 10.8850707 49.3978022, 10.8853523 49.3977262)",,,,,
42791051,Nürnberger Straße,secondary,50,False,True,37.358,"LINESTRING (10.8862661 49.3988921, 10.8862978 49.3988433, 10.8864673 49.3985827)",2,St 2409,,,
1218592333,,secondary,50,True,False,15.775,"LINESTRING (10.8862661 49.3988921, 10.886321 49.3989181, 10.8863585 49.3989649, 10.8863579 49.3990098)",,St 2409,roundabout,,
"[147270674, 24645109, 1016830167]",Untere Bahnhofstraße,tertiary,50,False,False,185.027,"LINESTRING (10.8863579 49.3990098, 10.8864496 49.3990301, 10.8866484 49.3990667, 10.8868685 49.3990978, 10.8869836 49.399114, 10.8870367 49.3991184, 10.8872317 49.3991377, 10.8875609 49.3991857, 10.8878775 49.3992307, 10.8888575 49.3993543)",2,FÜ 22,,,
147270652,,secondary,50,True,False,17.725,"LINESTRING (10.8863579 49.3990098, 10.8863116 49.3990621, 10.8862397 49.3990865, 10.8861686 49.3990864)",,St 2409,roundabout,,
142886945,Pelzleinstraße,tertiary,50,False,False,45.888,"LINESTRING (10.886057 49.3989554, 10.8859823 49.398945, 10.885437 49.3988688)",2,FÜ 22,,,
1218592332,,secondary,50,True,False,18.453,"LINESTRING (10.886057 49.3989554, 10.8860998 49.398912, 10.8861716 49.3988876, 10.8862661 49.3988921)",,St 2409,roundabout,,
"[390818058, 918320339]",Fürther Straße,secondary,50,False,False,39.675,"LINESTRING (10.8861686 49.3990864, 10.886155 49.3991287, 10.8861045 49.3992859, 10.8861077 49.399347, 10.8861432 49.3994359)",2,St 2409,,,
1226798553,,secondary,50,True,False,18.454,"LINESTRING (10.8861686 49.3990864, 10.8860903 49.399056, 10.8860529 49.3990092, 10.886057 49.3989554)",,St 2409,roundabout,,
