osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,bridge,geometry,name
"[681363833, 628785201, 681363834]",2,DJ742,secondary,50,False,False,153.14800000000002,yes,"LINESTRING (23.1284939 46.3057782, 23.1294541 46.3060904, 23.1296244 46.3061414, 23.1297813 46.3061775, 23.1298906 46.3061919, 23.1299758 46.3061933, 23.1300596 46.3061896, 23.1302021 46.3061745, 23.1302645 46.3061641, 23.130354 46.3061474)",
628785201,2,DJ742,secondary,50,False,True,39.317,,"LINESTRING (23.1284939 46.3057782, 23.1283249 46.3057264, 23.1280352 46.3056217)",
761667257,,,residential,RO:urban,False,False,140.828,,"LINESTRING (23.1284939 46.3057782, 23.1283571 46.3059506, 23.1282766 46.3060191, 23.1279695 46.3062118, 23.1279239 46.3062637, 23.1279024 46.3063239, 23.1278998 46.3063906, 23.1279092 46.3064536, 23.1279172 46.3065222, 23.1278944 46.3066055, 23.1278099 46.3067825, 23.1277469 46.3068751)",
628785201,2,DJ742,secondary,50,False,False,124.13199999999999,,"LINESTRING (23.12667 46.3050253, 23.1270681 46.3052162, 23.1272721 46.3053039, 23.1277134 46.305491, 23.1280352 46.3056217)",
30795623,,DC146,residential,RO:urban,False,False,35.168,,"LINESTRING (23.130757 46.3065606, 23.1303158 46.3066451)",
177445269,,,residential,RO:urban,False,False,77.934,,"LINESTRING (23.130757 46.3065606, 23.1310888 46.306293, 23.1314269 46.3060343)",
177458916,,,residential,50,False,True,56.79500000000001,,"LINESTRING (23.130757 46.3065606, 23.130772 46.3068144, 23.1308415 46.3068358, 23.1308861 46.3068596, 23.1309012 46.3068735, 23.1309213 46.306902, 23.1309354 46.3069442, 23.1309427 46.3070169)",
257257247,,DC146,residential,RO:urban,False,True,45.99900000000001,,"LINESTRING (23.130757 46.3065606, 23.1307635 46.3064825, 23.1307688 46.3064121, 23.1307796 46.3063602, 23.1307903 46.3062917, 23.1307778 46.306222, 23.1307335 46.3061553)",
177458916,,,residential,50,False,False,23.336,,"LINESTRING (23.1309501 46.3072267, 23.1309427 46.3070169)",
177458918,,,residential,RO:urban,False,False,39.882,,"LINESTRING (23.1309501 46.3072267, 23.1307449 46.3072494, 23.130588 46.30728, 23.1304519 46.3073208)",
177458918,,,residential,RO:urban,False,True,179.514,,"LINESTRING (23.1309501 46.3072267, 23.1311975 46.3072161, 23.131333 46.3072049, 23.13144 46.3071861, 23.1317434 46.3071123, 23.131852 46.3070961, 23.1319667 46.3070878, 23.1321035 46.3070891, 23.1322362 46.3071072, 23.1323328 46.3071345, 23.1323791 46.307154, 23.1325172 46.3072077, 23.1326419 46.3072383, 23.1327613 46.307242, 23.1328686 46.307229, 23.1329705 46.3071957, 23.1331455 46.307091)",
30795623,,DC146,residential,RO:urban,False,False,85.13400000000001,,"LINESTRING (23.1304519 46.3073208, 23.1304666 46.3074162, 23.1304505 46.307507, 23.1303634 46.3077793, 23.1303205 46.3079127, 23.1302973 46.3080746)",
30795623,,DC146,residential,RO:urban,False,True,40.745999999999995,,"LINESTRING (23.1304519 46.3073208, 23.1303191 46.30723, 23.1300455 46.3070864)",
