osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes
8043164,True,An der Brake,residential,30,False,140.16,"LINESTRING (8.8151883 53.4310567, 8.8147617 53.4322913)",,
28248521,False,Adolf-Butenandt-Straße,unclassified,30,True,78.495,"LINESTRING (8.8151883 53.4310567, 8.8153675 53.4307641, 8.8153549 53.4306625, 8.8153192 53.430574, 8.8152462 53.4304907, 8.815144 53.430402)",,
267237881,False,Hindenburgstraße,secondary,50,False,120.989,"LINESTRING (8.8151883 53.4310567, 8.8163753 53.4313595, 8.8166243 53.4314343, 8.8168425 53.4315143)",L 134,
8043163,False,Amtsallee,residential,,True,267.918,"LINESTRING (8.8184388 53.4330237, 8.8179948 53.4330369, 8.8167044 53.432925, 8.8159017 53.4328486, 8.8153572 53.4326419, 8.8147617 53.4322913)",,
28249686,False,Friedhofstraße,residential,30,True,67.431,"LINESTRING (8.8184388 53.4330237, 8.8188755 53.4329597, 8.8190811 53.4328489, 8.8191969 53.4326899)",,
60168565,False,Hindenburgstraße,secondary,50,False,138.969,"LINESTRING (8.8184388 53.4330237, 8.8186671 53.4334425, 8.8188241 53.4337575, 8.818954 53.4339473, 8.8190462 53.4340387, 8.8191582 53.4341214, 8.8192126 53.4341754)",L 134,
60168565,False,Hindenburgstraße,secondary,50,True,144.464,"LINESTRING (8.8184388 53.4330237, 8.8183664 53.4328506, 8.8183017 53.4326959, 8.8181036 53.4324036, 8.8179794 53.4322586, 8.8177681 53.4320515, 8.8175201 53.4318611)",L 134,
8043163,False,Amtsallee,residential,,False,267.918,"LINESTRING (8.8147617 53.4322913, 8.8153572 53.4326419, 8.8159017 53.4328486, 8.8167044 53.432925, 8.8179948 53.4330369, 8.8184388 53.4330237)",,
28249123,False,In der Hörne,residential,30,False,352.913,"LINESTRING (8.8188813 53.435636, 8.8190027 53.4356417, 8.8191661 53.4357184, 8.8194705 53.4359273, 8.8201286 53.4361, 8.820158 53.4361077, 8.8202673 53.4361418, 8.8204046 53.4361847, 8.8210709 53.4363927, 8.8221939 53.4367432, 8.8224917 53.436759, 8.8231737 53.4366766, 8.823342 53.4366563, 8.8235951 53.4365423)",,
28250121,False,Schulstraße,residential,,True,48.81,"LINESTRING (8.8188813 53.435636, 8.8187466 53.4356223, 8.818155 53.435562)",,
