osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,lanes,bridge,ref,width
201664066,Homberger Straße,tertiary,roundabout,True,False,18.099,"LINESTRING (6.6353886 51.4498705, 6.6354121 51.4498901, 6.6354237 51.4499062, 6.6354315 51.4499293, 6.6354302 51.449952, 6.6354207 51.4499734, 6.6354049 51.4499918, 6.6353701 51.4500143)",,,,,
201664066,Homberger Straße,tertiary,roundabout,True,False,12.097999999999999,"LINESTRING (6.6351377 51.4498978, 6.6351578 51.4498773, 6.6351769 51.4498649, 6.6352239 51.4498475, 6.6352768 51.4498414)",,,,,
229782427,Augustastraße,tertiary,,False,True,152.087,"LINESTRING (6.6351377 51.4498978, 6.6350863 51.449881, 6.634983 51.4498486, 6.6346083 51.4496325, 6.6334947 51.4489965)",50,,,,
4277359,Diergardtstraße,tertiary,,False,False,99.84100000000001,"LINESTRING (6.6319867 51.4481138, 6.6319216 51.4480756, 6.6318035 51.448009, 6.6315812 51.4478761, 6.6314828 51.4478184, 6.6309214 51.4475095)",30,,,,
4277360,Augustastraße,tertiary,,False,False,85.121,"LINESTRING (6.6319867 51.4481138, 6.6320531 51.4481536, 6.632168 51.4482224, 6.6328724 51.4486442)",50,,,,
44066858,Uerdinger Straße,secondary,,False,True,136.407,"LINESTRING (6.6319867 51.4481138, 6.6318449 51.4482111, 6.6313771 51.448532, 6.6309418 51.4488457, 6.6306978 51.4490215, 6.6306825 51.4490325)",30,3,,,
"[37705064, 652358107]",Uerdinger Straße,secondary,,False,False,139.519,"LINESTRING (6.6319867 51.4481138, 6.6321045 51.4480262, 6.6325423 51.4477088, 6.6333068 51.4471665)",50,"['2', '3']",,,
229782427,Augustastraße,tertiary,,False,False,58.261,"LINESTRING (6.6328724 51.4486442, 6.6334947 51.4489965)",50,,,,
4277360,Augustastraße,tertiary,,False,True,85.121,"LINESTRING (6.6328724 51.4486442, 6.632168 51.4482224, 6.6320531 51.4481536, 6.6319867 51.4481138)",50,,,,
4277363,Tersteegenstraße,residential,,True,False,170.687,"LINESTRING (6.6328724 51.4486442, 6.633115 51.4486666, 6.6353308 51.4487256)",30,,,,
182387875,Hopfenstraße,residential,,False,True,104.212,"LINESTRING (6.6328724 51.4486442, 6.6329706 51.4485724, 6.6335437 51.447913, 6.6336168 51.447832)",30,,,,
182387876,Hopfenstraße,residential,,False,False,133.214,"LINESTRING (6.6328724 51.4486442, 6.6325453 51.4491129, 6.6321828 51.4497616)",,,,,
"[4277362, 4313677]",Hopfenstraße,living_street,,False,"[False, True]",79.553,"LINESTRING (6.6336168 51.447832, 6.6340719 51.44723, 6.63415 51.4472187)",,,,,
4277364,Karl-Hoffmeister-Straße,residential,,False,False,123.48700000000001,"LINESTRING (6.6336168 51.447832, 6.6336909 51.4478343, 6.6353965 51.4478875)",30,,,,
182387875,Hopfenstraße,residential,,False,False,104.212,"LINESTRING (6.6336168 51.447832, 6.6335437 51.447913, 6.6329706 51.4485724, 6.6328724 51.4486442)",30,,,,
4277364,Karl-Hoffmeister-Straße,residential,,False,True,123.48700000000001,"LINESTRING (6.6353965 51.4478875, 6.6336909 51.4478343, 6.6336168 51.447832)",30,,,,
4277361,Goethestraße,residential,,True,False,93.304,"LINESTRING (6.6353308 51.4487256, 6.6353965 51.4478875)",30,,,,
201664066,Homberger Straße,tertiary,roundabout,True,False,28.006,"LINESTRING (6.6353701 51.4500143, 6.6353115 51.450031, 6.6352578 51.4500325, 6.6352208 51.4500269, 6.6351858 51.4500142, 6.6351541 51.4499943, 6.6351279 51.4499587, 6.6351246 51.4499285, 6.6351377 51.4498978)",,,,,
4277361,Goethestraße,residential,,True,False,124.128,"LINESTRING (6.6352768 51.4498414, 6.6352778 51.4498015, 6.6353308 51.4487256)",30,,,,
201664066,Homberger Straße,tertiary,roundabout,True,False,8.591,"LINESTRING (6.6352768 51.4498414, 6.6353383 51.449849, 6.6353671 51.4498591, 6.6353886 51.4498705)",,,,,
4277359,Diergardtstraße,tertiary,,False,False,56.532,"LINESTRING (6.630582 51.4473089, 6.6299674 51.4469746)",30,,,,
4277359,Diergardtstraße,tertiary,,False,True,32.415,"LINESTRING (6.630582 51.4473089, 6.6309214 51.4475095)",30,,,,
4310380,Wiedstraße,residential,,False,False,182.63,"LINESTRING (6.630582 51.4473089, 6.6304656 51.4473869, 6.6303852 51.4474127, 6.6302734 51.4474185, 6.6280123 51.4474533)",30,,,,
"[29209682, 652358103]",Rheinberger Straße,secondary,,False,False,83.33600000000001,"LINESTRING (6.6290448 51.4556113, 6.6289012 51.4553675, 6.628733 51.4550538, 6.6286841 51.454961, 6.6286494 51.4549036)",30,"['2', '3']",,,
4313728,Gabelsbergerstraße,residential,,False,False,77.071,"LINESTRING (6.6286494 51.4549036, 6.6288913 51.4548513, 6.628934 51.4548421, 6.6297003 51.4546765)",30,,,,
29209682,Rheinberger Straße,secondary,,False,False,99.38,"LINESTRING (6.6286494 51.4549036, 6.6285559 51.4547376, 6.6282262 51.4541414, 6.6281772 51.4540597)",30,2,,,
"[29209682, 652358103]",Rheinberger Straße,secondary,,False,True,83.336,"LINESTRING (6.6286494 51.4549036, 6.6286841 51.454961, 6.628733 51.4550538, 6.6289012 51.4553675, 6.6290448 51.4556113)",30,"['2', '3']",,,
78243540,Rheinberger Straße,secondary,,True,False,18.834,"LINESTRING (6.6280742 51.4539576, 6.6279389 51.4538107)",50,2,,,
"[241579683, 4313737, 56666973, 56666974, 56426463]",Nordring,residential,,False,False,178.495,"LINESTRING (6.6280742 51.4539576, 6.6280036 51.4539732, 6.6273774 51.4541112, 6.6272139 51.4541304, 6.6270664 51.4541279, 6.6269212 51.4541005, 6.6262044 51.4539023, 6.6261074 51.4539001, 6.6260261 51.4539143, 6.6259233 51.4539438, 6.6258575 51.4539675, 6.6257245 51.4540739)",,,yes,,
