osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,width,access,tunnel
26648464,K 8255,Brückenstraße,tertiary,50,False,True,30.92,,"LINESTRING (12.7039499 50.9329982, 12.7036264 50.9331873)",,,,
942496315,K 8255,Brückenstraße,tertiary,50,False,False,42.477,2,"LINESTRING (12.7039499 50.9329982, 12.7040411 50.9329934, 12.7044129 50.9331625, 12.7044584 50.9331832)",,,,
"[87141656, 1219291946, 27323218]",,Pfarrberg,residential,,False,False,96.234,,"LINESTRING (12.7039499 50.9329982, 12.7040033 50.9329444, 12.7040427 50.9328913, 12.7040705 50.9328582, 12.7039121 50.9327091, 12.7038024 50.9325764, 12.70372 50.932494, 12.7036908 50.9324648, 12.7034894 50.9322971, 12.7034542 50.9322705)",,,,
26648465,K 8255,Bahnhofstraße,tertiary,50,False,False,14.492,,"LINESTRING (12.7027457 50.933745, 12.702884 50.9336481)",,,,
25148816,K 8255,Bahnhofstraße,tertiary,50,False,True,95.606,,"LINESTRING (12.7027457 50.933745, 12.702606 50.933814, 12.702001 50.9340507, 12.7015977 50.9342085)",,,,
87140939,K 8260,Lunzenauer Straße,tertiary,50,False,True,31.1,,"LINESTRING (12.7027457 50.933745, 12.7028086 50.9338312, 12.702945 50.9339948)",,,,
26648465,K 8255,Bahnhofstraße,tertiary,50,False,True,14.492,,"LINESTRING (12.702884 50.9336481, 12.7027457 50.933745)",,,,
24822912,K 8255,Brückenstraße,tertiary,50,False,False,73.03,2,"LINESTRING (12.702884 50.9336481, 12.7029602 50.9336049, 12.703589 50.9332103, 12.7036264 50.9331873)",yes,,,
24977100,,Thierbacher Straße,tertiary,,False,False,121.47399999999999,,"LINESTRING (12.702884 50.9336481, 12.7021583 50.933179, 12.7021095 50.9331363, 12.7016874 50.932878, 12.7016732 50.9328674)",,6,,
24829817,,Leipziger Straße,residential,,False,False,61.233000000000004,,"LINESTRING (12.7007753 50.9358981, 12.7010479 50.9358877, 12.701391 50.9358115, 12.7015829 50.9357239)",,,,
26648466,K 8260,Lunzenauer Straße,tertiary,50,False,True,67.633,,"LINESTRING (12.7091337 50.9364017, 12.7100975 50.9364341)",,,,
26648466,K 8260,Lunzenauer Straße,tertiary,50,False,False,384.631,,"LINESTRING (12.7091337 50.9364017, 12.7086158 50.9363985, 12.7077227 50.9364298, 12.7074941 50.9364241, 12.7070957 50.9364017, 12.7068733 50.9363769, 12.7067151 50.9363363, 12.7065664 50.9362767, 12.7058494 50.9359571, 12.7056944 50.9359117, 12.705314 50.9358442, 12.7049976 50.9357747, 12.7047518 50.9357123, 12.7046128 50.9356526, 12.7043081 50.935496, 12.7040909 50.9353959)",,,,
112472271,,Am Sonnenhang,residential,,False,False,213.374,,"LINESTRING (12.7091337 50.9364017, 12.7090914 50.9364929, 12.7087173 50.9365935, 12.7082241 50.9367527, 12.7080763 50.9368262, 12.7080311 50.9368908, 12.7080811 50.9369614, 12.7081907 50.9369899, 12.7083694 50.9369524, 12.7094703 50.936646)",,,,
26648464,K 8255,Brückenstraße,tertiary,50,False,False,30.92,,"LINESTRING (12.7036264 50.9331873, 12.7039499 50.9329982)",,,,
23304632,,Mühlgraben,residential,,False,False,227.563,,"LINESTRING (12.7036264 50.9331873, 12.7038703 50.9333307, 12.7040208 50.9334142, 12.7041684 50.9334961, 12.7041807 50.933503, 12.7042783 50.9335571, 12.7047829 50.933805, 12.7048514 50.9338393, 12.7048995 50.9338702, 12.7050205 50.9339427, 12.705158 50.9340365, 12.7053105 50.9341394, 12.7054669 50.9342758, 12.7056246 50.9344161, 12.7057522 50.9345392, 12.7058914 50.9346366)",,,,
24822912,K 8255,Brückenstraße,tertiary,50,False,True,73.03,2,"LINESTRING (12.7036264 50.9331873, 12.703589 50.9332103, 12.7029602 50.9336049, 12.702884 50.9336481)",yes,,,
700359545,,Schützenhausweg,residential,,False,True,59.016000000000005,,"LINESTRING (12.7036264 50.9331873, 12.7036024 50.9331471, 12.7031501 50.9327918, 12.7031181 50.9327666)",,,,
700359545,,Schützenhausweg,residential,,False,False,59.016000000000005,,"LINESTRING (12.7031181 50.9327666, 12.7031501 50.9327918, 12.7036024 50.9331471, 12.7036264 50.9331873)",,,,
491903383,K 8255,Chemnitzer Straße,tertiary,50,False,True,12.629,2,"LINESTRING (12.7057758 50.9309489, 12.7057593 50.931062)",,,,
26648462,,Zinnberger Straße,residential,,False,True,103.45400000000001,2,"LINESTRING (12.7057758 50.9309489, 12.7056643 50.9309288, 12.7055714 50.9309003, 12.7051766 50.9306182, 12.7050919 50.9305687, 12.7050051 50.9305341, 12.7047926 50.930474, 12.704594 50.9304331)",,5.0,,
418580324,K 8255,Chemnitzer Straße,tertiary,50,False,False,61.767,2,"LINESTRING (12.7057758 50.9309489, 12.7058025 50.9308336, 12.7058347 50.9307623, 12.7058559 50.9307183, 12.7059416 50.9305725, 12.7060503 50.9304242)",,,,
8430385,K 8255,Lutherplatz,tertiary,50,False,True,14.992,2,"LINESTRING (12.7064944 50.9322467, 12.7064354 50.9323763)",,,,
88645244,K 8255,Lutherplatz,tertiary,50,False,False,27.292,2,"LINESTRING (12.7064944 50.9322467, 12.7065933 50.9320093)",,,,
23745256,,Obergasse,residential,,False,True,133.347,,"LINESTRING (12.7064944 50.9322467, 12.7067684 50.932305, 12.7072588 50.932451, 12.7071591 50.9326908, 12.7071089 50.9327926, 12.7070272 50.9329099, 12.7068749 50.9330768)",,,,
"[1099403890, 1099403891]",,Feldstraße,residential,,False,True,49.95399999999999,,"LINESTRING (12.7085989 50.9305149, 12.7090678 50.9306986, 12.7092019 50.9307544)",,,,
1099405114,,Reitzenhainer Straße,residential,,False,False,73.015,,"LINESTRING (12.7085989 50.9305149, 12.7084723 50.9305837, 12.7081259 50.9307911, 12.7078294 50.9309574)",,,,
"[23745041, 1099405116]",,Reitzenhainer Straße,residential,,False,True,137.18,,"LINESTRING (12.7085989 50.9305149, 12.7087721 50.9303288, 12.7091194 50.9298959, 12.7094101 50.9295311, 12.709503 50.9294211)",,,,
25148938,,Feldstraße,residential,,False,True,6.651,,"LINESTRING (12.7106446 50.9312303, 12.7107395 50.9312307)",,,,
"[25148938, 1099403890]",,Feldstraße,residential,,False,False,107.94399999999999,,"LINESTRING (12.7106446 50.9312303, 12.7102371 50.9311623, 12.7094045 50.9308381, 12.7092874 50.9307897)",,,,
