osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,ref,bridge,width,junction
"[147297433, 24847778, 111986443]",False,Am Maxenbuck,residential,False,41.260999999999996,30,"LINESTRING (8.7701787 47.8488788, 8.7702526 47.8488907, 8.7705169 47.8489252, 8.7706113 47.8489454, 8.7707082 47.8489783)",,,,,
"[1001164200, 410947845, 1001164198]",False,Hegaustraße,secondary,True,508.147,50,"LINESTRING (8.7701787 47.8488788, 8.770044 47.8491912, 8.7699554 47.8493448, 8.7687379 47.8510882, 8.7686635 47.8512548, 8.7686096 47.851421, 8.7685748 47.8516151, 8.7685592 47.8519417, 8.7685498 47.8522025, 8.7685522 47.8523041, 8.7685559 47.852456, 8.7685797 47.8526679, 8.7686068 47.8527925, 8.7686128 47.8528198, 8.7686678 47.8529903, 8.7687572 47.8532159)","['2', '3']",L 191,,,
"[114306280, 24882734, 103435823, 23809528, 114306237]",False,Schillerstraße,residential,True,254.767,"['50', '30']","LINESTRING (8.7687572 47.8532159, 8.7689062 47.853186, 8.7691743 47.8531754, 8.7692983 47.85321, 8.7693433 47.8532256, 8.7693921 47.8532451, 8.7694916 47.8532888, 8.769733 47.8534511, 8.7697376 47.8534542, 8.7698103 47.8534957, 8.7698856 47.8535388, 8.7700809 47.8536538, 8.7706265 47.8539799, 8.7708849 47.854134, 8.770933 47.8541627, 8.7713426 47.8543998, 8.7714528 47.8544636)",2,,yes,,
"[1001164200, 410947845, 1001164198]",False,Hegaustraße,secondary,False,508.14700000000005,50,"LINESTRING (8.7687572 47.8532159, 8.7686678 47.8529903, 8.7686128 47.8528198, 8.7686068 47.8527925, 8.7685797 47.8526679, 8.7685559 47.852456, 8.7685522 47.8523041, 8.7685498 47.8522025, 8.7685592 47.8519417, 8.7685748 47.8516151, 8.7686096 47.851421, 8.7686635 47.8512548, 8.7687379 47.8510882, 8.7699554 47.8493448, 8.770044 47.8491912, 8.7701787 47.8488788)","['2', '3']",L 191,,,
"[1001164201, 1001164202, 1001164203, 1001164199]",False,Hegaustraße,secondary,True,228.849,50,"LINESTRING (8.7687572 47.8532159, 8.7688686 47.8534119, 8.7691708 47.8538089, 8.769266 47.8539191, 8.76951 47.8541479, 8.7697498 47.8543929, 8.7699176 47.8545641, 8.7703236 47.8549783)","['2', '3']",L 191,,,
"[410947842, 147044902, 147044903, 411124488, 411019563, 411016017, 407533301, 147297434, 425354045]",False,Bahnhofstraße,residential,False,150.865,"['50', '30']","LINESTRING (8.7722478 47.8552143, 8.7722043 47.8552501, 8.7721654 47.8552821, 8.772142 47.855313, 8.7721268 47.8553513, 8.772124 47.855459, 8.7721254 47.8555716, 8.7721645 47.8556442, 8.7722399 47.8556851, 8.7722728 47.8557006, 8.7725691 47.855831, 8.7727213 47.8558998, 8.7727892 47.8559304, 8.7729009 47.8559724, 8.7729248 47.8559836, 8.7730323 47.8560339, 8.7730826 47.8560574, 8.7731276 47.8560785, 8.7732192 47.8561261, 8.773267 47.8561509)",,,yes,,
"[147044905, 147044916]",False,"['Bahnhofstraße', 'Schillerstraße']",residential,"[False, True]",103.84200000000001,30,"LINESTRING (8.7722478 47.8552143, 8.7721915 47.8551707, 8.7721367 47.855104, 8.772082 47.8550275, 8.7718925 47.8547626, 8.771843 47.854715, 8.77183 47.8547025, 8.7714528 47.8544636)",,,,,
407533302,False,Breitestraße,residential,False,122.29899999999999,30,"LINESTRING (8.7722478 47.8552143, 8.7725568 47.8553166, 8.7727428 47.8553808, 8.7727976 47.8553994, 8.7729603 47.8554545, 8.7730979 47.8555069, 8.7732477 47.8555639, 8.773372 47.855607, 8.7736723 47.8557053, 8.7736962 47.8557133, 8.7737057 47.8557164)",,,,,
24871790,False,Scheffelstraße,residential,True,72.648,30,"LINESTRING (8.7732542 47.8576661, 8.7731841 47.8576148, 8.7730732 47.8575335, 8.7730543 47.8575261, 8.7728677 47.8574533, 8.7727048 47.8573943, 8.7724935 47.8572681)",,,,,
"[923303280, 71239427]",False,Schwarzwaldstraße,tertiary,False,19.259,50,"LINESTRING (8.7732542 47.8576661, 8.7733787 47.8576331, 8.773422 47.8576277, 8.7735022 47.8576262)",2,K 6130,,,
