osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel
24843331,Hamburger Straße,residential,30,False,False,189.169,"LINESTRING (9.7165191 53.697984, 9.716526 53.6979467, 9.7165358 53.6979175, 9.7165574 53.6978532, 9.7165922 53.6977346, 9.7168083 53.697419, 9.7170462 53.697085, 9.7172626 53.696814, 9.7174261 53.696643, 9.7176329 53.6964265)",,,
"[120346066, 500790394, 120346075]",Ahrenloher Straße,secondary,50,False,False,294.546,"LINESTRING (9.7165191 53.697984, 9.7156923 53.6980432, 9.7152578 53.6980289, 9.7148716 53.6979805, 9.7145555 53.6979054, 9.7140865 53.6977894, 9.7125615 53.6974138, 9.7122758 53.6973413)","['2', '3']",L 110,yes
500790399,Ahrenloher Straße,secondary,50,False,True,85.723,"LINESTRING (9.7165191 53.697984, 9.7170888 53.6979884, 9.7171948 53.6980112, 9.7177751 53.6981398)",2,L 110,
"[4920288, 336945349]",Jürgen-Siemsen-Straße,tertiary,50,False,False,114.656,"LINESTRING (9.7122758 53.6973413, 9.7113547 53.6971077, 9.7106709 53.6969409)",3,K 20,
20153643,Friedrichstraße,secondary,50,False,False,62.830000000000005,"LINESTRING (9.7122758 53.6973413, 9.7121699 53.6974251, 9.7120522 53.6975183, 9.7118162 53.6977146, 9.7117137 53.6977979)",3,L 107,
"[120346066, 120346075, 500790394]",Ahrenloher Straße,secondary,50,False,True,294.54600000000005,"LINESTRING (9.7122758 53.6973413, 9.7125615 53.6974138, 9.7140865 53.6977894, 9.7145555 53.6979054, 9.7148716 53.6979805, 9.7152578 53.6980289, 9.7156923 53.6980432, 9.7165191 53.697984)","['2', '3']",L 110,yes
"[336945301, 336945302, 29316991]",Esinger Straße,secondary,50,False,True,192.234,"LINESTRING (9.7122758 53.6973413, 9.7124176 53.697275, 9.7126007 53.6971683, 9.7127159 53.6970925, 9.7127628 53.6970568, 9.7128846 53.6969378, 9.7130378 53.6967505, 9.7131375 53.6966285, 9.7133331 53.6963893, 9.7134188 53.6962833, 9.7137183 53.6959093, 9.7137493 53.6958709)",3,L 107,
925929761,Friedrichstraße,secondary,50,False,True,127.08,"LINESTRING (9.7101521 53.6993487, 9.7111095 53.6983563)",,L 107,
18922765,Wilhelm-Schildhauer-Straße,residential,30,False,False,133.695,"LINESTRING (9.7101521 53.6993487, 9.708653 53.6988526, 9.7083794 53.698762)",,,
738867486,Ahrenloher Straße,secondary,50,False,True,18.172,"LINESTRING (9.7177751 53.6981398, 9.7180303 53.6982021)",3,L 110,
500790397,Lindenweg,residential,30,False,True,129.011,"LINESTRING (9.7177751 53.6981398, 9.7178247 53.6980723, 9.7181198 53.6976888, 9.718371 53.6973715, 9.7185981 53.6971481, 9.7186451 53.6971018)",,,
500790399,Ahrenloher Straße,secondary,50,False,False,85.723,"LINESTRING (9.7177751 53.6981398, 9.7171948 53.6980112, 9.7170888 53.6979884, 9.7165191 53.697984)",2,L 110,
26590300,Wittstocker Straße,tertiary,50,False,False,47.127,"LINESTRING (9.7053627 53.6946207, 9.7048655 53.6943158)",2,K 20,
"[986030832, 29317044]",Jürgen-Siemsen-Straße,tertiary,50,False,True,292.135,"LINESTRING (9.7053627 53.6946207, 9.7062303 53.6950571, 9.7064056 53.6951453, 9.7067806 53.6953309, 9.7074769 53.6956375, 9.7078551 53.6958041, 9.7081518 53.6959347, 9.7088575 53.6962372)",2,K 20,
18922765,Wilhelm-Schildhauer-Straße,residential,30,False,False,36.124,"LINESTRING (9.7083794 53.698762, 9.7079244 53.6985804)",,,
18971368,Wegenerstraße,residential,30,False,False,113.197,"LINESTRING (9.7083794 53.698762, 9.7075416 53.699651)",,,
