osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,access
26306713,B 241,Bahnhofstraße,primary,50,False,False,118.125,"LINESTRING (9.8701614 51.6952877, 9.8700077 51.6951458, 9.869851 51.6950262, 9.8695451 51.6947949, 9.8692928 51.6946181, 9.8691936 51.6945467, 9.8690801 51.6944648)",,,
"[235251949, 1034489294, 1034489295, 235251928, 26306718]",B 241,Bahnhofstraße,primary,"['50', '30']",False,False,141.302,"LINESTRING (9.8701614 51.6952877, 9.8702505 51.6953889, 9.8703418 51.6955191, 9.8703541 51.6955378, 9.8704823 51.6957459, 9.8705815 51.6959321, 9.8707648 51.6963573, 9.8708207 51.6964871)",3,yes,
"[35546795, 1034489292]",K 425,Güterbahnhofstraße,tertiary,50,False,True,93.44800000000001,"LINESTRING (9.8701614 51.6952877, 9.8702422 51.6952497, 9.8702979 51.695223, 9.8703314 51.6951952, 9.8703575 51.6951695, 9.870377 51.6951329, 9.8703802 51.6950896, 9.8703679 51.6947613, 9.8703544 51.6945029)",2,,
"[304463697, 35546793, 1017624952]",B 241,Amtsfreiheit,primary,30,False,False,141.12599999999998,"LINESTRING (9.8710445 51.6971872, 9.8710307 51.6972418, 9.8710045 51.697304, 9.8709367 51.6974141, 9.8708946 51.6974712, 9.8708118 51.6975505, 9.8703379 51.697952, 9.8702835 51.698005, 9.8702147 51.6980813, 9.8701846 51.6981198, 9.8701501 51.6981713, 9.8701242 51.6982289, 9.8701083 51.6982967)",,,
"[235251928, 1034489286]",B 241,Bahnhofstraße,primary,"['50', '30']",False,True,79.733,"LINESTRING (9.8710445 51.6971872, 9.8710455 51.6971121, 9.8710286 51.6969857, 9.87101 51.6969267, 9.8709852 51.6968652, 9.8708207 51.6964871)",,,
"[1034489288, 1034489278, 1034489279]",,Mannenstraße,residential,50,False,False,146.877,"LINESTRING (9.8710445 51.6971872, 9.8711941 51.6972285, 9.8712894 51.6972772, 9.8713497 51.6973262, 9.8716646 51.6976395, 9.8722723 51.6982438)",,,
26306713,B 241,Bahnhofstraße,primary,50,False,True,118.125,"LINESTRING (9.8690801 51.6944648, 9.8691936 51.6945467, 9.8692928 51.6946181, 9.8695451 51.6947949, 9.869851 51.6950262, 9.8700077 51.6951458, 9.8701614 51.6952877)",,,
35546743,,Am Stadtpark,residential,,False,False,199.71999999999997,"LINESTRING (9.8690801 51.6944648, 9.8669245 51.6945377, 9.8661867 51.6945621)",,,
"[235251928, 1034489286]",B 241,Bahnhofstraße,primary,"['50', '30']",False,False,79.733,"LINESTRING (9.8708207 51.6964871, 9.8709852 51.6968652, 9.87101 51.6969267, 9.8710286 51.6969857, 9.8710455 51.6971121, 9.8710445 51.6971872)",,,
"[235251949, 1034489294, 1034489295, 235251928, 26306718]",B 241,Bahnhofstraße,primary,"['50', '30']",False,True,141.30199999999996,"LINESTRING (9.8708207 51.6964871, 9.8707648 51.6963573, 9.8705815 51.6959321, 9.8704823 51.6957459, 9.8703541 51.6955378, 9.8703418 51.6955191, 9.8702505 51.6953889, 9.8701614 51.6952877)",3,yes,
32318972,,Mannenstraße,residential,30,False,False,146.594,"LINESTRING (9.873865 51.6997885, 9.8744396 51.7003387, 9.8750207 51.7008953)",,,
"[1034489251, 1034489252, 1034489279]",,Mannenstraße,residential,50,False,True,87.16899999999998,"LINESTRING (9.873865 51.6997885, 9.8737169 51.699653, 9.8736838 51.6996227, 9.8735815 51.6995381, 9.8732543 51.699225, 9.8731668 51.6991352)",,yes,
35546794,B 241,Lange Straße,primary,30,False,True,6.269,"LINESTRING (9.8704717 51.6993244, 9.8704478 51.69927)",,,
35546794,B 241,Lange Straße,primary,30,False,False,56.059,"LINESTRING (9.8704717 51.6993244, 9.8706328 51.6997018, 9.8706771 51.6998122)",,,
32319002,,Scheunenstraße,residential,,True,False,42.218,"LINESTRING (9.8727365 51.6986999, 9.8721794 51.6988578)",1,,
1034489279,,Mannenstraße,residential,50,False,False,56.765,"LINESTRING (9.8727365 51.6986999, 9.8731668 51.6991352)",,,
1034489279,,Mannenstraße,residential,50,False,True,4.81,"LINESTRING (9.8727365 51.6986999, 9.8726993 51.6986633)",,,
32319017,,Kirchstraße,residential,,False,True,68.857,"LINESTRING (9.8722723 51.6982438, 9.871365 51.6985031)",,,
1034489279,,Mannenstraße,residential,50,False,False,55.153,"LINESTRING (9.8722723 51.6982438, 9.8726993 51.6986633)",,,
"[1034489288, 1034489278, 1034489279]",,Mannenstraße,residential,50,False,True,146.877,"LINESTRING (9.8722723 51.6982438, 9.8716646 51.6976395, 9.8713497 51.6973262, 9.8712894 51.6972772, 9.8711941 51.6972285, 9.8710445 51.6971872)",,,
32319063,,An der Kirche,residential,,False,False,108.55799999999999,"LINESTRING (9.8701083 51.6982967, 9.8702583 51.6983027, 9.8706744 51.6982884, 9.871204 51.6982294, 9.871365 51.6985031)",,,
"[1017624952, 304463697, 35546793]",B 241,Amtsfreiheit,primary,30,False,True,141.126,"LINESTRING (9.8701083 51.6982967, 9.8701242 51.6982289, 9.8701501 51.6981713, 9.8701846 51.6981198, 9.8702147 51.6980813, 9.8702835 51.698005, 9.8703379 51.697952, 9.8708118 51.6975505, 9.8708946 51.6974712, 9.8709367 51.6974141, 9.8710045 51.697304, 9.8710307 51.6972418, 9.8710445 51.6971872)",,,
"[1029324848, 1030736194]",B 241,Amtsfreiheit,primary,30,False,False,56.59,"LINESTRING (9.8701083 51.6982967, 9.870104 51.6983502, 9.8701034 51.6983997, 9.8701062 51.6984714, 9.8702399 51.6987951)",,,
32319017,,Kirchstraße,residential,,False,False,68.857,"LINESTRING (9.871365 51.6985031, 9.8722723 51.6982438)",,,
32319017,,Kirchstraße,residential,,False,True,8.111,"LINESTRING (9.871365 51.6985031, 9.8712581 51.6985336)",,,
32319063,,An der Kirche,residential,,False,True,108.558,"LINESTRING (9.871365 51.6985031, 9.871204 51.6982294, 9.8706744 51.6982884, 9.8702583 51.6983027, 9.8701083 51.6982967)",,,
1034489271,B 241,Lange Straße,primary,30,False,False,22.011,"LINESTRING (9.8702399 51.6987951, 9.8703232 51.6989862)",,,
32319017,,Kirchstraße,residential,,False,False,76.019,"LINESTRING (9.8702399 51.6987951, 9.8703451 51.6987769, 9.8712581 51.6985336)",,,
"[1029324848, 1030736194]",B 241,Amtsfreiheit,primary,30,False,True,56.59,"LINESTRING (9.8702399 51.6987951, 9.8701062 51.6984714, 9.8701034 51.6983997, 9.870104 51.6983502, 9.8701083 51.6982967)",,,
35546779,,Methestraße,residential,,False,True,87.327,"LINESTRING (9.8675929 51.6993047, 9.8664304 51.6996172)",,,
35139858,,Neue Straße,residential,,False,False,136.586,"LINESTRING (9.8675929 51.6993047, 9.8683386 51.6990756, 9.8685107 51.6990449, 9.8694798 51.6990126)",,,
1034489125,,Waldweg,residential,,False,True,123.368,"LINESTRING (9.8675929 51.6993047, 9.8673838 51.698613, 9.8672633 51.6982142)",,,
"[1034489216, 1034489217, 1034489260]",,Neuemarktstraße,residential,,False,False,152.451,"LINESTRING (9.8675929 51.6993047, 9.8677898 51.6997371, 9.8678098 51.6997809, 9.8678278 51.6998205, 9.867951 51.7000181, 9.8681757 51.7002562, 9.8685381 51.7005212)",,yes,
35139858,,Neue Straße,residential,,False,True,58.199,"LINESTRING (9.8703232 51.6989862, 9.8694798 51.6990126)",,,
35546794,B 241,Lange Straße,primary,30,False,False,32.705,"LINESTRING (9.8703232 51.6989862, 9.8704478 51.69927)",,,
1034489271,B 241,Lange Straße,primary,30,False,True,22.011,"LINESTRING (9.8703232 51.6989862, 9.8702399 51.6987951)",,,
