osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,access
150445881,2,L 1077,Unterm Markt,secondary,50,False,False,87.68900000000001,"LINESTRING (11.7275909 50.8577751, 11.7271546 50.8576224, 11.7271063 50.8575698, 11.7270608 50.8574831, 11.7270552 50.857367, 11.7270658 50.857271, 11.7270779 50.8571621)",,,
289276810,3,L 1077,Amtsplatz,tertiary,50,False,True,49.429,"LINESTRING (11.7275909 50.8577751, 11.7275646 50.8578167, 11.7275253 50.8578679, 11.7272351 50.8580827, 11.7271713 50.8581279)",,,
1076284765,2,L 1076,Geraer Straße,secondary,50,False,True,42.95,"LINESTRING (11.7275909 50.8577751, 11.7280205 50.8579339, 11.7281191 50.8579701)",5,,
"[30529144, 151101793, 151101794]",,,Hainbüchter Weg,residential,30,False,False,38.333,"LINESTRING (11.7234865 50.8625152, 11.7235333 50.862451, 11.7235999 50.8623871, 11.723744 50.8623164, 11.7238503 50.8622686)",3,yes,
"[34137790, 96714143]",,,Goetheweg,residential,,False,False,155.642,"LINESTRING (11.7329625 50.8618553, 11.7330035 50.861689, 11.7330853 50.8612652, 11.7331574 50.8609735, 11.7331891 50.8608452, 11.7332594 50.8604684)",,,
96622180,,,Am Burgblick,residential,,False,False,148.91500000000002,"LINESTRING (11.7329625 50.8618553, 11.7322806 50.8617613, 11.73221 50.86175, 11.7314239 50.8616421, 11.7313405 50.8616307, 11.7308901 50.8615683)",,,
34137792,,,Tachover Ring,residential,,False,False,116.908,"LINESTRING (11.7332594 50.8604684, 11.732298 50.8604203, 11.7315993 50.8603827)",,,
"[34137790, 96714143]",,,Goetheweg,residential,,False,True,155.642,"LINESTRING (11.7332594 50.8604684, 11.7331891 50.8608452, 11.7331574 50.8609735, 11.7330853 50.8612652, 11.7330035 50.861689, 11.7329625 50.8618553)",,,
149760595,,,Eigenheimweg,residential,30,False,False,140.377,"LINESTRING (11.7292041 50.8615471, 11.7291887 50.861489, 11.7291872 50.8610248, 11.7291579 50.8609828, 11.7290403 50.8609439, 11.7284129 50.860946, 11.7281402 50.8609416, 11.7280746 50.8609406)",3,,
1076284768,,,Sonnenscheinweg,residential,,False,True,99.65599999999999,"LINESTRING (11.7292041 50.8615471, 11.7293424 50.861531, 11.7295865 50.8615527, 11.7296839 50.8615622, 11.730295 50.8616218, 11.7303907 50.8616206, 11.7304622 50.8616076, 11.7305494 50.8615339)",,,
149760598,,,Felsenkellerhohle,residential,,False,False,93.085,"LINESTRING (11.7255673 50.8604235, 11.7265674 50.8600861, 11.7266874 50.8599913)",,,
365075093,,,Felsenkellerhohle,residential,30,False,False,186.832,"LINESTRING (11.7255673 50.8604235, 11.7262275 50.8606291, 11.7270591 50.8608077, 11.7274888 50.860905, 11.727849 50.8609429, 11.7280746 50.8609406)",,,
"[1074135794, 365075093]",,,Felsenkellerhohle,residential,"['50', '30']",False,True,89.385,"LINESTRING (11.7255673 50.8604235, 11.7245351 50.8601845, 11.7243725 50.8601453)",,,
"[289276811, 149994646]",,,"['Amtsplatz', 'An der Roda']",residential,,False,False,293.21599999999995,"LINESTRING (11.7271713 50.8581279, 11.7272345 50.8586107, 11.7272676 50.8586446, 11.7273816 50.8586688, 11.7274667 50.8586785, 11.7274905 50.8587001, 11.7274667 50.8590118, 11.7274282 50.8590797, 11.7273808 50.859118, 11.7272961 50.859173, 11.7269911 50.8593353, 11.7267618 50.8594368, 11.7266375 50.8594716, 11.7264561 50.8595013, 11.7261308 50.8594807, 11.7260913 50.8594834, 11.7258719 50.8594983, 11.7255332 50.859547, 11.7252725 50.859615, 11.7252088 50.8595935)",,,
"[150445872, 150445877, 150445878]",2,L 1077,Amtsplatz,tertiary,50,False,"[False, True]",30.650000000000002,"LINESTRING (11.7271713 50.8581279, 11.7270972 50.8581837, 11.7269369 50.8582869, 11.7268754 50.8583304)",,yes,
289276810,3,L 1077,Amtsplatz,tertiary,50,False,False,49.429,"LINESTRING (11.7271713 50.8581279, 11.7272351 50.8580827, 11.7275253 50.8578679, 11.7275646 50.8578167, 11.7275909 50.8577751)",,,
"[180135136, 289276856, 180135135]",2,L 1077,"['Straße des Friedens', 'Klosterstraße']",tertiary,50,False,True,39.594,"LINESTRING (11.7252088 50.8595935, 11.7253455 50.8595158, 11.7255585 50.8593912, 11.7256332 50.8593598)",,yes,
"[289276811, 149994646]",,,"['An der Roda', 'Amtsplatz']",residential,,False,True,293.216,"LINESTRING (11.7252088 50.8595935, 11.7252725 50.859615, 11.7255332 50.859547, 11.7258719 50.8594983, 11.7260913 50.8594834, 11.7261308 50.8594807, 11.7264561 50.8595013, 11.7266375 50.8594716, 11.7267618 50.8594368, 11.7269911 50.8593353, 11.7272961 50.859173, 11.7273808 50.859118, 11.7274282 50.8590797, 11.7274667 50.8590118, 11.7274905 50.8587001, 11.7274667 50.8586785, 11.7273816 50.8586688, 11.7272676 50.8586446, 11.7272345 50.8586107, 11.7271713 50.8581279)",,,
"[1074135792, 1074135793, 1074135795]",2,L 1077,Klosterstraße,tertiary,50,False,True,85.939,"LINESTRING (11.7252088 50.8595935, 11.7246935 50.859881, 11.7244023 50.8600448, 11.7242904 50.8601046)",,,
149377503,,,Brauhausplatz,residential,50,False,True,105.135,"LINESTRING (11.7266919 50.8560143, 11.7268243 50.85595, 11.7269687 50.8559081, 11.7272508 50.8558789, 11.7274475 50.8558484, 11.7275767 50.8557849, 11.7277005 50.855733, 11.7279401 50.8556659, 11.7280397 50.8556381)",3,,
34140446,2,K 101,Markt,tertiary,,False,True,57.798,"LINESTRING (11.7278281 50.8573161, 11.72761 50.857204, 11.7275607 50.8571875, 11.727518 50.8571815, 11.7273855 50.8571681, 11.7272712 50.8571596, 11.7270779 50.8571621)",,,
149994659,,,Kirchweg,residential,,True,False,57.279,"LINESTRING (11.7278281 50.8573161, 11.7276209 50.8574555, 11.7276015 50.8574843, 11.7275915 50.8575165, 11.7276002 50.8576203, 11.727607 50.8577255, 11.7275909 50.8577751)",2,,
289276850,2,K 101,Schloßstraße,tertiary,,False,False,243.448,"LINESTRING (11.7278281 50.8573161, 11.7279451 50.8574522, 11.7280484 50.8575254, 11.7282143 50.8575794, 11.7284317 50.857573, 11.7286383 50.857539, 11.7288427 50.8574213, 11.7292241 50.8570671, 11.7294203 50.8569254, 11.7300166 50.8565418, 11.7302009 50.8563967, 11.7302367 50.8563741)",,,
"[149377480, 1074235623]",,,Kirchweg,residential,,False,False,237.764,"LINESTRING (11.7278281 50.8573161, 11.728123 50.8571404, 11.7282679 50.8569529, 11.7283574 50.8567514, 11.7284086 50.8567162, 11.7285653 50.8566303, 11.728651 50.8566013, 11.7287788 50.8565534, 11.7288801 50.8565634, 11.7291034 50.8566414, 11.7291804 50.8567025, 11.7291919 50.856729, 11.7294697 50.8566438, 11.7297583 50.8564913, 11.7300872 50.8563472, 11.7301501 50.8563298, 11.7302367 50.8563741)",,,
149851543,,,Burggraben,residential,,False,True,202.62400000000002,"LINESTRING (11.7233223 50.8553175, 11.7232648 50.8553436, 11.723115 50.8553462, 11.7228557 50.8555077, 11.7226555 50.8556259, 11.7223845 50.8556493, 11.7212713 50.8557454, 11.7210951 50.8557464, 11.7209511 50.8557981, 11.7208496 50.8558952, 11.7208373 50.8559606)",,,no
289276825,,,Gneuser Straße,residential,,False,True,149.62800000000001,"LINESTRING (11.7233223 50.8553175, 11.7233949 50.8553357, 11.7235005 50.8553622, 11.723816 50.8553991, 11.7247465 50.855437, 11.7248753 50.8554423, 11.7254319 50.8554622)",,,
35151201,2,K 101,Schloßstraße,tertiary,,False,False,49.244,"LINESTRING (11.7302367 50.8563741, 11.7303107 50.8563363, 11.730396 50.8562734, 11.7307591 50.8560799)",,,
