osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,access,junction
30971446,1,Rochlitzer Straße,residential,50,False,False,28.354,"LINESTRING (12.6485901 51.141277, 12.6484123 51.1413385, 12.6482317 51.1413972)",,,,,
49014675,3,Turnerstraße,primary,50,False,False,26.435000000000002,"LINESTRING (12.6485901 51.141277, 12.6484399 51.1412347, 12.6482735 51.14115)",B 176,9.0,,,
"[340384390, 194198447]",2,Gartenstraße,residential,50,False,True,194.425,"LINESTRING (12.6485901 51.141277, 12.6486238 51.1413824, 12.6487759 51.141634, 12.6488229 51.1417637, 12.6488302 51.1419426, 12.6487467 51.1422058, 12.6485823 51.1426511, 12.6485183 51.1427537, 12.6484068 51.142857, 12.6483457 51.1429489)",,,,,
286852533,3,Bornaer Straße,secondary,50,False,False,13.275,"LINESTRING (12.6363082 51.1442044, 12.6364788 51.1442573)",S 11,9.0,,,
23901982,3,Bornaer Straße,primary,50,False,False,79.532,"LINESTRING (12.6363082 51.1442044, 12.6360589 51.1441338, 12.6358533 51.1440767, 12.6355045 51.1439743, 12.6352669 51.1439135)",B 176,9.0,,,
"[360026331, 49014676]",2,Hospitalstraße,primary,50,False,True,268.6120000000001,"LINESTRING (12.6363082 51.1442044, 12.6363758 51.14408, 12.63643 51.1439737, 12.6364758 51.1438574, 12.6365418 51.1436992, 12.6365809 51.1436224, 12.6366269 51.1435577, 12.6367025 51.1434947, 12.6368067 51.1434483, 12.6368762 51.1434301, 12.6369443 51.1434206, 12.6371985 51.143396, 12.6374146 51.1433772, 12.6377555 51.1433443, 12.6379196 51.1433235, 12.6380752 51.1433006, 12.6382849 51.1432635, 12.6383635 51.1432465, 12.6384939 51.1432182, 12.6386912 51.143172, 12.6389276 51.1431105, 12.6392163 51.1430262)",B 176,,,,
"[30996642, 930605684]",2,Leipziger Straße,secondary,50,False,False,98.852,"LINESTRING (12.6377772 51.1446343, 12.6377886 51.1446647, 12.6377777 51.1446894, 12.6377477 51.1447178, 12.6376996 51.1447581, 12.6376497 51.1448046, 12.6376139 51.1448524, 12.6375879 51.1448937, 12.6375579 51.1449584, 12.6375418 51.145015, 12.6375324 51.1450704, 12.6375279 51.1451413, 12.6375194 51.145222, 12.6375118 51.1453022, 12.6375204 51.1453842, 12.6375373 51.1454395, 12.6375552 51.1454812)",S 11,7.5,,,
"[262077898, 286852533]","['2', '3']",Bornaer Straße,secondary,50,False,True,100.375,"LINESTRING (12.6377772 51.1446343, 12.6377624 51.1446202, 12.6377323 51.1446036, 12.6376513 51.1445878, 12.6374865 51.1445557, 12.6373357 51.1445156, 12.6369906 51.1444145, 12.6367213 51.1443318, 12.6366736 51.1443171, 12.6364788 51.1442573)",S 11,"['9.0', '7.5']",,,
"[30919899, 1122849207]",1,Straße der Einheit,residential,30,True,False,78.724,"LINESTRING (12.6377772 51.1446343, 12.6378785 51.1446133, 12.6379998 51.1445995, 12.6380786 51.1445906, 12.6384706 51.1445321, 12.6385281 51.1445069, 12.6388624 51.1444524)",,,,,
930605685,2,Leipziger Straße,secondary,50,False,True,78.43,"LINESTRING (12.6358053 51.1472122, 12.6358538 51.1471474, 12.6359477 51.1470583, 12.6361202 51.1469185, 12.6363579 51.1467852, 12.6365588 51.1467036)",S 11,7.5,,,
30957787,,Straße der Einheit,residential,30,False,False,40.536,"LINESTRING (12.6412513 51.1443314, 12.6414821 51.1443366, 12.641832 51.1443445)",,5.25,,,
"[31810654, 1104018079]",,Straße der Einheit,residential,30,False,True,95.476,"LINESTRING (12.6412513 51.1443314, 12.6411846 51.1443391, 12.6410999 51.1443418, 12.6408328 51.1443424, 12.6406179 51.1443428, 12.640535 51.1443604, 12.6398885 51.1443627)",,5.25,,,
"[30932508, 1208321495]",,Marktstraße,residential,30,False,False,77.07300000000001,"LINESTRING (12.6412513 51.1443314, 12.6412765 51.1441485, 12.6413168 51.1438551, 12.641342 51.1437904, 12.6413476 51.1437645, 12.641374 51.1436433)",,5.25,,,
30932510,1,Straße der Einheit,residential,30,False,False,24.455,"LINESTRING (12.6436974 51.1431206, 12.6437716 51.1432426, 12.6438124 51.1433282)",,5.5,,,
30955230,1,August-Bebel-Straße,residential,30,False,False,47.68,"LINESTRING (12.6436974 51.1431206, 12.6435748 51.143165, 12.643281 51.1432524, 12.6430831 51.1433079)",,5.0,,,
30932510,1,Straße der Einheit,residential,30,False,False,6.286,"LINESTRING (12.6438124 51.1433282, 12.6438093 51.1433847)",,5.5,,,
30932510,1,Straße der Einheit,residential,30,False,True,24.455,"LINESTRING (12.6438124 51.1433282, 12.6437716 51.1432426, 12.6436974 51.1431206)",,5.5,,,
105499407,2,Fabianstraße,residential,30,False,True,57.369,"LINESTRING (12.6438124 51.1433282, 12.6442282 51.1433768, 12.6446218 51.1434194)",,5.5,,,
"[105189008, 30957788]",1,Straße der Einheit,residential,30,False,True,106.174,"LINESTRING (12.6432945 51.1442018, 12.6431821 51.1442602, 12.6430478 51.1443029, 12.6429084 51.1443312, 12.6427982 51.14434, 12.6427187 51.1443464, 12.6426528 51.1443492, 12.6425185 51.144352, 12.642448 51.1443517, 12.6422412 51.1443572, 12.6419965 51.1443526, 12.641832 51.1443445)",,"['5.25', '4.7']",,,
911729354,2,Wilhelm-Pieck-Straße,residential,30,False,False,70.824,"LINESTRING (12.6432945 51.1442018, 12.6440085 51.144563, 12.6440851 51.1446014)",,,,,
"[1210534914, 340384395, 1210534543, 106102774, 1104018105, 1104018106]",2,Querstraße,residential,30,False,False,140.14600000000002,"LINESTRING (12.6440851 51.1446014, 12.6441546 51.1445559, 12.6443369 51.1443893, 12.6444357 51.1442543, 12.6444537 51.1442298, 12.6444781 51.1441826, 12.6444992 51.1441417, 12.6445302 51.1440543, 12.6445632 51.1438788, 12.6445743 51.1437915, 12.6445857 51.1437022, 12.6446132 51.1434868, 12.6446218 51.1434194)",,"['5.1', '5']",,,
"[30003936, 360020699, 1122849205, 1122849206]",2,Querstraße,residential,30,False,True,180.322,"LINESTRING (12.6440851 51.1446014, 12.6440104 51.1446495, 12.6439838 51.1446728, 12.6439445 51.1447073, 12.6438264 51.1448108, 12.6438116 51.1448219, 12.6437472 51.1448705, 12.6436271 51.1449353, 12.6435676 51.1449541, 12.6433701 51.1450165, 12.6432635 51.1450502, 12.6432293 51.1450605, 12.6431446 51.1450858, 12.6429253 51.1451514, 12.6427892 51.1452013, 12.6426713 51.1452445, 12.642499 51.1453186, 12.6424693 51.1453314, 12.6422171 51.1454659, 12.6421794 51.145486, 12.6420745 51.1455763)",,,,,
911729354,2,Wilhelm-Pieck-Straße,residential,30,False,True,70.824,"LINESTRING (12.6440851 51.1446014, 12.6440085 51.144563, 12.6432945 51.1442018)",,,,,
"[30919900, 1104030165]",2,Wilhelm-Pieck-Straße,residential,30,False,False,53.46999999999999,"LINESTRING (12.6440851 51.1446014, 12.6441776 51.1446565, 12.6445166 51.1448318, 12.6446089 51.1448805, 12.6446694 51.1449124)",,,,,
105499407,2,Fabianstraße,residential,30,False,False,57.369,"LINESTRING (12.6446218 51.1434194, 12.6442282 51.1433768, 12.6438124 51.1433282)",,5.5,,,
"[30003917, 288165471]",2,Fabianstraße,residential,30,False,True,43.666,"LINESTRING (12.6446218 51.1434194, 12.6449557 51.1434421, 12.6452427 51.1434686)",,,,,
"[1210534914, 340384395, 1210534543, 106102774, 1104018105, 1104018106]",2,Querstraße,residential,30,False,True,140.14600000000002,"LINESTRING (12.6446218 51.1434194, 12.6446132 51.1434868, 12.6445857 51.1437022, 12.6445743 51.1437915, 12.6445632 51.1438788, 12.6445302 51.1440543, 12.6444992 51.1441417, 12.6444781 51.1441826, 12.6444537 51.1442298, 12.6444357 51.1442543, 12.6443369 51.1443893, 12.6441546 51.1445559, 12.6440851 51.1446014)",,"['5.1', '5']",,,
"[254307974, 194198447]","['2', '3']","['Bahnhofstraße', 'Gartenstraße']",residential,50,False,False,92.525,"LINESTRING (12.6480523 51.1437477, 12.6482117 51.1435536, 12.6482766 51.1434253, 12.6482902 51.143355, 12.6483195 51.1430269, 12.6483457 51.1429489)",,6.0,,,
"[254307974, 1104009575]","['3', '1']",Bahnhofstraße,residential,50,False,True,178.18900000000002,"LINESTRING (12.6480523 51.1437477, 12.647943 51.1438761, 12.6478758 51.1439552, 12.6477979 51.144047, 12.6477252 51.1441344, 12.6475812 51.1443062, 12.6473759 51.1445458, 12.6468378 51.1451574)",,6.0,,,
"[1056264452, 30003917, 1208321494]",2,Fabianstraße,residential,30,False,False,87.753,"LINESTRING (12.6480523 51.1437477, 12.6476546 51.1437092, 12.6472927 51.1436741, 12.6472607 51.143671, 12.6470704 51.1436526, 12.6468091 51.1436273)",,9.5,,,
"[418500139, 1080887531, 340384391]",2,Käthe-Kollwitz-Straße,residential,"['50', '30']",False,False,109.977,"LINESTRING (12.6386003 51.1461173, 12.6386809 51.1460755, 12.6387399 51.1460389, 12.6387854 51.1460018, 12.6389152 51.1458526, 12.6390214 51.1457376, 12.6390915 51.1456647, 12.6391802 51.1455724, 12.6392372 51.1455184, 12.6393433 51.1454109, 12.6394682 51.1452978)",,"['8.4', '7.6', '6.7']",,,
340384392,2,Käthe-Kollwitz-Straße,residential,,False,True,94.21600000000001,"LINESTRING (12.6386003 51.1461173, 12.6386225 51.1461567, 12.6386587 51.1462333, 12.63847 51.1469492)",,9.1,,,
548666711,1,Käthe-Kollwitz-Straße,residential,50,False,True,13.977,"LINESTRING (12.6386003 51.1461173, 12.6385193 51.1461448, 12.6384217 51.1461742)",,6.7,,,
30957786,1,Frohburger Straße,residential,30,False,True,78.713,"LINESTRING (12.6392163 51.1430262, 12.639386 51.1431578, 12.6395334 51.1432818, 12.6397248 51.1434179, 12.6397863 51.1434615, 12.6399388 51.1435694)",,5.0,,,
