osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,width,tunnel,junction,access,bridge
145590472,Breite Straße,residential,50,False,False,6.95,,"LINESTRING (13.9390566 50.9579788, 13.939057 50.9579163)",,,,,,
"[145590458, 419054210]",Breite Straße,residential,30,False,True,189.754,3,"LINESTRING (13.9390566 50.9579788, 13.9390582 50.9581172, 13.9390592 50.9581478, 13.9390494 50.9586444, 13.9390503 50.9586972, 13.939058 50.9591513, 13.9390596 50.9592486, 13.939054 50.9596852)",,,,,,
145590473,Königsteiner Straße,primary,50,True,False,113.388,2,"LINESTRING (13.9390566 50.9579788, 13.9389461 50.9579875, 13.9388307 50.9579888, 13.9377124 50.957957, 13.9374401 50.9579481)",B 172,,,,,
27049070,Schandauer Straße,primary,30,False,True,28.79,2,"LINESTRING (13.9449206 50.9578205, 13.9448601 50.957846, 13.9448022 50.9578676, 13.9446618 50.9578828, 13.9445353 50.9578686)",B 172,,,,,
"[27048322, 1124255325]",Bergstraße,residential,30,False,False,117.936,,"LINESTRING (13.9449206 50.9578205, 13.9449508 50.9578565, 13.9450189 50.95796, 13.9450547 50.9580659, 13.9450868 50.958161, 13.9451494 50.9583734, 13.9451781 50.9584643, 13.9452452 50.9587062, 13.9452684 50.9588335, 13.9452705 50.9588534)",,"['6', '5.4']",,,,
27089839,Dohnaischer Platz,residential,30,True,False,67.908,,"LINESTRING (13.9387828 50.9609074, 13.9387355 50.9609754, 13.9386572 50.9610108, 13.9385585 50.9610329, 13.9380396 50.9611125, 13.9379268 50.961131)",,,,,,
31509726,Breite Straße,residential,30,False,False,31.665,,"LINESTRING (13.9387828 50.9609074, 13.9388783 50.9608266, 13.9389749 50.9607337, 13.9390312 50.9606699)",,,,,,
27827638,Brückenstraße,unclassified,,False,True,42.543,2,"LINESTRING (13.9340229 50.9637109, 13.9341091 50.9636903, 13.934216 50.9636904, 13.9343771 50.9637038, 13.9346164 50.9637394)",,,,,,
229189505,,secondary,,False,True,30.695,3,"LINESTRING (13.9340229 50.9637109, 13.934041 50.9637314, 13.9341163 50.9638287, 13.9341966 50.9639639)",S 164,,,,,
362254361,Königsteiner Straße,primary,50,False,True,31.195999999999998,4,"LINESTRING (13.9324013 50.9572734, 13.9326301 50.9572703, 13.9328464 50.9572768)",B 172,,,,,
24360152,Rosa-Luxemburg-Straße,residential,30,False,False,80.269,,"LINESTRING (13.9326317 50.9626441, 13.9329021 50.9619426)",,,,,,
"[237301965, 27827695, 27827697, 135317944, 25838777]",Rosa-Luxemburg-Straße,residential,30,False,True,79.92399999999999,,"LINESTRING (13.9326317 50.9626441, 13.9326002 50.9626886, 13.9324573 50.962887, 13.9323604 50.9630519, 13.9323192 50.9631087, 13.9322274 50.9632854, 13.9322146 50.9633122)",,,yes,,,
"[200033384, 1248991372, 1248991373, 991706287, 1248991378]",Klosterstraße,residential,30,True,False,239.071,,"LINESTRING (13.9326317 50.9626441, 13.9332018 50.9629011, 13.9332148 50.962907, 13.9333668 50.9629936, 13.9334507 50.9630414, 13.9336749 50.9630845, 13.9338989 50.9630861, 13.9339695 50.9630879, 13.9346075 50.9631023, 13.9348916 50.9631087, 13.9356639 50.9631261, 13.935816 50.963141)",,,,,,
27089837,Bahnhofstraße,residential,30,False,True,174.94299999999998,,"LINESTRING (13.9333475 50.9609858, 13.9338204 50.9610114, 13.9343869 50.9610421, 13.934654 50.9610566, 13.9348664 50.9610681, 13.9358357 50.9611242)",,,,,,
30813730,Rosa-Luxemburg-Straße,residential,30,True,False,164.772,,"LINESTRING (13.9333475 50.9609858, 13.933605 50.9599141, 13.9336551 50.9597152, 13.9337041 50.9595211)",,,,,,
27853416,Lauterbachstraße,residential,30,True,False,126.983,,"LINESTRING (13.935816 50.963141, 13.9358001 50.9627364, 13.9357698 50.9622823, 13.9357791 50.9619996)",,,,,,
"[1248991370, 1248991371, 27853415]",Klosterstraße,residential,30,False,False,116.501,,"LINESTRING (13.935816 50.963141, 13.9362103 50.9631522, 13.9367548 50.9631676, 13.9374774 50.9631935)",,,,,,
"[1266650355, 1248991366]",Grohmannstraße,residential,30,True,False,63.616,,"LINESTRING (13.938142 50.9632118, 13.9381911 50.9633571, 13.9382042 50.9633964, 13.938254 50.963522, 13.9383521 50.9637422, 13.9383629 50.9637665)",,,,,,
"[1248991368, 1248991369, 27853415, 1248991367]",Klosterstraße,residential,30,False,True,46.58800000000001,,"LINESTRING (13.938142 50.9632118, 13.9380608 50.9632095, 13.9377406 50.9632006, 13.9377044 50.9631996, 13.9376767 50.9631988, 13.9376063 50.9631969, 13.9374774 50.9631935)",,,,,,
1157243039,Gartenstraße,residential,30,True,False,142.915,,"LINESTRING (13.9378189 50.9619627, 13.9374188 50.9619699, 13.9357791 50.9619996)",,,,,,
"[556995657, 1157243041, 1157243042]",Grohmannstraße,residential,30,True,False,72.649,,"LINESTRING (13.9378189 50.9619627, 13.9378224 50.9619818, 13.9378344 50.9620481, 13.9379249 50.9624975, 13.937938 50.9626116)",,,,,,
