osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,access
39324492,L 01,Wismarsche Straße,secondary,50,False,True,35.875,"LINESTRING (11.1669883 53.9657207, 11.1669615 53.9657306, 11.1665464 53.9659117)",,,
154005113,,Boltenhagener Straße,residential,50,False,False,48.446,"LINESTRING (11.1669883 53.9657207, 11.1671066 53.9657842, 11.1672822 53.9658784, 11.1675507 53.9660038)",,,
154005284,L 01,Wismarsche Straße,secondary,50,False,True,167.081,"LINESTRING (11.1669883 53.9657207, 11.1675299 53.9654627, 11.167793 53.9653294, 11.1678894 53.9652755, 11.1682676 53.9650641, 11.1687175 53.9648534, 11.1689832 53.9648008)",,,
196111344,,Mühlenberg,residential,,False,False,209.809,"LINESTRING (11.1608508 53.9678092, 11.1623228 53.9684634, 11.1634423 53.9689205)",,,
562383112,L 01,Lübecker Straße,secondary,50,False,False,91.905,"LINESTRING (11.1608508 53.9678092, 11.1615376 53.9671677, 11.1616308 53.9671268)",,,
33087943,,Rudolf-Breitscheid-Straße,residential,,False,False,206.026,"LINESTRING (11.1616308 53.9671268, 11.1614233 53.967043, 11.1610386 53.9669047, 11.1606606 53.9667782, 11.1589373 53.966167)",,,
39325581,L 01,Rudolf-Breitscheid-Straße,secondary,50,False,False,154.74899999999997,"LINESTRING (11.1616308 53.9671268, 11.1617515 53.9671464, 11.1625849 53.9674233, 11.1632323 53.9676305, 11.1633338 53.9676519, 11.1634361 53.9676613, 11.1635407 53.9676602, 11.1636463 53.9676476, 11.1637599 53.9676203)",,,
562383112,L 01,Lübecker Straße,secondary,50,False,True,91.905,"LINESTRING (11.1616308 53.9671268, 11.1615376 53.9671677, 11.1608508 53.9678092)",,,
"[383948257, 34126940]",,Im Thurow,residential,,False,False,15.041,"LINESTRING (11.1649338 53.967221, 11.1649401 53.9672211, 11.165071 53.967195, 11.1651564 53.9671962)",,,
39325578,L 01,Am Markt,secondary,50,False,False,41.845000000000006,"LINESTRING (11.1649338 53.967221, 11.1649363 53.967208, 11.1649329 53.9671926, 11.1646554 53.9669331, 11.1646417 53.9669045, 11.1646406 53.9668931)",,,
39325581,L 01,Rudolf-Breitscheid-Straße,secondary,50,False,True,89.387,"LINESTRING (11.1649338 53.967221, 11.1649267 53.9672328, 11.1649153 53.9672457, 11.164249 53.9674422, 11.1637599 53.9676203)",,,
39325578,L 01,Am Markt,secondary,50,False,True,41.84499999999999,"LINESTRING (11.1646406 53.9668931, 11.1646417 53.9669045, 11.1646554 53.9669331, 11.1649329 53.9671926, 11.1649363 53.967208, 11.1649338 53.967221)",,,
"[39325579, 39324492]",L 01,Wismarsche Straße,secondary,50,False,False,167.74599999999998,"LINESTRING (11.1646406 53.9668931, 11.1646447 53.966879, 11.1646685 53.9668368, 11.1652286 53.9664763, 11.1656712 53.9662464, 11.1662487 53.966026, 11.1665464 53.9659117)",,,
73850839,,Schloßstraße,residential,50,False,True,81.003,"LINESTRING (11.1646406 53.9668931, 11.1645207 53.9668611, 11.1643383 53.9667286, 11.1642633 53.9666497, 11.1642249 53.9666033, 11.1641141 53.9664691, 11.1640127 53.9662894)",,,
27521840,,Im Kaiser,residential,,False,False,228.02199999999993,"LINESTRING (11.165136 53.969376, 11.1645402 53.969064, 11.1642608 53.9689177, 11.164185 53.9687009, 11.1641767 53.9684743, 11.1641753 53.9683931, 11.1641876 53.9683288, 11.1641955 53.9682346, 11.1641872 53.968166, 11.1641371 53.9680499, 11.1640468 53.9679229, 11.1639594 53.9678244, 11.1638744 53.9677286, 11.1638473 53.9676962, 11.1638079 53.9676619, 11.1637599 53.9676203)",1,2,
33080616,,An der Mühle,residential,,False,False,54.351,"LINESTRING (11.165136 53.969376, 11.1649381 53.9695329, 11.164657 53.9697753)",,,
387913942,,Dorfstraße,residential,30,False,True,213.66400000000002,"LINESTRING (11.165136 53.969376, 11.1657 53.9696575, 11.1660696 53.9698788, 11.1661755 53.9699766, 11.1663493 53.97012, 11.1669443 53.970557, 11.1670406 53.9706615, 11.1671821 53.9708493)",,,
27584081,,Predigerstraße,residential,,True,False,117.864,"LINESTRING (11.1653856 53.965101, 11.1665464 53.9659117)",,,
