osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,bridge,access
291505847,B 236,Borker Straße,primary,50,False,False,10.349,,"LINESTRING (7.5219913 51.6185376, 7.5220415 51.6184499)",,,
"[4250548, 620657094, 620657095]",,Konrad-Adenauer-Straße,tertiary,50,True,False,175.055,2,"LINESTRING (7.5219913 51.6185376, 7.5217406 51.6184673, 7.5210267 51.6182431, 7.5206281 51.6181233, 7.520445 51.6180706, 7.5202667 51.6180259, 7.5201318 51.6179921, 7.51969 51.6178788)",,,
10354372,B 236,Kurt-Schumacher-Straße,primary,50,True,False,19.709,2,"LINESTRING (7.5264056 51.6175207, 7.5262887 51.6176824)",,,
291505851,B 54,Münsterstraße,primary,50,False,False,11.415,,"LINESTRING (7.5264056 51.6175207, 7.5262612 51.6174707)",,,
121384366,B 54,Münsterstraße,primary,50,False,True,17.919999999999998,3,"LINESTRING (7.5264056 51.6175207, 7.526513 51.6175553, 7.5265522 51.6175679, 7.526636 51.6175949)",,,
"[25189017, 484184513]",,Cappenberger Straße,residential,30,True,False,56.562,,"LINESTRING (7.5246245 51.6171956, 7.5245627 51.6174693, 7.5245379 51.6175831, 7.5245151 51.6176997)",,,
484184513,,Cappenberger Straße,residential,30,True,False,9.367,,"LINESTRING (7.5245151 51.6176997, 7.5245073 51.6177838)",,,
179254040,,Goldbrinkstraße,residential,30,False,False,97.83399999999999,,"LINESTRING (7.5245151 51.6176997, 7.5248836 51.6177518, 7.5250065 51.6177671, 7.525243 51.6177967, 7.5256936 51.617845, 7.5257786 51.6178567, 7.5259037 51.617874)",,,
4218473,L 810,Cappenberger Straße,secondary,50,False,True,12.055,3,"LINESTRING (7.5245008 51.6185679, 7.5244982 51.6184595)",,,
111669987,B 236,Konrad-Adenauer-Straße,primary,50,True,False,23.904,2,"LINESTRING (7.5245008 51.6185679, 7.52436 51.6185907, 7.5241658 51.6186222)",,,
4218473,L 810,Cappenberger Straße,secondary,50,False,False,12.055,3,"LINESTRING (7.5244982 51.6184595, 7.5245008 51.6185679)",,,
25190220,,Cappenberger Straße,residential,30,False,True,20.573999999999998,3,"LINESTRING (7.5244982 51.6184595, 7.5244989 51.6183697, 7.5244992 51.6183348, 7.524502 51.6182745)",,,
53798383,B 236,Kurt-Schumacher-Straße,primary,50,True,False,25.453,2,"LINESTRING (7.5244982 51.6184595, 7.5246479 51.6184329, 7.5248478 51.6183873)",,,
