osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge,access
25160228,Straße der Jugend,residential,False,False,185.792,"LINESTRING (12.8867412 51.6368199, 12.8868168 51.6369015, 12.8868499 51.6369573, 12.8868431 51.6370438, 12.8866153 51.6373733, 12.8864529 51.6375909, 12.8863241 51.6377585, 12.886354 51.6378188, 12.8871019 51.6380569, 12.8871365 51.6381149)",,,,,,
313734054,Torgauer Straße,primary,True,False,393.846,"LINESTRING (12.8867412 51.6368199, 12.8864575 51.6369695, 12.8861333 51.63717, 12.8859183 51.6373383, 12.8856721 51.6376133, 12.8851183 51.6382317, 12.8849426 51.6384318, 12.884451 51.6389917, 12.8841008 51.639406, 12.8838293 51.639666, 12.8837436 51.6397003, 12.8836134 51.6396792)",1,B 182,50,,,
313734056,August-Bebel-Straße,residential,False,False,33.867999999999995,"LINESTRING (12.8867412 51.6368199, 12.8866869 51.6367824, 12.8866049 51.6367257, 12.8865349 51.6366919, 12.8863509 51.6366464)",,,,,,
25024220,Elbstraße,secondary,False,False,52.488,"LINESTRING (12.8836134 51.6396792, 12.8836463 51.6397386, 12.8837086 51.6398042, 12.8838489 51.6398862, 12.8839894 51.6399569, 12.8841216 51.6400162)",2,S 16,,,,
34334389,Leipziger Straße,primary,False,True,53.961,"LINESTRING (12.8836134 51.6396792, 12.8834737 51.639622, 12.883307 51.6395485, 12.8830906 51.6394514, 12.8829713 51.6394024)",2,B 182,50,,,
"[129674026, 53456395]",Torgauer Straße,primary,True,False,389.27,"LINESTRING (12.8836134 51.6396792, 12.8845128 51.6387348, 12.8848359 51.6383956, 12.8853555 51.6378472, 12.8857172 51.6374494, 12.8860402 51.6371268, 12.886132 51.637064, 12.8862307 51.6370184, 12.8864674 51.636904, 12.8867412 51.6368199)","['2', '1']",B 182,50,,,
34334357,Leipziger Straße,secondary,False,False,8.511,"LINESTRING (12.8803122 51.638373, 12.880198 51.6383441)",2,S 16,50,,,
96848031,Rudolf-Breitscheid-Straße,residential,False,True,116.781,"LINESTRING (12.8803122 51.638373, 12.8809531 51.637401)",,,,5,,
34334357,Leipziger Straße,secondary,False,True,73.94,"LINESTRING (12.8803122 51.638373, 12.8807759 51.6385055, 12.8810383 51.6386072, 12.8812513 51.6386903)",2,S 16,50,,,
30849813,Leipziger Straße,secondary,False,False,105.831,"LINESTRING (12.8786574 51.6379643, 12.8783923 51.6378988, 12.8774371 51.6376644, 12.8772315 51.637614)",2,S 16,50,,,
"[25160229, 30849814]",Bahnhofstraße,residential,False,True,276.417,"LINESTRING (12.8786574 51.6379643, 12.8789969 51.6373845, 12.8791921 51.637037, 12.8792682 51.6368563, 12.8793606 51.6367225, 12.8794596 51.6366313, 12.8797504 51.6364165, 12.8798988 51.6362931, 12.8799783 51.6361424, 12.8800615 51.6359987, 12.8801131 51.6359589, 12.8802166 51.635879, 12.8803887 51.6357609)",,,,,,
34334357,Leipziger Straße,secondary,False,True,114.42099999999999,"LINESTRING (12.8786574 51.6379643, 12.8793667 51.6381283, 12.880198 51.6383441)",2,S 16,50,,,
34334359,Wittenberger Straße,primary,False,True,19.733,"LINESTRING (12.8800467 51.6423433, 12.8798877 51.6424908)",2,B 182,50,,,
27365196,Dübener Straße,residential,False,True,110.16799999999999,"LINESTRING (12.8800467 51.6423433, 12.879858 51.6422698, 12.879612 51.6421862, 12.879349 51.6421247, 12.8789897 51.6420411, 12.8785803 51.6419626)",,,,,,
"[45846800, 197753955, 197753956]",Pretzscher Straße,primary,False,False,27.075000000000003,"LINESTRING (12.8800467 51.6423433, 12.8800849 51.6423037, 12.8802071 51.6421878, 12.8802552 51.6421371)",2,B 182,,,yes,
34334357,Leipziger Straße,secondary,False,False,142.706,"LINESTRING (12.8829713 51.6394024, 12.8822657 51.6391239, 12.8816771 51.6388733, 12.8812513 51.6386903)",2,S 16,50,,,
34334358,Pretzscher Straße,primary,False,True,72.66399999999999,"LINESTRING (12.8829713 51.6394024, 12.8828619 51.6394956, 12.8827136 51.6396448, 12.8824068 51.6399537)",1,B 182,,,,
34334389,Leipziger Straße,primary,False,False,53.961,"LINESTRING (12.8829713 51.6394024, 12.8830906 51.6394514, 12.883307 51.6395485, 12.8834737 51.639622, 12.8836134 51.6396792)",2,B 182,50,,,
313734056,August-Bebel-Straße,residential,False,True,33.868,"LINESTRING (12.8863509 51.6366464, 12.8865349 51.6366919, 12.8866049 51.6367257, 12.8866869 51.6367824, 12.8867412 51.6368199)",,,,,,
764306551,August-Bebel-Straße,residential,False,False,255.45699999999997,"LINESTRING (12.8863509 51.6366464, 12.8861732 51.6366224, 12.8858947 51.636591, 12.8856967 51.6365811, 12.8851526 51.6365682, 12.8837271 51.6365752, 12.883469 51.6365681, 12.8832416 51.6365363, 12.8828636 51.6364664, 12.8826891 51.6364341)",,,,,,
