osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width,bridge,access
22943658,L 485,Gudewillstraße,secondary,50,False,True,136.358,"LINESTRING (9.8213811 51.9898202, 9.8211792 51.9898169, 9.8202712 51.9898023, 9.8200686 51.989799, 9.8197348 51.9898058, 9.8193918 51.9898252)",,,,,
333460402,K 408,Ravenstraße,tertiary,50,False,True,127.82700000000001,"LINESTRING (9.8213811 51.9898202, 9.8213884 51.9897062, 9.8214322 51.9889346, 9.8214215 51.9888393, 9.8213901 51.9887567, 9.8213647 51.9887206, 9.8213195 51.9886869)",,,,,
"[1190251911, 440930027, 353623147]",L 485,Gudewillstraße,secondary,50,False,False,213.03500000000003,"LINESTRING (9.8213811 51.9898202, 9.8215777 51.9898234, 9.8218447 51.9898277, 9.8220142 51.9898321, 9.8224786 51.9898441, 9.8234665 51.9898743, 9.8237468 51.9898777, 9.8243202 51.9898781, 9.8244901 51.9898733)",,,,,
266359759,,,secondary,50,True,False,19.115000000000002,"LINESTRING (9.8238315 51.9838624, 9.8238857 51.9838541, 9.8239414 51.9838563, 9.8239934 51.9838687, 9.824037 51.9838902, 9.824068 51.9839188)",2,roundabout,,,
"[682466072, 15231252]",L 486,Bahnhofstraße,secondary,50,False,True,103.875,"LINESTRING (9.8238315 51.9838624, 9.8237654 51.9837895, 9.82345 51.9834633, 9.8231331 51.9831443, 9.8230387 51.9830666)",,,,,
"[7982331, 99383598]",L 486,Ziegelmasch,secondary,50,False,False,95.366,"LINESTRING (9.8230387 51.9830666, 9.8231005 51.9830172, 9.8234501 51.9827426, 9.8239073 51.9823963)",,,,,
"[682466072, 15231252]",L 486,Bahnhofstraße,secondary,50,False,False,103.87500000000001,"LINESTRING (9.8230387 51.9830666, 9.8231331 51.9831443, 9.82345 51.9834633, 9.8237654 51.9837895, 9.8238315 51.9838624)",,,,,
266359759,,,secondary,50,True,False,16.865000000000002,"LINESTRING (9.824068 51.9839188, 9.8240827 51.9839477, 9.8240843 51.983978, 9.8240727 51.9840075, 9.8240487 51.984034, 9.8240142 51.9840557)",2,roundabout,,,
"[1191353211, 682466079]",L 486,Walter-Gropius-Ring,secondary,50,False,True,67.549,"LINESTRING (9.824068 51.9839188, 9.8241801 51.9838747, 9.8243699 51.9838052, 9.8245776 51.9837636, 9.8247958 51.9837558, 9.8249903 51.9837684)",,,,,
266359759,,,secondary,50,True,False,19.35,"LINESTRING (9.8240142 51.9840557, 9.8239647 51.9840725, 9.8239093 51.9840792, 9.8238531 51.9840752, 9.8238016 51.9840608, 9.8237597 51.9840375)",2,roundabout,,,
