osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,width
43663802,3,L 2310,secondary,50,False,True,19.787,"LINESTRING (9.5202461 49.7604036, 9.52034 49.7603847, 9.52051 49.7603526)",,,
"[1181327424, 620835317, 620835318]","['2', '3']",L 2310,secondary,50,False,False,154.892,"LINESTRING (9.5202461 49.7604036, 9.5190485 49.7606775, 9.5188677 49.7607179, 9.5181986 49.7608384)",,,
754593610,,,residential,,False,True,15.861,"LINESTRING (9.5202461 49.7604036, 9.5201831 49.7603475, 9.5200822 49.7603139)",Eichelgasse,,
43663802,3,L 2310,secondary,50,False,False,19.787,"LINESTRING (9.52051 49.7603526, 9.52034 49.7603847, 9.5202461 49.7604036)",,,
243518768,2,L 508,secondary,50,False,True,32.929,"LINESTRING (9.5101939 49.7600425, 9.5100672 49.7597579)",Uihleinstraße,,
243518768,2,L 508,secondary,50,False,False,55.035,"LINESTRING (9.5101939 49.7600425, 9.5102781 49.7601681, 9.5103953 49.7602581, 9.5105376 49.7603233, 9.5106745 49.7603723, 9.510713 49.7603819)",Uihleinstraße,,
19200207,2,L 508,secondary,50,False,True,52.551,"LINESTRING (9.5124491 49.7612696, 9.512031 49.76103, 9.5118996 49.7609576)",Luisenstraße,,
243518757,,L 508,secondary,50,True,False,36.385999999999996,"LINESTRING (9.5124491 49.7612696, 9.5126503 49.7613454, 9.5128392 49.7614733)",Luisenstraße,,
24614908,3,L 506,secondary,50,False,False,17.317,"LINESTRING (9.5153802 49.7598988, 9.5153006 49.7600458)",Rechte Tauberstraße,,
"[18897657, 118088743, 18897655]",2,,secondary,,False,True,63.17700000000001,"LINESTRING (9.5153802 49.7598988, 9.5151411 49.7598548, 9.514647 49.759767, 9.5145764 49.7597545, 9.5145315 49.7597508)","['Bahnhofstraße', 'Tauberbrücke']",yes,
"[23305336, 1181327427]","['2', '3']",L 506,secondary,50,False,False,163.235,"LINESTRING (9.5153802 49.7598988, 9.5156795 49.7594236, 9.5159142 49.7591067, 9.5159565 49.7590406, 9.5160471 49.7589501, 9.5161698 49.7588539, 9.5163323 49.7587746, 9.5164561 49.7587386, 9.5165788 49.7587247)",Lindenstraße,,
25013271,2,L 2310,secondary,,False,True,34.254,"LINESTRING (9.5150051 49.7620232, 9.5146532 49.7622311)",,,
43663803,3,L 2310,secondary,,False,False,5.778,"LINESTRING (9.5150051 49.7620232, 9.5150634 49.7619874)",,,
620835314,1,L 506,secondary,50,True,False,27.203000000000003,"LINESTRING (9.5150051 49.7620232, 9.5149327 49.7620151, 9.5148636 49.7620012, 9.5147683 49.7619505, 9.5146919 49.7618999)",Rechte Tauberstraße,,
18897652,2,L 508,secondary,,False,False,32.439,"LINESTRING (9.5123684 49.7621932, 9.5124388 49.7620661, 9.5124643 49.7620201, 9.5125124 49.7619358, 9.5125237 49.7619193)",Bahnhofstraße,,
"[43663800, 397806869]",2,L 508,secondary,50,False,False,62.85600000000001,"LINESTRING (9.5123684 49.7621932, 9.5123253 49.7622599, 9.5121993 49.762461, 9.5121529 49.7625313, 9.5121033 49.7626099, 9.5120803 49.7626495, 9.5120575 49.7626887, 9.512042 49.7627176)",Bahnhofstraße,,
26119228,,,residential,30,False,True,46.808,"LINESTRING (9.5123973 49.7605852, 9.5128287 49.7602697)",Bismarckstraße,,
