osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel,ref,bridge
367261818,Löchl,residential,50,False,True,287.97900000000004,"LINESTRING (12.3521164 48.4481496, 12.3523668 48.4480984, 12.3524832 48.4480681, 12.3526662 48.4480205, 12.3528639 48.4479473, 12.3530674 48.4478648, 12.3532645 48.447788, 12.353353 48.44775, 12.3534091 48.447717, 12.3534482 48.4476814, 12.3534761 48.447653, 12.3535193 48.4476233, 12.3536252 48.447572, 12.3537057 48.4475184, 12.3538323 48.4474696, 12.3539056 48.4474618, 12.3539863 48.4474668, 12.354128 48.4475025, 12.3543627 48.4475774, 12.354426 48.4475987, 12.354471 48.4476138, 12.3546337 48.4477039, 12.3548505 48.4478927, 12.3551831 48.4481678, 12.3552157 48.4482202)",,,,
389101601,Herrnfeldener Straße,tertiary,50,False,False,65.459,"LINESTRING (12.3521164 48.4481496, 12.3521418 48.4482107, 12.3521668 48.4485362, 12.3522183 48.4486865, 12.3521953 48.4487291)",,,,
389101601,Herrnfeldener Straße,tertiary,50,False,True,85.755,"LINESTRING (12.3521164 48.4481496, 12.3519911 48.4480201, 12.351535 48.4476899, 12.3513624 48.4475649)",,,,
29206936,Obere Stadt,tertiary,50,False,False,40.878,"LINESTRING (12.3521953 48.4487291, 12.3522454 48.4487648, 12.3524689 48.4490471)",,,,
389101601,Herrnfeldener Straße,tertiary,50,False,True,65.459,"LINESTRING (12.3521953 48.4487291, 12.3522183 48.4486865, 12.3521668 48.4485362, 12.3521418 48.4482107, 12.3521164 48.4481496)",,,,
410088310,Landshuter Straße,tertiary,50,False,False,78.095,"LINESTRING (12.3521953 48.4487291, 12.3521174 48.448718, 12.3520428 48.4487245, 12.3519107 48.4487572, 12.3512976 48.4489131, 12.3511938 48.4489284)",2,,,
"[27183073, 27183074, 27177230]",Stadtplatz,tertiary,"['50', '20']",False,True,232.914,"LINESTRING (12.3532273 48.4499092, 12.3535549 48.4496929, 12.353643 48.4496418, 12.3537519 48.4495753, 12.3541297 48.4493654, 12.355286 48.4487854, 12.355618 48.4486141, 12.3556713 48.4485866)",1,building_passage,,
29206936,Obere Stadt,tertiary,50,False,True,111.87599999999999,"LINESTRING (12.3532273 48.4499092, 12.3530335 48.4497799, 12.3529794 48.4497312, 12.3524689 48.4490471)",,,,
"[719662319, 39085879]",Obere Stadt,tertiary,50,False,False,46.614000000000004,"LINESTRING (12.3532273 48.4499092, 12.353383 48.4499748, 12.3534213 48.449991, 12.3536021 48.4500582, 12.3537868 48.4500995)",3,,LA 5,
"[413413755, 367261740]",Frontenhausener Straße,tertiary,50,False,True,77.971,"LINESTRING (12.3575007 48.4513421, 12.3572948 48.4512773, 12.3570018 48.4511641, 12.3567951 48.4510805, 12.3565842 48.4509938)",3,,LA 2,
