osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,bridge,width
139850978,True,2,L 431,Rheinstraße,secondary,30,False,23.685,"LINESTRING (8.2748894 50.0025945, 8.2748528 50.0028062)",,,
"[45399708, 45399709]",True,1,,"['Rheinstraße', 'Karmeliterstraße']",residential,30,False,50.801,"LINESTRING (8.2748894 50.0025945, 8.2748462 50.0026913, 8.2747999 50.0028005, 8.2747583 50.0028674, 8.2747228 50.0028783, 8.2746871 50.0028825, 8.2746528 50.0028829, 8.2746268 50.0028784, 8.2745061 50.002849)",,,
4611329,False,8,L 431,Rheinstraße,secondary,30,False,88.103,"LINESTRING (8.2750718 50.0021835, 8.2754112 50.0016607, 8.2755477 50.0014526)",,,
"[661090675, 56722284, 661090677]",True,3,L 431,Rheinstraße,secondary,30,False,47.539,"LINESTRING (8.2750718 50.0021835, 8.2749858 50.0023795, 8.2749671 50.0024173, 8.2749465 50.0024551, 8.2749118 50.0025368, 8.2748894 50.0025945)",,,
904388975,False,4,L 431,Rheinstraße,secondary,30,False,69.435,"LINESTRING (8.2763683 50.0002126, 8.2767382 49.9996352)",,,
"[23438618, 15976661]",True,,,"['Am Rathaus', 'Uferstraße']",residential,30,False,198.625,"LINESTRING (8.2763683 50.0002126, 8.276555 50.0002827, 8.2777114 50.0007256, 8.2778177 50.0007347, 8.2784057 50.00013)",,,
31395822,False,4,L 431,Rheinstraße,secondary,30,True,136.703,"LINESTRING (8.2763683 50.0002126, 8.2762507 50.0004458, 8.2761127 50.0006613, 8.2757892 50.0011071, 8.2757218 50.0012024, 8.2756914 50.0012455, 8.2756224 50.0013432)",,,
904388975,False,4,L 431,Rheinstraße,secondary,30,True,69.435,"LINESTRING (8.2767382 49.9996352, 8.2763683 50.0002126)",,,
"[138313952, 501340291]",False,4,L 431,Rheinstraße,secondary,30,False,40.059,"LINESTRING (8.2767382 49.9996352, 8.2768466 49.9994633, 8.2769455 49.9993005)",,,
138313949,False,4,L 431,Rheinstraße,secondary,30,False,75.358,"LINESTRING (8.2772503 49.9988429, 8.2776631 49.9982193)",,,
921989725,False,2,,Heugasse,residential,50,False,45.974,"LINESTRING (8.2772503 49.9988429, 8.2766556 49.9986854)",,,
138313949,False,4,L 431,Rheinstraße,secondary,30,True,55.352999999999994,"LINESTRING (8.2772503 49.9988429, 8.2770464 49.9991537, 8.2769455 49.9993005)",,,
138313949,False,4,L 431,Rheinstraße,secondary,30,True,75.358,"LINESTRING (8.2776631 49.9982193, 8.2772503 49.9988429)",,,
