osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,junction,width
24419744,An der Mooseburg,residential,30,False,False,106.592,,"LINESTRING (8.7267467 50.6606213, 8.7272813 50.6597246)",,,
24419749,Mainzlarer Straße,secondary,50,False,False,13.792,L 3059,"LINESTRING (8.7267467 50.6606213, 8.7269396 50.6606421)",,,
123729598,Lollarer Straße,secondary,50,False,True,73.87700000000001,L 3059,"LINESTRING (8.7267467 50.6606213, 8.7266956 50.6606156, 8.7265726 50.6606021, 8.7264543 50.6605878, 8.7257167 50.6604985)",,,
24419749,Mainzlarer Straße,secondary,50,False,True,13.792,L 3059,"LINESTRING (8.7269396 50.6606421, 8.7267467 50.6606213)",,,
27680704,Mainzlarer Straße,secondary,50,False,False,65.45,L 3059,"LINESTRING (8.7269396 50.6606421, 8.7278605 50.6607174)",,,
723141496,Vorstadt,secondary,50,False,True,88.626,L 3356,"LINESTRING (8.7269396 50.6606421, 8.7269385 50.6606811, 8.7269533 50.6607058, 8.7271302 50.66101, 8.7273201 50.6613992)",,,
27680704,Mainzlarer Straße,secondary,50,False,True,12.663,L 3059,"LINESTRING (8.7313179 50.6602926, 8.7311844 50.6603688)",,,
591393647,Mainzlarer Straße,secondary,50,False,False,70.493,L 3059,"LINESTRING (8.7313179 50.6602926, 8.732022 50.6598424)",,,
591393648,Kirlenring,residential,30,False,True,21.377,,"LINESTRING (8.7313179 50.6602926, 8.7311099 50.6601527)",,,
591393647,Mainzlarer Straße,secondary,50,False,True,70.493,L 3059,"LINESTRING (8.732022 50.6598424, 8.7313179 50.6602926)",,,
"[172032400, 104059602]",,secondary,50,False,False,238.00500000000002,L 3356,"LINESTRING (8.732022 50.6598424, 8.7324884 50.6595406, 8.7330527 50.6591709, 8.7332808 50.6589513, 8.7334523 50.6587386, 8.7335953 50.6584649, 8.7337071 50.6581567, 8.7337474 50.658063)",2,,
1226735038,Brunnenstraße,residential,50,False,False,119.015,,"LINESTRING (8.732022 50.6598424, 8.7321377 50.6599173, 8.7322198 50.6599789, 8.732359 50.6600745, 8.7324005 50.6600922, 8.7324929 50.6601316, 8.7326615 50.6601698, 8.73283 50.6601838, 8.7335102 50.6601792)",,,
24419751,Vorstadt,secondary,30,False,False,49.323,L 3356,"LINESTRING (8.7278225 50.6629587, 8.7278424 50.6629454, 8.7278531 50.6629221, 8.7278491 50.6628507, 8.7277861 50.6626142, 8.7277622 50.6625258)",,,
24441549,Vorstadt,residential,30,False,True,48.947,,"LINESTRING (8.7278225 50.6629587, 8.7278505 50.6630102, 8.7278447 50.6630574, 8.7276033 50.6633592)",,,
24441550,Scheuergasse,residential,30,False,False,164.65900000000002,,"LINESTRING (8.7278225 50.6629587, 8.7280984 50.6629635, 8.728368 50.6629689, 8.7286908 50.6629825, 8.728982 50.6630117, 8.7297156 50.6631402, 8.7301003 50.6632318)",,,
153226081,,secondary,50,True,False,20.008,L 3356,"LINESTRING (8.7338305 50.6578412, 8.7339011 50.6578638, 8.7339504 50.6579022, 8.7339659 50.6579512, 8.7339642 50.6579815)",1,roundabout,
