osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,tunnel
"[179296808, 9886829, 9886830]",True,3,L 778,Lübberstraße,secondary,50,False,64.86800000000001,yes,"LINESTRING (8.6774017 52.1180437, 8.6773186 52.1179803, 8.6770509 52.1177955, 8.6769539 52.1177282, 8.6767584 52.1176153)",
"[706824673, 706824674, 4992710]",True,2,L 712,Berliner Straße,secondary,50,False,114.96,,"LINESTRING (8.6773906 52.1166291, 8.6775443 52.1165112, 8.6779063 52.1162348, 8.6781655 52.1160328, 8.6783328 52.1158869, 8.6784156 52.1158096)",
"[35330300, 776339990, 776339991]",False,,,Fidelenstraße,residential,50,True,67.541,,"LINESTRING (8.6773906 52.1166291, 8.6773392 52.1166191, 8.6772126 52.1165696, 8.6771087 52.116507, 8.6770096 52.1164407, 8.6769401 52.1163918, 8.676681 52.116215)",
171934618,True,1,L 712,Berliner Straße,secondary_link,50,False,30.658,,"LINESTRING (8.6777575 52.1165089, 8.6776687 52.1165206, 8.6776456 52.1165236, 8.6775034 52.1166252, 8.6774592 52.1166337, 8.6774414 52.1166358, 8.6773906 52.1166291)",
"[297549216, 297549213]",True,"['4', '2']",L 712,Berliner Straße,secondary,50,False,84.439,,"LINESTRING (8.6777575 52.1165089, 8.6773521 52.1168147, 8.6772709 52.1168769, 8.676999 52.1171083)",
"[18445723, 176255899]",True,2,L 712,Berliner Straße,secondary,50,False,48.32499999999999,,"LINESTRING (8.676999 52.1171083, 8.6769512 52.1171919, 8.6767526 52.117336, 8.676733 52.1173537, 8.6767202 52.117368, 8.6767062 52.1173935, 8.6767024 52.1174001, 8.6767015 52.1174146, 8.6767006 52.117429, 8.676708 52.1174855)",
154206888,True,2,L 712,Berliner Straße,secondary,50,False,46.123999999999995,,"LINESTRING (8.676999 52.1171083, 8.6768815 52.1171469, 8.6766649 52.1172857, 8.6766373 52.1173008, 8.6766167 52.117312, 8.6766003 52.1173207, 8.6765794 52.1173317, 8.6764919 52.117378)",
152197875,True,2,L 778,Lübberstraße,secondary_link,50,False,18.989,,"LINESTRING (8.6764919 52.117378, 8.676708 52.1174855)",
1203333637,True,2,L 712,Berliner Straße,secondary,50,False,7.718,,"LINESTRING (8.6764919 52.117378, 8.6763993 52.1174178)",
"[352177834, 35173909]",False,"['2', '3']",,Bahnhofplatz,tertiary,50,False,91.88900000000001,,"LINESTRING (8.6650961 52.1195883, 8.6650445 52.1194855, 8.6649213 52.1192515, 8.6648543 52.1191241, 8.6648365 52.1190867, 8.6646086 52.1188213)",
177811001,False,2,,Fürstenaustraße,tertiary,50,True,80.742,,"LINESTRING (8.6650961 52.1195883, 8.6651633 52.1196387, 8.6652261 52.1196579, 8.6652906 52.1196668, 8.6653697 52.1196676, 8.6655092 52.1196551, 8.6656396 52.1196407, 8.6656861 52.1196361, 8.6657126 52.1196334, 8.6658566 52.1196182, 8.6659242 52.119616, 8.6660165 52.1196228, 8.6660926 52.1196446, 8.6661896 52.119691)",
202374299,True,2,,Bahnhofstraße,tertiary,50,False,26.123,,"LINESTRING (8.663848 52.1176666, 8.6640389 52.1178702)",
57840778,True,2,,Bahnhofstraße,tertiary,50,False,113.281,,"LINESTRING (8.6640389 52.1178702, 8.6642114 52.1181025, 8.6642678 52.1182305, 8.6643193 52.1183516, 8.6643639 52.1184407, 8.6644058 52.1185089, 8.6645367 52.1186501, 8.6645599 52.1186879, 8.6645868 52.1187587, 8.6646086 52.1188213)",
"[9885913, 305625802]",True,"['4', '2']",,Bahnhofstraße,tertiary,50,False,84.999,,"LINESTRING (8.6646086 52.1188213, 8.6645222 52.1187684, 8.6643932 52.1186335, 8.6643206 52.1185525, 8.6641646 52.1183473, 8.6640047 52.118157)",
"[352177834, 35173909]",False,"['2', '3']",,Bahnhofplatz,tertiary,50,True,91.889,,"LINESTRING (8.6646086 52.1188213, 8.6648365 52.1190867, 8.6648543 52.1191241, 8.6649213 52.1192515, 8.6650445 52.1194855, 8.6650961 52.1195883)",
"[1097798456, 24897147]",False,,,Kurfürstenstraße,residential,30,False,29.959,,"LINESTRING (8.6646086 52.1188213, 8.6647148 52.1187659, 8.6647658 52.1187475, 8.6649286 52.1187172, 8.6649959 52.118705)",
18443224,False,,,Löhrstraße,residential,30,False,102.319,,"LINESTRING (8.6671661 52.1164782, 8.6671766 52.1164101, 8.6671859 52.1163298, 8.6672097 52.1162009, 8.6672319 52.1161193, 8.6672537 52.1160387, 8.6674174 52.1155723)",
