osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,bridge,access
34890502,Elisabethenstraße,residential,30,False,True,66.429,,"LINESTRING (8.8174652 50.6764634, 8.8169416 50.6769602)",,,
158595853,Treiser Straße,secondary,50,False,False,178.721,L 3146,"LINESTRING (8.8174652 50.6764634, 8.8183679 50.6768454, 8.8185842 50.6769369, 8.8196079 50.6773224)",,,
158595853,Treiser Straße,secondary,50,False,True,131.81199999999998,L 3146,"LINESTRING (8.8174652 50.6764634, 8.8164203 50.6760149, 8.8160321 50.6758738, 8.8158864 50.6758303)",,,
28684343,Treiser Straße,secondary,30,False,True,17.878,L 3146,"LINESTRING (8.8207471 50.6774576, 8.8204957 50.6774359)",,,
25143488,Hintergasse,living_street,,False,True,105.657,,"LINESTRING (8.8207471 50.6774576, 8.8207974 50.6772805, 8.8214631 50.6772642, 8.8219882 50.677162)",,,
28684343,Treiser Straße,secondary,30,False,False,16.368,L 3146,"LINESTRING (8.8207471 50.6774576, 8.8208597 50.6774657, 8.8209753 50.6774835)",,,
"[83918026, 1175883830]",Londorfer Straße,secondary,70,False,True,304.63599999999997,L 3146,"LINESTRING (8.8300187 50.6778575, 8.8294163 50.6778186, 8.8290663 50.6777779, 8.8287183 50.6777332, 8.828076 50.6776423, 8.8278169 50.6776151, 8.8276355 50.6776099, 8.8274575 50.6776114, 8.8272236 50.6776264, 8.8267334 50.6776695, 8.8257501 50.6777723)",2,,
25144219,Johannesstraße,residential,50,False,False,52.714,,"LINESTRING (8.8239308 50.6800927, 8.8246591 50.6802012)",,,
25144222,Nordecker Straße,residential,50,False,True,35.812,,"LINESTRING (8.8239308 50.6800927, 8.8238469 50.6800791, 8.8234501 50.6799887)",,,
"[83918028, 83918037]",Nordecker Straße,tertiary,"['50', '30']",False,False,94.50800000000001,K 34,"LINESTRING (8.8239308 50.6800927, 8.8239316 50.6799757, 8.8239456 50.6798928, 8.8240214 50.6797051, 8.8240757 50.6795649, 8.8241414 50.6793855, 8.8241853 50.6792613)",,,
"[83918028, 484399055]",,tertiary,"['50', '100']",False,True,28.941000000000003,K 34,"LINESTRING (8.8239308 50.6800927, 8.8239325 50.6801589, 8.8239591 50.6802795, 8.8239876 50.6803495)",,,
25144220,Ennelbachstraße,residential,50,False,False,59.58,,"LINESTRING (8.8241853 50.6792613, 8.825029 50.6792256)",,,
83918037,Nordecker Straße,tertiary,30,False,False,25.322,K 34,"LINESTRING (8.8241853 50.6792613, 8.8242001 50.6791645, 8.8241672 50.6790357)",,,
"[83918028, 83918037]",Nordecker Straße,tertiary,"['50', '30']",False,True,94.50800000000001,K 34,"LINESTRING (8.8241853 50.6792613, 8.8241414 50.6793855, 8.8240757 50.6795649, 8.8240214 50.6797051, 8.8239456 50.6798928, 8.8239316 50.6799757, 8.8239308 50.6800927)",,,
25143704,Schulstraße,residential,30,False,False,52.241,,"LINESTRING (8.8241672 50.6790357, 8.8240566 50.6790737, 8.8234987 50.6792386)",,,
25143710,Hainmauergasse,residential,50,False,True,175.056,,"LINESTRING (8.8241672 50.6790357, 8.8242921 50.6790022, 8.8243384 50.6789685, 8.8243677 50.6789326, 8.8243948 50.6787051, 8.8244364 50.6780994, 8.8245126 50.6775326)",,,
83918037,Nordecker Straße,tertiary,30,False,False,92.131,K 34,"LINESTRING (8.8241672 50.6790357, 8.8238637 50.6782776, 8.8238504 50.6782573, 8.8238246 50.6782391)",,,
83918037,Nordecker Straße,tertiary,30,False,True,25.322,K 34,"LINESTRING (8.8241672 50.6790357, 8.8242001 50.6791645, 8.8241853 50.6792613)",,,
25143706,,residential,50,False,True,78.932,,"LINESTRING (8.8233326 50.6749786, 8.8234109 50.6749869, 8.8236478 50.6750223, 8.8244218 50.6751437)",,,
28979093,Ludwigstraße,residential,50,False,False,155.45,,"LINESTRING (8.8233326 50.6749786, 8.8232714 50.6749699, 8.8232593 50.6749665, 8.8228802 50.6749142, 8.8227263 50.6748926, 8.8225849 50.6748809, 8.8223784 50.6748713, 8.8217338 50.6748328, 8.8211487 50.6748005)",,,
123729333,Bahnhofstraße,tertiary,50,False,True,123.379,K 33,"LINESTRING (8.8233326 50.6749786, 8.8232004 50.6753305, 8.8231646 50.6754141, 8.8230707 50.675606, 8.8229994 50.6757483, 8.8229632 50.6758146, 8.822852 50.6760449)",,,
25143488,Hintergasse,living_street,,False,False,105.657,,"LINESTRING (8.8219882 50.677162, 8.8214631 50.6772642, 8.8207974 50.6772805, 8.8207471 50.6774576)",,,
